 ,Cal_yrs_BP,max,min,Acacia,Acalypha,Adiantum,Agavoideae,Alisma,Alnus,Alternanthera,Amaranthaceae undiff.,Ambrosia-type,Amyris,Anacardiaceae undiff.,Annona-type,Antigonon,Antirhea,Apiaceae,Apocynaceae undiff.,Arecaceae undiff.,Asteraceae (large),Asteroideae (high spine),Asteroideae (low spine),Avicennia,Bumelia,Bursera,Buxus,Caesalpinia,Campyloneurum phyllitidis,Capparis,Capraria,Caryophyllaceae,Casasia,Casearia,Castanea,Casuarina,Celtis,Ceratopteris,Cichorioideae,Coccoloba,Commelina,Conocarpus,Convolvulaceae undiff.,Corchorus,Cordia,Crossopetalum,Crotalaria,Cupressaceae,Cyperaceae,Dalbergia,Desmodium,Dodonaea-type,Echinodorus,Echites,Erithalis,Ernodea,Erythrina,Euphorbia,Exostema,Exothea,Faboideae undiff.,Ficus,Fungi undiff.,Gochnatia,Guaiacum,Guapira,Guettarda,Hedyotis,Helianthus-type,Heliotropium,Ilex,Indeterminable,Ipomoea,Isoetes,Laguncularia,Lamiaceae,Lantana,Lemna,Leucaena,Liliaceae,Linum,Ludwigia,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lycopodium tablets,Malpighiaceae undiff.,Malvaceae undiff.,Manilkara,Mascagnia,Maytenus,Metopium,Moraceae undiff.,Myrica,Myrsine,Myrtaceae,Onagraceae undiff.,Passiflora,Phlebodium aureum,Phyllanthus,Pinus,Plantago,Poaceae (Cerealia),Poaceae undiff.,Polypodium,Pouteria,Pteris,Rachicallis,Ravenea,Rhamnaceae,Rhizophora,Sabal,Sapotaceae undiff.,Schinus,Sesuvium,Solanaceae,Spermacoce,Sporormiella,Stemodia,Strumpfia,Swietenia,Tabebuia,Tecoma,Teramnus,Tetrazygia,Thouinia,Tillandsia,Tournefortia,Trema,Tsuga,Typha angustifolia-type,Ulmus,Unknown (trilete),Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type E),Unknown (type F),Unknown (type G),Unknown (type H),Unknown (type I),Unknown (type J),Unknown (type K),Unknown (type L),Unknown (type M),Unknown (type N),Unknown (type O),Unknown (type P),Unknown (type Q),Unknown (type R),Unknown (type S),Unknown (type T),Unknown undiff.,Urena,Urticaceae,Vitaceae,Zanthoxylum,Zea mays,cf. Alnus,cf. Artemisia,cf. Carya,cf. Pistacia,cf. Quercus,cf. Tripsacum
,-0.015079365,,,5,,,,,,,2,5,,2,,,1,,,8,,4,,2,,6,,,,,,4,,,,4,,,,,,48,,,1,,,,2,,,,,,,,,,,,3,2,,,,,,,,,,7,,,14,,,,2,,,,148,2,12542,124961,,,,,2,,,28,,,,,6,,258,,,2,,,1,,,,,,1,,2,,,,,1,,,,,,,,,1,,4,,8,1,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,-0.011068834,,,5,,,,,,,1,3,,9,,,,,,4,,,14,,1,9,,2,,,,,,,,5,,,,4,2,86,1,,,,,8,1,,,,,,,,,,,,,,,,,,,,3,,1,15,,,2,,,,1,,,,190,2,12542,124961,,,,,,3,,32,,3,,,7,,187,,,3,1,,,,,,6,,,,2,,,,1,,,,,,,,,,11,,7,,8,,,,,,1,,,,,,,,,,,,,1,,,,,3,,,,,,1,
,-26,25,-55,,,,266,,,,1,16,,2,,,,,,5,,5,21,,,,,,,,,,,,,,,,,,,12,,,,,,2,,,1,,,,,,,,,,8,,,,,,,,3,,,13,,,22,,,,,,,,161,2,12542,124961,,,,,,,,3,,1,,,,,41,,2,9,,,,,,,,,,,,5,,,1,,,,,,1,,1,,1,,25,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
,-3,81,-52,5,,,2,,,1,2,14,,6,,,,,,8,,40,38,,,,,1,,,,,,,,,,,,2,,63,,,,,,10,14,,1,,,,,,,,,,,,,,1,,,,,,,21,,,24,,,3,,,,,556,2,12542,124961,,,,,1,,,24,,2,,,1,,134,,1,20,,,,1,,,1,,,,,2,,,,,,,,,5,,,1,2,,88,,97,,,,,1,,,,,,,,,,,,,2,,,,1,,,,,,,,2,
,19,138,-49,,,,,,,,7,18,,1,,1,,,,1,,10,5,,,,,,,,,,,,,,,,1,,,5,,,1,,,13,2,,,,,,,,,,,,6,,,,,,,,8,,,18,2,,58,,,,,,,,267,2,12542,124961,,1,,,,,,13,,1,,,1,,348,,,9,6,,,1,,,,,1,,,5,,,1,,,,,,13,,,,,,34,,64,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,42,194,-46,6,,,1,,,,,8,,2,,,,,,6,,22,8,1,,1,,,,,,,,,,,,,,,,53,1,,,,,7,17,,,,,,,,,1,,,4,,,,,,,,,,1,6,2,,10,1,,13,,,,,373,2,12542,124961,,,,,,,,20,,6,,,,,237,,2,10,3,,,,,,3,,2,,,,,,,,,,,,1,,,,1,,26,,29,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,
,66,228,-26,8,,,,,,,2,10,,4,,,,,,4,,7,1,,,5,,,,,,,,,,,,,,,,47,,,,,,15,9,,,,,,,,,,,,,,,,,,,,,,1,9,1,,1,,,1,,,,,91,2,12542,124961,,,,,,,,18,,3,,,,,265,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,8,,2,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
,91,237,6,17,,,,,1,,3,11,,7,,,,,,1,,,5,1,,4,,,,,,,,,,3,,,,,,56,,1,,,,23,3,,,,,,,,,,,,,,,,,,,,2,,,10,,,3,,,3,,,,,132,2,12542,124961,,,,,,2,2,16,,4,2,,1,1,236,,,2,,1,,,,1,2,,,,1,2,,,,,,,1,,,,,,6,,1,,10,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,116,248,35,13,,,,,1,,1,11,,7,,,,,,,,16,1,1,1,2,,,,,,,,,,,,,,,,67,,,,,,23,2,,,,,,,,,,,,,,,,,,,,1,,3,15,,,5,,,,,,,,157,2,12542,124961,,,,,,,1,21,,2,,,,,219,,1,1,,,,,,,4,,,,1,2,,,,,,,,,,,,,14,,1,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,1,
,141,261,59,58,,,,,,,,17,,9,,,,,,3,,7,7,1,,1,,,,,,,,,,,,,,,,54,,,,,,13,2,,1,,,,,,,,,,2,,,,,1,,,,,2,4,,,10,,,2,,,,,150,2,12542,124961,,,,1,,,,32,,3,,,,,150,,,3,2,,,5,,,2,,1,,,,,,1,,,,,,10,,,,32,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
