"","Juania_australis","Empetrum_rubrum","Pernettya_rigida","Drimys_confertifolia","Myrteola_nummularia","Myrceugenia","Fagara","Dysopsis","Spergularia","Coprosma","Sophora","Cuminia","Loranthaceae","Rhapiothamnus","Ugni_molinae","Aristotelia_chilensis","Eucalyptus","Pinus","Acaena","Rubus","Rumex","Plantago","Poaceae","Asteraceae_Tub","Asteraceae_Liguliflorae","Alternanthera","Chenopodium","Rosaceae","Gunnera","Haloragis","Dicksonia","Blechnum","Pteris","Lophosoria","Histiopteris","Thyrsopteris_elegans","Cystopteris_fragilis","Hymenophyllaceae","Lycopodium","Polypodium","Ophioglossum","Gleichenia","Cal_yrs_BP","min","max"
"V2",0,0,0,0.0220066019805942,0,0.0793237971391417,0,0,0,0,0,0,0,0,0.0308092427728319,0.026407922376713,0.0132039611883565,0,0.00440132039611884,0.00880264079223767,0.12333700110033,0,0.237971391417425,0.0308092427728319,0,0,0,0,0,0.0661198359507852,0.0352105631689507,0.281984595378614,0.0176052815844753,0,0.0176052815844753,0.00440132039611884,0,0,0,0,0,0,31.5,NA,NA
"V3",0,0,0,0.0416624735835765,0,0,0,0,0,0,0,0,0,0,0.0544429908423065,0.0320016101439066,0,0.00966086343966992,0,0.00322028781322331,0.10254604005233,0,0.189091275032706,0.00966086343966992,0,0,0,0,0.00322028781322331,0.0160008050719533,0,0.423065311462212,0.0224413806983999,0,0.0833249471671531,0.00644057562644661,0,0,0,0.00322028781322331,0,0,46.5,NA,NA
"V4",0,0,0.00847115772488907,0.00847115772488907,0,0.00423557886244453,0.00423557886244453,0,0,0,0,0,0,0,0.639874949576442,0.00423557886244453,0,0.0127067365873336,0,0,0.0169423154497781,0,0.0677692617991126,0.00423557886244453,0,0,0,0,0,0,0,0.182230738200887,0.00847115772488907,0,0.0254134731746672,0.0127067365873336,0,0,0,0,0,0,62.5,NA,NA
"V5",0,0,0.0494950504949505,0.021997800219978,0,0,0.010998900109989,0,0,0,0,0,0,0,0.598840115988401,0.0164983501649835,0,0,0,0,0.0878912108789121,0,0.0384961503849615,0,0,0,0,0,0.0054994500549945,0,0,0.153784621537846,0,0,0.0164983501649835,0,0,0,0,0,0,0,78,NA,NA
"V6",0.154369126174765,0,0,0.00839832033593281,0,0.00839832033593281,0.018496300739852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217956408718256,0,0,0.0116976604679064,0,0,0,0,0,0.0016996600679864,0.00499900019996001,0.26004799040192,0.00339932013597281,0,0,0,0.503299340131974,0,0,0.00339932013597281,0,0,93.5,NA,NA
"V7",0.0183142770413842,0,0,0.00829707578670444,0,0.168066376606294,0.00647576646767176,0,0,0,0,0,0,0,0,0,0,0,0,0.000910654659516341,0,0,0.00829707578670444,0,0,0,0,0,0.000910654659516341,0.000910654659516341,0.000910654659516341,0.78599615501366,0,0,0,0,0,0,0,0.000910654659516341,0,0,107.5,NA,NA
"V8",0.252525252525253,0,0,0.0111011101110111,0,0.0359035903590359,0.0235023502350235,0,0,0,0,0,0,0,0,0.0087008700870087,0.0334033403340334,0.0012001200120012,0,0.136113611361136,0.0173017301730173,0,0.0136013601360136,0.0037003700370037,0,0,0,0,0.047004700470047,0,0.0087008700870087,0.0446044604460446,0.0322032203220322,0,0.33043304330433,0,0,0,0,0,0,0,121,NA,NA
"V9",0,0,0,0.0143,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1643,0,0,0,0,0,0,0,0,0.0214,0.0357,0.0357,0.0786,0.1143,0,0,0,0.1357,0,0,136,NA,NA
"V10",0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1381,0,0.4095,0,0.0143,0,0,0,0,0,0,0.2,0.0286,0.0714,0.0952,0,0.0048,0,0.0286,0,0,0,151,NA,NA
"V11",0,0,0,0.0068006800680068,0,0,0,0,0,0.0103010301030103,0,0,0,0,0.0034003400340034,0,0,0,0,0,0.277427742774277,0,0.506850685068507,0.0103010301030103,0,0,0,0,0,0,0.0034003400340034,0.14041404140414,0,0.0137013701370137,0.0274027402740274,0,0,0,0,0,0,0,165.5,NA,NA
"V12",0,0,0.0374887533739878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629811056682995,0,0.0812756173148056,0,0.649805058482455,0,0,0.0312906128161552,0,0,0.00629811056682995,0,0.0374887533739878,0.112466260121963,0,0,0,0.0124962511246626,0,0,0,0.00629811056682995,0.0187943616914926,0,179,NA,NA
"V13",0,0,0.0124012401240124,0.0124012401240124,0,0.0124012401240124,0,0,0,0.0559055905590559,0,0,0,0,0,0,0,0,0,0,0,0,0.0621062106210621,0.0124012401240124,0,0,0,0,0.0124012401240124,0,0.323032303230323,0.304330433043304,0,0.0497049704970497,0.111811181118112,0.0311031103110311,0,0,0,0,0,0,192,NA,NA
"V14",0,0,0,0.0011997600479904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022995400919816,0,0.0173965206958608,0.0022995400919816,0,0,0,0,0,0,0.0121975604879024,0.0266946610677864,0,0.0138972205558888,0.892621475704859,0.0011997600479904,0,0.000599880023995201,0,0,0,0.0295940811837632,207,NA,NA
"V15",0,0,0,0,0,0,0.000999900009999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185981401859814,0,0.0185981401859814,0.001999800019998,0,0,0.001999800019998,0,0.000999900009999,0,0.08999100089991,0.0038996100389961,0.0136986301369863,0.343365663433657,0.483351664833517,0,0,0,0,0,0,0.0224977502249775,222.5,NA,NA
"V16",0.252525252525253,0,0,0.0111011101110111,0,0.0359035903590359,0.0235023502350235,0,0,0,0,0,0,0,0,0.0087008700870087,0.0334033403340334,0.0012001200120012,0,0.136113611361136,0.0173017301730173,0,0.0136013601360136,0.0037003700370037,0,0,0,0,0.047004700470047,0,0.0087008700870087,0.0446044604460446,0.0322032203220322,0,0.33043304330433,0,0,0,0,0,0,0,913,NA,NA
"V17",0.248950209958008,0,0,0.00409918016396721,0,0.0285942811437712,0.0598880223955209,0,0,0,0,0,0,0,0,0,0.0217956408718256,0.0026994601079784,0,0.0598880223955209,0.00539892021595681,0,0.0108978204359128,0.00679864027194561,0,0,0,0,0.0625874825034993,0,0.00409918016396721,0.0584883023395321,0.0489902019596081,0,0.376824635072985,0,0,0,0,0,0,0,1074,NA,NA
"V18",0.3188,0,0,0.0161,0,0.0757,0.0505,0,0,0,0,0,0,0,0,0.0023,0.0183,0.0023,0,0.0596,0,0,0.0046,0.0115,0,0,0,0,0.0321,0,0,0.0573,0.0298,0,0.3188,0.0023,0,0,0,0,0,0,1236,NA,NA
"V19",0.3159,0,0,0.023,0,0.0816,0.0418,0,0,0,0,0,0,0,0,0,0.0042,0.0042,0,0.0607,0,0,0.0105,0,0,0,0,0,0.0732,0,0.0042,0.0481,0.023,0,0.3075,0,0,0.0021,0,0,0,0,1399,NA,NA
"V20",0.385961403859614,0,0,0.00999900009999,0,0.0748925107489251,0.0864913508649135,0,0,0,0,0,0,0,0,0.0032996700329967,0.0032996700329967,0,0,0.0432956704329567,0.0016998300169983,0,0.0082991700829917,0.0016998300169983,0,0,0,0,0.0265973402659734,0,0,0.0615938406159384,0.02999700029997,0,0.25957404259574,0,0,0.0032996700329967,0,0,0,0,1563,NA,NA
"V21",0.470552944705529,0,0,0.0037996200379962,0,0.0511948805119488,0.0587941205879412,0,0,0,0,0,0,0,0,0.0018998100189981,0.0018998100189981,0,0,0.0303969603039696,0,0,0.0208979102089791,0.0037996200379962,0,0,0,0,0.0341965803419658,0,0,0.0284971502849715,0.0397960203979602,0,0.252374762523748,0,0,0.0018998100189981,0,0,0,0,1724,NA,NA
"V22",0.4594,0,0,0.0125,0,0.0891,0.0828,0,0,0,0,0,0,0,0,0.0031,0,0,0,0.0078,0,0,0.0031,0.0047,0,0,0,0,0.0391,0,0,0.0375,0.0156,0,0.2375,0.0031,0,0.0016,0,0.0031,0,0,1887,NA,NA
"V23",0.613261326132613,0,0,0.0053005300530053,0,0.140814081408141,0.0713071307130713,0,0,0,0,0.0018001800180018,0,0,0,0,0,0,0,0,0,0,0,0.0053005300530053,0,0,0,0,0.0089008900890089,0,0,0.0178017801780178,0.0143014301430143,0.0018001800180018,0.112311231123112,0,0,0,0,0.0071007100710071,0,0,2211,NA,NA
