"","Ericaceae","Myrica.faya","Lauraceae","Prunus.cf..P..lusitanica","Picconia.cf..P..excelsa","Ilex","Sambucus.cf..S..palmensis","Visnea.cf..V..mocanera","Salix.canariensis","Juniperus","Pistacia","Phoenix.canariensis","Pinus.canariensis","Cistus","Echium","Convolvulus","Urticaceae","Hypericum","Asteraceae.undiff","Argyranthemum.type","Euphorbiaceae","Artemisia","Rumex","Poaceae.","Stachys.cf","Ixanthus","Lamiaceae","Liliaceae","Chenopodiaceae","Reseda.type","Galium.type","Geranium.type","Viola","Allium.type","Scrophulariaceae","Aeonium.type","Quercus","Ranunculus","Pterydophyta.undiff.","Equisetum.","Davallia","Polypodium","Ophioglossum","Spore.trilete","Typha.type","Cal_yrs_BP","min","max"
"NA.",0.233009708737864,0.349514563106796,0.00970873786407767,0.0194174757281553,0,0,0,0,0.00970873786407767,0.029126213592233,0,0.029126213592233,0,0.00970873786407767,0,0,0.00970873786407767,0,0.0194174757281553,0,0,0,0.00970873786407767,0.203883495145631,0.00970873786407767,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0.0194174757281553,0.00970873786407767,0,0,0.0194174757281553,0,0,-7,NA,NA
"NA..1",0.330357142857143,0.294642857142857,0,0,0,0.00892857142857143,0,0,0,0.00892857142857143,0,0.0178571428571429,0.0357142857142857,0.0178571428571429,0,0,0,0,0.0357142857142857,0,0,0,0,0.116071428571429,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0.0178571428571429,0,0,0,0.00892857142857143,0.0714285714285714,0.0178571428571429,0,98,NA,NA
"NA..2",0.252336448598131,0.308411214953271,0,0,0.0280373831775701,0,0,0,0,0.0186915887850467,0,0.0467289719626168,0.0280373831775701,0.0280373831775701,0,0,0,0,0.0280373831775701,0,0,0,0,0.158878504672897,0,0,0,0,0,0,0,0.00934579439252336,0.00934579439252336,0,0,0,0,0.0186915887850467,0,0,0.00934579439252336,0.00934579439252336,0.0373831775700935,0.00934579439252336,0,198,NA,NA
"NA..3",0.321428571428571,0.25,0,0.00892857142857143,0,0,0,0,0.00892857142857143,0.0267857142857143,0,0.00892857142857143,0.00892857142857143,0.0535714285714286,0,0,0,0,0.0267857142857143,0,0,0,0,0.160714285714286,0,0,0,0,0.00892857142857143,0,0,0.00892857142857143,0,0,0,0,0,0.0357142857142857,0,0,0.0267857142857143,0,0.0446428571428571,0,0,301,NA,NA
"NA..4",0.458715596330275,0.220183486238532,0,0,0,0,0,0,0,0,0,0.073394495412844,0.018348623853211,0.0458715596330275,0,0,0,0,0.0091743119266055,0,0,0,0,0.0825688073394495,0,0,0,0,0,0,0,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0.0642201834862385,0.0091743119266055,0,402,NA,NA
"NA..5",0.407407407407407,0.203703703703704,0,0,0.00925925925925926,0,0,0,0.00925925925925926,0.00925925925925926,0,0.12037037037037,0.00925925925925926,0.0277777777777778,0,0,0,0,0.037037037037037,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.00925925925925926,0.00925925925925926,0,0,0,0,0,0,0,0.00925925925925926,0,0.0462962962962963,0.00925925925925926,0,505,NA,NA
"NA..6",0.4,0.190909090909091,0,0,0.00909090909090909,0,0,0,0.00909090909090909,0.00909090909090909,0,0.0909090909090909,0.00909090909090909,0.0363636363636364,0,0,0,0,0.0545454545454545,0,0,0,0,0.0545454545454545,0,0,0,0,0,0,0.00909090909090909,0.0272727272727273,0,0,0,0,0,0.0181818181818182,0,0,0,0.00909090909090909,0.0545454545454545,0.00909090909090909,0.00909090909090909,550,NA,NA
"NA..7",0.436893203883495,0.233009708737864,0,0,0.00970873786407767,0,0,0,0.00970873786407767,0,0,0.058252427184466,0,0.0194174757281553,0,0,0,0,0.058252427184466,0,0,0,0,0.106796116504854,0,0,0,0,0,0,0.00970873786407767,0.00970873786407767,0,0,0,0,0,0.00970873786407767,0,0,0.00970873786407767,0,0.00970873786407767,0.0194174757281553,0,593,NA,NA
"NA..8",0.272727272727273,0.236363636363636,0,0,0.0181818181818182,0,0,0,0.00909090909090909,0,0,0.109090909090909,0,0.0454545454545455,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0.0181818181818182,0,0,0,0,0,0.00909090909090909,0,0,0.0272727272727273,0,0.0363636363636364,0.0181818181818182,0,637,NA,NA
"NA..9",0.299145299145299,0.256410256410256,0,0,0.00854700854700855,0,0,0,0,0.00854700854700855,0,0.0256410256410256,0,0.0769230769230769,0,0,0,0,0.0256410256410256,0,0,0,0,0.136752136752137,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0.00854700854700855,0,0,0.0256410256410256,0,0.0683760683760684,0.0427350427350427,0.00854700854700855,681,NA,NA
"NA..10",0.318965517241379,0.163793103448276,0,0,0,0,0,0,0,0,0,0.0689655172413793,0.00862068965517242,0.0862068965517241,0,0,0,0,0.00862068965517242,0,0,0,0,0.163793103448276,0,0,0,0,0,0,0.00862068965517242,0.0172413793103448,0,0,0,0,0,0.0172413793103448,0,0,0.0172413793103448,0.00862068965517242,0.0862068965517241,0.00862068965517242,0.0172413793103448,723,NA,NA
"NA..11",0.379310344827586,0.137931034482759,0,0.00862068965517242,0.0431034482758621,0,0,0,0,0.00862068965517242,0,0.0258620689655172,0.00862068965517242,0.103448275862069,0,0,0,0,0.0258620689655172,0,0,0,0,0.103448275862069,0,0,0,0,0,0,0.00862068965517242,0.00862068965517242,0,0,0,0,0,0.00862068965517242,0,0,0.00862068965517242,0.00862068965517242,0.0948275862068966,0.0172413793103448,0,766,NA,NA
"NA..12",0.345864661654135,0.142857142857143,0,0.0075187969924812,0.0225563909774436,0,0,0,0,0,0,0.0451127819548872,0.0225563909774436,0.0601503759398496,0,0,0,0,0.0075187969924812,0,0,0,0,0.0676691729323308,0,0,0,0,0,0,0,0.0150375939849624,0,0,0,0,0,0.037593984962406,0,0,0.0150375939849624,0.0225563909774436,0.180451127819549,0.0075187969924812,0,806,NA,NA
"NA..13",0.336134453781513,0.159663865546219,0.00840336134453782,0,0.0504201680672269,0.00840336134453782,0,0,0.00840336134453782,0.00840336134453782,0,0.0420168067226891,0,0.0840336134453782,0,0,0,0.00840336134453782,0.0168067226890756,0,0,0,0,0.0840336134453782,0,0,0,0,0,0,0,0.00840336134453782,0,0,0,0,0,0.0168067226890756,0,0,0.0168067226890756,0.00840336134453782,0.126050420168067,0.00840336134453782,0,860,NA,NA
"NA..14",0.312,0.144,0,0,0.064,0,0,0,0.008,0.016,0,0.032,0.008,0.08,0,0,0,0,0.008,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0.008,0.008,0,0,0,0,0,0,0.008,0.16,0.032,0,1324,NA,NA
"NA..15",0.285714285714286,0.126984126984127,0,0,0.0634920634920635,0,0,0,0.00793650793650794,0,0,0.00793650793650794,0.00793650793650794,0.0952380952380952,0.00793650793650794,0,0,0,0,0,0,0,0,0.119047619047619,0,0.00793650793650794,0.00793650793650794,0,0,0,0,0.0158730158730159,0,0.00793650793650794,0.00793650793650794,0,0,0.00793650793650794,0,0,0,0,0.198412698412698,0.00793650793650794,0.0158730158730159,1785,NA,NA
"NA..16",0.253846153846154,0.107692307692308,0.0230769230769231,0,0.0153846153846154,0,0,0,0.0230769230769231,0,0.00769230769230769,0.0384615384615385,0.00769230769230769,0.0461538461538461,0,0,0,0,0.00769230769230769,0,0,0,0,0.2,0,0,0.00769230769230769,0,0,0,0,0.00769230769230769,0,0.00769230769230769,0.0153846153846154,0,0,0.00769230769230769,0,0,0.00769230769230769,0.0153846153846154,0.138461538461538,0.0538461538461538,0.00769230769230769,2245,NA,NA
"NA..17",0.272058823529412,0.139705882352941,0.0147058823529412,0,0.0220588235294118,0,0,0,0.00735294117647059,0,0,0.0147058823529412,0.00735294117647059,0.0441176470588235,0,0,0,0.00735294117647059,0.00735294117647059,0,0,0,0,0.154411764705882,0,0,0.0147058823529412,0,0,0,0,0.0220588235294118,0,0,0.00735294117647059,0,0,0,0,0,0,0.00735294117647059,0.220588235294118,0.0294117647058824,0.00735294117647059,2707,NA,NA
"NA..18",0.412280701754386,0.114035087719298,0,0,0.043859649122807,0,0,0,0,0,0,0.0350877192982456,0.0263157894736842,0.043859649122807,0,0,0,0,0.0087719298245614,0,0,0,0,0.114035087719298,0,0,0.0087719298245614,0,0,0,0,0.0087719298245614,0,0,0.0087719298245614,0,0,0,0,0,0,0.0087719298245614,0.12280701754386,0.0350877192982456,0.0087719298245614,3167.5,NA,NA
"NA..19",0.356589147286822,0.124031007751938,0.0155038759689922,0,0.0465116279069767,0,0,0,0,0,0.00775193798449612,0.0232558139534884,0.00775193798449612,0.0697674418604651,0,0,0,0.0155038759689922,0,0,0.00775193798449612,0,0,0.10077519379845,0,0,0.00775193798449612,0,0,0,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0.00775193798449612,0.155038759689922,0.0387596899224806,0.00775193798449612,3628.5,NA,NA
"NA..20",0.196969696969697,0.0378787878787879,0.00757575757575758,0.00757575757575758,0.0378787878787879,0.0151515151515152,0,0,0.0378787878787879,0,0,0.0378787878787879,0.0378787878787879,0.0681818181818182,0.00757575757575758,0,0.00757575757575758,0,0.0227272727272727,0,0,0,0,0.227272727272727,0,0,0.00757575757575758,0,0,0,0,0.0151515151515152,0,0,0,0,0,0,0.0757575757575758,0,0.0303030303030303,0,0.0606060606060606,0.0606060606060606,0,4089,NA,NA
"NA..21",0.198473282442748,0.0305343511450382,0.0152671755725191,0.0152671755725191,0,0,0,0,0.00763358778625954,0.0152671755725191,0,0.0305343511450382,0.0229007633587786,0.0229007633587786,0.0381679389312977,0.00763358778625954,0.0687022900763359,0,0.00763358778625954,0,0,0,0,0.221374045801527,0,0,0.0152671755725191,0.0152671755725191,0,0,0.0152671755725191,0.00763358778625954,0,0.00763358778625954,0,0,0,0.00763358778625954,0.129770992366412,0,0.00763358778625954,0.0229007633587786,0.0534351145038168,0.0152671755725191,0,4624,NA,NA
