"","Asteraceae.lig.","Asteraceae.tub.","Dodonaea.T.mau.167","Dodonaea.T.mau.128","Erica.T.mau.141","Ericales","Trochetia.T.mau.146","Trochetia.T.mau.174","Poaceae","Laurembergia.tetranda.type","Cyperaceae","Nymphoides.indica.type","Onagraceae","Pandanus.T.mau.131","Pandanus","Acalypha","Allophylus.T.mau.90","Aphloia.theiformis.type","Araliaceae.type","Bakerella.type.T.mau.169","Psiloxylon.mauritiana","Clematis.mauritiana.type","Dracaena.type","Eugenia","Labourdonnaisia.type.T.mau.98","Molinaea.T.mau.136","Myrtaceae.undif.","Nuxia.verticillata","Olea.type.T.mau.153","Pilea.Ficus.undif.","Polyscias.type..Araliaceae.","Rorippa.insularis.type","Sapotaceae","Syzygium","Tambourissa.purpurea.type..T.mau.101b.","Urticaceae.Moraceae.undif.","Weinmannia","Securinega.type..T.mau.8.","Alchornea.type","Artemisia.afra.type..T.mau.142.","Cycadaceae.type","Hydrocotyle.type..T.mau.135.","Podocarpus.type","Apiaceae.type","Solanaceae.type","Camellia.sinensis.type","Cordia.type","Euphorbiaceae.T.mau.112b","Euphorbiaceae.T.mau.172","Euphorbiaceae.T.mau.88.","Fabaceae","Melastomataceae","Plantago","Psidium.cattleianum","Rubiaceae.type.T.mau.121","Rubiaceae.type.T.mau.164","Rubiaceae.type.T.mau.67","Rubiaceae.type.T.mau.70","Arecaceae.type.T.mau.127","Arecaceae.type.T.mau.137","Arecaceae.type.T.mau.139","Arecaceae.tetrade.type.T.mau.2","cf..T.mau.87","not.Thalictrum.type","T.mau.100","T.mau.103","T.mau.115","T.mau.116..Proteaceae..","T.mau.12","T.mau.129b","T.mau.130","T.mau.132b","T.mau.138..Solanaceae..","T.mau.140","T.mau.143..Monimiaceae..","T.mau.143b","T.mau.147","T.mau.148","T.mau.150","T.mau.151","T.mau.151b","T.mau.152","T.mau.154","T.mau.157","T.mau.158..Oenothera..","T.mau.162","T.mau.165","T.mau.166..Solanaceae..","T.mau.168","T.mau.171","T.mau.175","T.mau.175a","T.mau.175b","T.mau.177","T.mau.178","T.mau.179","T.mau.18","T.mau.180","T.mau.181","T.mau.182","T.mau.185","T.mau.188","T.mau.189","T.mau.19","T.mau.190","T.mau.191","T.mau.202","T.mau.20b","T.mau.213","T.mau.28","T.mau.35b","T.mau.37","T.mau.43","T.mau.48","T.mau.51","T.mau.52","T.mau.57","T.mau.58","T.mau.59","T.mau.65","T.mau.75","T.mau.84","T.mau.87","T.mau.99","Cyathea","Lycopodium","Monolete.clavate.","Monolete.echinate.","Monolete.psilate.","Monolete.verrucate.","Pteris","T.mau.124.Trilete.verrucate.","T.mau.125.Trilete..large","T.mau.145.Trilete.echinate.","T.mau.161.Trilete.","T.mau.170","T.mau.184.Trilete.","T.mau.34.Trilete.reticulate.","T.mau.53.Trilete.echinate..","T.mau.54a","T.mau.54b","T.mau.54c.","T.mau.56.Trilete.","T.mau.64.Trilete.foveolate.","T.mau.93.Trilete.","Cal_yrs_BP","min","max"
"125",0.00192492781520693,0.00577478344562079,0,0,0,0,0,0,0.0211742059672762,0,0.080846968238691,0.000962463907603465,0.0115495668912416,0.00481231953801732,0.21944177093359,0.000962463907603465,0,0.00673724735322425,0,0,0,0.000962463907603465,0.0471607314725698,0.00577478344562079,0,0,0,0.0134744947064485,0,0,0,0.000962463907603465,0.0134744947064485,0.000962463907603465,0,0.014436958614052,0.0798845043310876,0.012512030798845,0.000962463907603465,0,0,0,0,0,0,0.000962463907603465,0.00384985563041386,0,0,0,0,0.09720885466795,0.00192492781520693,0,0,0,0,0,0,0,0,0.00769971126082772,0,0.00673724735322425,0,0,0,0,0.00192492781520693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288739172281039,0,0,0,0,0,0,0.00384985563041386,0,0,0,0,0,0.00288739172281039,0,0.00192492781520693,0.00384985563041386,0.00192492781520693,0.000962463907603465,0.00192492781520693,0.000962463907603465,0.000962463907603465,0.000962463907603465,0,0,0,0,0,0.068334937439846,0.00577478344562079,0,0,0.225216554379211,0.00288739172281039,0,0,0,0,0,0,0,0.00288739172281039,0.00192492781520693,0.00192492781520693,0.000962463907603465,0,0.000962463907603465,0.000962463907603465,0,-56,NA,NA
"274",0,0,0,0,0,0,0,0,0,0,0.0125223613595707,0.00715563506261181,0.00178890876565295,0.0143112701252236,0.418604651162791,0.0035778175313059,0,0,0,0,0,0,0.0536672629695885,0.00894454382826476,0,0,0,0.0161001788908766,0.00178890876565295,0.0769230769230769,0,0,0.00178890876565295,0.00536672629695885,0.0035778175313059,0.0268336314847943,0.035778175313059,0.0125223613595707,0.0035778175313059,0,0,0,0,0,0.00178890876565295,0,0,0,0,0,0,0.00894454382826476,0,0,0,0,0,0,0,0,0,0.0143112701252236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035778175313059,0,0,0,0.00715563506261181,0,0,0,0,0,0,0,0,0,0,0.0661896243291592,0.00715563506261181,0.0107334525939177,0,0.152057245080501,0,0,0,0.00894454382826476,0,0,0,0,0,0,0.00178890876565295,0.0107334525939177,0.00178890876565295,0,0,0,103,NA,NA
"402",0,0.00159235668789809,0,0,0,0,0,0,0.00318471337579618,0,0.0302547770700637,0.00159235668789809,0,0.00477707006369427,0.329617834394904,0.0127388535031847,0.00318471337579618,0.00318471337579618,0,0,0.00636942675159236,0,0.0461783439490446,0.00955414012738853,0,0,0,0.0191082802547771,0,0.0684713375796178,0,0.00796178343949045,0.00477707006369427,0.017515923566879,0.00796178343949045,0.0191082802547771,0.0238853503184713,0.00636942675159236,0.00159235668789809,0,0,0,0,0,0.00159235668789809,0,0,0,0,0,0,0.035031847133758,0,0.00159235668789809,0,0,0,0,0,0.00159235668789809,0,0.00955414012738853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159235668789809,0.00159235668789809,0.00159235668789809,0.00159235668789809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0.089171974522293,0.00318471337579618,0.0127388535031847,0,0.191082802547771,0,0.00159235668789809,0.00318471337579618,0.00477707006369427,0,0,0,0,0,0,0,0.00477707006369427,0.00159235668789809,0,0,0,239,NA,NA
"510",0,0,0,0,0,0,0,0,0.00421052631578947,0,0.00842105263157895,0.00631578947368421,0,0,0.538947368421053,0.00210526315789474,0,0,0,0,0,0.00210526315789474,0.0652631578947368,0.0126315789473684,0,0,0,0.00631578947368421,0,0.00421052631578947,0,0,0.00842105263157895,0,0,0.0294736842105263,0.0357894736842105,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421052631578947,0,0,0,0,0.00210526315789474,0,0,0,0,0.0168421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0.00210526315789474,0,0,0.00210526315789474,0,0,0,0,0,0,0.00210526315789474,0,0,0,0,0.0589473684210526,0.00421052631578947,0.00421052631578947,0,0.153684210526316,0,0.00421052631578947,0.00631578947368421,0,0,0,0,0,0,0,0,0.00210526315789474,0,0,0,0,352,NA,NA
"672",0,0,0,0,0,0,0,0,0,0,0.0216666666666667,0,0,0.00166666666666667,0.495,0.0166666666666667,0,0.005,0,0.00166666666666667,0.00166666666666667,0,0.04,0.00666666666666667,0,0,0,0.0216666666666667,0.00166666666666667,0.045,0,0.00166666666666667,0.005,0.00833333333333333,0.00666666666666667,0.015,0.0316666666666667,0.00833333333333333,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.00833333333333333,0.00333333333333333,0,0.153333333333333,0.00166666666666667,0,0,0.00833333333333333,0,0,0,0,0,0,0,0.005,0,0,0,0,524,NA,NA
"817",0,0,0,0,0,0,0,0,0,0,0.0186125211505922,0.00338409475465313,0,0.00338409475465313,0.460236886632826,0.00676818950930626,0.00169204737732657,0,0,0,0.00169204737732657,0,0.0473773265651438,0.0135363790186125,0,0.00169204737732657,0,0.0236886632825719,0,0.065989847715736,0,0,0.011844331641286,0.0050761421319797,0.0050761421319797,0.0135363790186125,0.0186125211505922,0.00846023688663283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338409475465313,0,0,0,0,0,0,0,0,0,0.0219966159052453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169204737732657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338409475465313,0,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0,0.0710659898477157,0.0050761421319797,0.00676818950930626,0,0.138747884940778,0.00169204737732657,0.00169204737732657,0,0.0135363790186125,0,0,0,0,0,0,0.00169204737732657,0.0135363790186125,0,0,0,0,679,NA,NA
"936",0,0,0,0,0,0,0,0,0,0,0.0157170923379175,0,0,0.00982318271119843,0.514734774066798,0.0157170923379175,0,0.00392927308447937,0,0,0.00392927308447937,0,0.0451866404715128,0,0,0,0,0.00392927308447937,0,0.0333988212180747,0,0,0.00196463654223969,0,0,0.00589390962671906,0.0353634577603143,0.00785854616895874,0,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0.00196463654223969,0,0,0.00196463654223969,0,0,0,0,0,0,0.00785854616895874,0,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196463654223969,0,0,0,0,0,0.00589390962671906,0,0,0,0.00196463654223969,0,0,0,0,0,0,0.00196463654223969,0,0,0,0.0589390962671906,0.00589390962671906,0.0117878192534381,0.00392927308447937,0.18860510805501,0.00196463654223969,0.00196463654223969,0,0,0,0,0,0,0,0,0,0,0,0,0.00196463654223969,0,806,NA,NA
"1076",0,0,0,0,0,0,0,0,0,0,0.011986301369863,0.00513698630136986,0,0.00684931506849315,0.416095890410959,0.0188356164383562,0,0.00171232876712329,0,0,0.00342465753424658,0,0.0616438356164384,0.00856164383561644,0,0,0,0.0205479452054795,0,0.0702054794520548,0,0,0.00684931506849315,0.011986301369863,0.00513698630136986,0.0188356164383562,0.0256849315068493,0.0154109589041096,0.00171232876712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171232876712329,0,0.0188356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171232876712329,0,0.00171232876712329,0,0,0,0,0,0,0,0,0,0,0,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719178082191781,0.00684931506849315,0.00513698630136986,0,0.159246575342466,0.00171232876712329,0.00171232876712329,0,0.00171232876712329,0,0,0,0,0,0.00513698630136986,0,0.00684931506849315,0.00171232876712329,0,0,0,954,NA,NA
"1222",0,0,0,0.00164203612479475,0,0,0,0,0,0,0.00656814449917898,0,0,0.00328407224958949,0.443349753694581,0.013136288998358,0,0,0,0,0.00164203612479475,0,0.0443349753694581,0.00492610837438424,0,0,0,0.0197044334975369,0.00164203612479475,0.0755336617405583,0,0,0.00164203612479475,0.00328407224958949,0.00164203612479475,0.0246305418719212,0.0197044334975369,0.013136288998358,0,0,0,0.00164203612479475,0,0,0,0,0,0,0,0,0,0.00164203612479475,0,0,0,0,0,0,0,0,0,0.0147783251231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164203612479475,0,0,0,0.00328407224958949,0,0,0,0,0,0,0,0.00164203612479475,0,0,0.0656814449917898,0.00164203612479475,0.00656814449917898,0,0.197044334975369,0.00328407224958949,0,0,0.013136288998358,0,0,0,0,0,0,0.00164203612479475,0.00492610837438424,0.00164203612479475,0,0,0,1108,NA,NA
"1363",0,0,0,0,0,0,0,0,0.00540540540540541,0,0.0108108108108108,0,0,0.0018018018018018,0.468468468468468,0.00720720720720721,0.0018018018018018,0,0,0,0,0,0.0846846846846847,0.00720720720720721,0.0018018018018018,0,0,0.0162162162162162,0,0.018018018018018,0,0.0018018018018018,0.00900900900900901,0.0036036036036036,0,0.0216216216216216,0.018018018018018,0.0018018018018018,0,0,0,0,0,0,0,0,0.0018018018018018,0,0,0,0.0018018018018018,0.0036036036036036,0,0,0,0,0,0,0,0,0,0.00720720720720721,0,0,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018018018018018,0.045045045045045,0.00900900900900901,0.0234234234234234,0,0.210810810810811,0.0018018018018018,0.0036036036036036,0,0,0,0,0,0,0,0,0.0036036036036036,0.0036036036036036,0,0,0,0.0018018018018018,1257.5,NA,NA
