"","Asteroideae","Casuarina","cf..Calystegia","Cocos","Commelina","Cyperaceae","Dicranopteris","Hypolepis","Microsorum","Pandanus","Persicaria","Pinus","Poaceae..smaller.50.","Poaceae..larger.50.","Sigesbeckia","Spermatophyta.undiff.","Thelypteridaceae","Acalypha","Angiopteris","Fabaceae","Ficus","Hibiscus","Ipomoea","Lycopodiella.cernua","Psidium","Pteris","Solanaceae","Cichorioideae","Colocasia","Lamiaceae","Myrtaceae","Psilotum","Sonchus","Glochidion","Polypodiaceae","Urticaceae.Moraceae","cf..Achyranthes","Hibiscus.cf..H..australensis","Pritchardia","Aleurites","Bidens","Cyathea","Myrsine","Rhus","Cyclophyllum","Euphorbiaceae","Homalanthus","Timonius","Trema","Vigna","Acrostichum","Asplenium","Allophylus","Arecaceae.incertae.sedis","Barringtonia","Celtis","cf..Psydrax","Lycopodium.sp.","Phyllanthus","cf..Psychotria","Dodonaea","Elaeocarpus","Macaranga","Charpentiera","Triumfetta","Lygodium","Pouteria","Coprosma","Claoxylon","Jasminum","Plumbago","Guettarda","Homalium","Melicope","Meryta","Terminalia","Cal_yrs_BP","min","max"
"343696",0.00462962962962963,0.0231481481481481,0.00462962962962963,0.00462962962962963,0.00925925925925926,0.0972222222222222,0.328703703703704,0.00462962962962963,0.0231481481481481,0.0231481481481481,0.00462962962962963,0.333333333333333,0.0972222222222222,0.0277777777777778,0.00462962962962963,0.00462962962962963,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.5,NA,NA
"343697",0,0.164835164835165,0,0,0.021978021978022,0.043956043956044,0.247252747252747,0.010989010989011,0.0274725274725275,0.0164835164835165,0.021978021978022,0.17032967032967,0.131868131868132,0.0274725274725275,0.010989010989011,0.00549450549450549,0.00549450549450549,0.00549450549450549,0.010989010989011,0.00549450549450549,0.010989010989011,0.00549450549450549,0.00549450549450549,0.0274725274725275,0.00549450549450549,0.00549450549450549,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,NA
"343698",0,0.0449438202247191,0,0.00374531835205993,0.0337078651685393,0.00749063670411985,0.314606741573034,0.0149812734082397,0.048689138576779,0.0187265917602996,0.0112359550561798,0.108614232209738,0.228464419475655,0.0337078651685393,0.0112359550561798,0.00749063670411985,0.0112359550561798,0,0.0112359550561798,0.00374531835205993,0.00374531835205993,0.0112359550561798,0,0.0374531835205993,0.00749063670411985,0,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0.00374531835205993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,NA,NA
"343699",0.0140845070422535,0.0704225352112676,0,0.0140845070422535,0.0140845070422535,0.112676056338028,0.197183098591549,0.028169014084507,0.0140845070422535,0,0.0140845070422535,0.0140845070422535,0.338028169014085,0,0,0.0422535211267606,0,0,0,0,0,0.0140845070422535,0,0.0140845070422535,0,0,0,0.028169014084507,0,0,0,0,0,0.0140845070422535,0.028169014084507,0.028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,NA,NA
"343700",0,0.0196078431372549,0,0.0235294117647059,0.0509803921568627,0.176470588235294,0.270588235294118,0.0352941176470588,0.0196078431372549,0.0117647058823529,0.0156862745098039,0.0431372549019608,0.125490196078431,0.0509803921568627,0.00392156862745098,0.0117647058823529,0.0392156862745098,0,0.0196078431372549,0.00392156862745098,0.0117647058823529,0,0,0.0117647058823529,0.0117647058823529,0,0,0.00392156862745098,0,0,0,0.0117647058823529,0,0,0.0117647058823529,0.00784313725490196,0.00784313725490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,NA,NA
"343701",0,0.0170212765957447,0,0,0,0.127659574468085,0.136170212765957,0.0893617021276596,0.0297872340425532,0.0425531914893617,0.0297872340425532,0,0.170212765957447,0.0340425531914894,0.00425531914893617,0.0127659574468085,0.0723404255319149,0,0.0170212765957447,0,0.00851063829787234,0,0,0.0297872340425532,0,0.00425531914893617,0.0127659574468085,0.00425531914893617,0.0212765957446809,0,0.00425531914893617,0.0340425531914894,0,0.00425531914893617,0.00851063829787234,0.0723404255319149,0.00425531914893617,0.00425531914893617,0.00425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,NA,NA
"343702",0,0.0454545454545455,0,0.0165289256198347,0.00413223140495868,0.144628099173554,0.223140495867769,0.0950413223140496,0.0330578512396694,0.012396694214876,0.00413223140495868,0.012396694214876,0.173553719008264,0.0413223140495868,0,0.00413223140495868,0.012396694214876,0,0.012396694214876,0,0.012396694214876,0.00413223140495868,0,0.0165289256198347,0,0.00826446280991736,0.00826446280991736,0.00413223140495868,0.012396694214876,0,0,0.0413223140495868,0,0,0,0.0289256198347107,0,0,0.00826446280991736,0.00413223140495868,0.00413223140495868,0.00413223140495868,0.00413223140495868,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,NA,NA
"343703",0,0.0245398773006135,0,0,0,0.110429447852761,0.193251533742331,0.196319018404908,0.0368098159509202,0.0153374233128834,0.0214723926380368,0,0.131901840490798,0.0429447852760736,0,0.0122699386503067,0.0276073619631902,0,0.00613496932515337,0.00613496932515337,0.00613496932515337,0,0.00306748466257669,0.0245398773006135,0,0.00306748466257669,0.00613496932515337,0,0.00306748466257669,0,0,0.0582822085889571,0,0.00306748466257669,0,0.0245398773006135,0,0,0.0122699386503067,0,0,0.0122699386503067,0,0,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,NA,NA
"343704",0,0.0170212765957447,0,0.00851063829787234,0,0.106382978723404,0.191489361702128,0.0723404255319149,0.025531914893617,0.025531914893617,0,0.0127659574468085,0.2,0.0765957446808511,0,0.00851063829787234,0.0680851063829787,0,0,0.00425531914893617,0.00851063829787234,0,0,0,0,0,0.00425531914893617,0,0,0,0,0.0170212765957447,0.00425531914893617,0,0,0.0723404255319149,0.00425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680851063829787,0.00425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,NA,NA
"343705",0.00396825396825397,0.00793650793650794,0,0.00396825396825397,0,0.166666666666667,0.130952380952381,0.0436507936507936,0.00793650793650794,0.0436507936507936,0.0277777777777778,0.00396825396825397,0.107142857142857,0.0555555555555556,0,0.00396825396825397,0.0595238095238095,0,0,0.00396825396825397,0,0.00396825396825397,0,0.0277777777777778,0,0.0198412698412698,0.00396825396825397,0,0.00793650793650794,0,0,0.0119047619047619,0,0,0,0.0555555555555556,0.00396825396825397,0,0.00396825396825397,0,0,0,0,0,0,0.00396825396825397,0,0.00396825396825397,0.00396825396825397,0,0.119047619047619,0.0238095238095238,0.00396825396825397,0.00396825396825397,0.00396825396825397,0.0119047619047619,0.00396825396825397,0.00396825396825397,0.00396825396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,NA,NA
