"","Amaranthaceae","Asteraceae.tubuliflorae","Asteraceae.liguliflorae","Cyperaceae","Poaceae","Pinus","Artemisia","Centaurea","Cirsium.type","Rosaceae","Brassicaceae","Apiaceae","Morella.Corylus.","Cannabaceae.Ostrya","Rumex","Betula","Fraxinus","Oleaceae","Salix","Solanaceae","Acacia","Picea","Juglans","Rubiaceae","CV.1","Ericaceae","Euphorbiaceae","Fabaceae","Moraceae","Ficus.type","Ilex","Lamiaceae","Alnus","Verbenaceae","CV.2","Quercus","Cerealia.type","Zea.mays","Carex","Urticaceae","Caryophyllaceae","Sapotaceae.type","Agavoideae","Convolvulus","Cal_yrs_BP","min","max"
"V2",0.266025641025641,0.179487179487179,0.0448717948717949,0.198717948717949,0.0641025641025641,0.0673076923076923,0.121794871794872,0,0,0,0.0128205128205128,0,0.00320512820512821,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0.0128205128205128,0,0.016025641025641,0,0,0,0,0.00320512820512821,0.00320512820512821,0,0,0,0,0,0,4,NA,NA
"V3",0.294642857142857,0.200892857142857,0.0357142857142857,0.191964285714286,0.0267857142857143,0.0401785714285714,0.174107142857143,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0.0178571428571429,0,0.00446428571428571,0,0,0,0,0,0,0,0,0.00446428571428571,0,0,0,7,NA,NA
"V4",0.229235880398671,0.18936877076412,0.0730897009966777,0.162790697674419,0.0598006644518272,0.0332225913621262,0.192691029900332,0,0,0,0.0166112956810631,0.00664451827242525,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0.0299003322259136,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,12,NA,NA
"V5",0.29375,0.11875,0.025,0.25,0.075,0.025,0.1625,0,0,0,0.04375,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,NA
"V6",0.217142857142857,0.217142857142857,0.0342857142857143,0.154285714285714,0.04,0.0342857142857143,0.28,0,0,0,0.0228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,NA
"V7",0.233830845771144,0.248756218905473,0.0149253731343284,0.0796019900497512,0.0497512437810945,0.00497512437810945,0.253731343283582,0,0,0,0.0497512437810945,0.0149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248756218905473,0,0.0248756218905473,0,0,0,0,0,0,0,0,0,0,0,0,23,NA,NA
"V8",0.170833333333333,0.2125,0.1,0.304166666666667,0.120833333333333,0.0583333333333333,0.0125,0,0,0,0.00416666666666667,0,0,0,0,0,0.0125,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,NA,NA
"V9",0.161538461538462,0.123076923076923,0.0307692307692308,0.361538461538462,0.0769230769230769,0.0461538461538462,0.176923076923077,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0.00769230769230769,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,NA,NA
"V10",0.0167597765363128,0.374301675977654,0.0837988826815642,0.0335195530726257,0.0502793296089385,0.0167597765363128,0.145251396648045,0.00558659217877095,0.00558659217877095,0.0111731843575419,0.145251396648045,0.0279329608938547,0.0279329608938547,0,0,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0,0,0.0223463687150838,0,0,0.00558659217877095,0.00558659217877095,0.00558659217877095,0,0.00558659217877095,0,0,0,0,0,0,0,88,NA,NA
"V11",0,0.0776699029126214,0.781553398058252,0,0.00970873786407767,0.0339805825242718,0.0194174757281553,0,0.00970873786407767,0,0,0,0.00970873786407767,0,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0.00485436893203883,0.00970873786407767,0.00970873786407767,0,0,0,0.00485436893203883,0.00485436893203883,0.00485436893203883,0.00970873786407767,0,0,0,0,0.00485436893203883,0,0,0,0,240,NA,NA
"V12",0,0.224852071005917,0.0591715976331361,0,0.0236686390532544,0.0236686390532544,0.0177514792899408,0,0.0828402366863905,0.00591715976331361,0.0118343195266272,0,0.0355029585798817,0,0,0,0.0650887573964497,0.00591715976331361,0,0,0,0,0.00591715976331361,0,0,0,0.00591715976331361,0,0,0.00591715976331361,0,0,0.0118343195266272,0.384615384615385,0,0,0.00591715976331361,0,0.0236686390532544,0,0,0,0,0,287,NA,NA
"V13",0.00934579439252336,0.364485981308411,0.0747663551401869,0,0.0934579439252336,0.0373831775700935,0.0373831775700935,0,0.00934579439252336,0,0.0186915887850467,0.0280373831775701,0.0467289719626168,0,0,0,0.0280373831775701,0,0,0,0,0,0,0,0,0,0.0280373831775701,0.00934579439252336,0,0,0,0,0.00934579439252336,0.00934579439252336,0.0841121495327103,0,0.00934579439252336,0,0.0841121495327103,0.00934579439252336,0,0,0.00934579439252336,0,309,NA,NA
"V14",0,0.484848484848485,0.0808080808080808,0,0.111111111111111,0.0303030303030303,0.0101010101010101,0.0202020202020202,0,0.0101010101010101,0.0303030303030303,0.0101010101010101,0.0505050505050505,0.0101010101010101,0,0.0101010101010101,0.0505050505050505,0,0,0,0,0,0,0,0.0101010101010101,0.0101010101010101,0,0,0,0,0,0,0.0101010101010101,0.0202020202020202,0,0,0,0,0.0404040404040404,0,0,0,0,0,334,NA,NA
"V15",0.224137931034483,0.168965517241379,0.0482758620689655,0.186206896551724,0.096551724137931,0.0724137931034483,0.131034482758621,0.00344827586206897,0.0103448275862069,0.00689655172413793,0.0275862068965517,0,0,0.00344827586206897,0,0,0,0.00344827586206897,0,0.00344827586206897,0,0,0,0,0.00344827586206897,0,0.00344827586206897,0,0,0.00344827586206897,0,0,0,0,0,0,0,0.00344827586206897,0,0,0,0,0,0,509,NA,NA
"V16",0.241095890410959,0.153424657534247,0.073972602739726,0.243835616438356,0.0602739726027397,0.0547945205479452,0.0876712328767123,0.00273972602739726,0.00273972602739726,0,0.0164383561643836,0,0,0,0,0,0,0,0,0,0.00547945205479452,0,0,0,0,0,0,0,0,0.0547945205479452,0,0,0,0,0,0,0.00273972602739726,0,0,0,0,0,0,0,534,NA,NA
"V17",0.165354330708661,0.322834645669291,0.114173228346457,0.145669291338583,0.106299212598425,0.078740157480315,0.031496062992126,0,0,0.00393700787401575,0,0,0,0,0,0,0.0078740157480315,0,0,0,0.00393700787401575,0,0,0,0,0,0.0078740157480315,0,0.00393700787401575,0.00393700787401575,0,0.00393700787401575,0,0,0,0,0,0,0,0,0,0,0,0,558,NA,NA
"V18",0.149659863945578,0.605442176870748,0.0204081632653061,0.0680272108843537,0.0680272108843537,0.0272108843537415,0.0204081632653061,0,0,0,0.0204081632653061,0.00680272108843537,0,0,0,0,0,0,0,0,0.00680272108843537,0,0,0,0,0,0,0.00680272108843537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,NA,NA
"V19",0.02,0.55,0.02,0.01,0.2,0.03,0.03,0.01,0,0.02,0.02,0.03,0.02,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,596,NA,NA
"V20",0,0.371681415929204,0.185840707964602,0,0.079646017699115,0.00884955752212389,0.0176991150442478,0.0575221238938053,0.106194690265487,0.128318584070796,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00884955752212389,0,0.0132743362831858,0,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0,0,0,0,766,NA,NA
