"","Amaranthaceae","Asteraceae.tub.","Asteraceae.lig.","Cyperaceae","Poaceae","Pinus","Apiaceae","Lamiaceae","Brassicaceae","Eucaliptus","Cannabaceae.Ostrya","Malvaceae","Centaurea","Morella.Corylus","Plantago","Rumex","Betula","Quercus","Alnus","Ulmus","Tamarix.type","CV.4","Ficus","Artemisia","Ilex","Juniperus","Ericaceae","Oleaceae","Faidherbia.albida","Persea.americana","Dracaena.Draco.subsp..Caboverdeana","Asparagus.type","Euphorbia.tuckeyana","Euphorbiaceae..other.","Asystasia","Dicliptera","Campanulaceae","Caryophilaceae","Annonaceae.type","Fabaceae..other.","Rubiaceae","Aeonium","Urticaceae","Commelinaceae","Convolvulaceae","Cucurbitaceae","Cerealia","Zea.mays","Ipomoea.batatas","Phaesolus","Cal_yrs_BP","min","max"
"V2",0.0330578512396694,0.338842975206612,0.0413223140495868,0.0413223140495868,0.0909090909090909,0.0909090909090909,0.0206611570247934,0.0330578512396694,0.173553719008264,0.0867768595041322,0,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0,0.0165289256198347,0.012396694214876,0,0,0,0,0,0,0,0,0,0,0,0.00826446280991736,0.00413223140495868,0,0,-65,NA,NA
"V3",0.0786163522012579,0.327044025157233,0.0314465408805031,0.0314465408805031,0.0314465408805031,0.135220125786164,0.00943396226415094,0.0125786163522013,0.242138364779874,0.0251572327044025,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059748427672956,0,0,0,0,0,0,0,0,0,0.00628930817610063,0,0.00314465408805031,0.00314465408805031,0,0,-54,NA,NA
"V4",0.0723684210526316,0.210526315789474,0.138157894736842,0.118421052631579,0.0690789473684211,0.0657894736842105,0,0.00328947368421053,0.259868421052632,0.0164473684210526,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164473684210526,0,0,0,0,0,0,0,0.00328947368421053,0,0.00986842105263158,0,0.00328947368421053,0.00657894736842105,0,0.00328947368421053,-40,NA,NA
"V5",0.112179487179487,0.233974358974359,0.092948717948718,0.0544871794871795,0.0288461538461538,0.0801282051282051,0.00961538461538462,0.0192307692307692,0.326923076923077,0.016025641025641,0,0.00320512820512821,0.00320512820512821,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0.00961538461538462,0,0,0,0,0,-27,NA,NA
"V6",0.10738255033557,0.271812080536913,0.0738255033557047,0.11744966442953,0.0369127516778524,0.0469798657718121,0.023489932885906,0.0369127516778524,0.191275167785235,0.0268456375838926,0.00335570469798658,0.0100671140939597,0.00335570469798658,0.00671140939597315,0,0,0,0,0,0,0,0.00335570469798658,0,0.00335570469798658,0,0,0,0.00335570469798658,0,0,0,0,0,0,0.0167785234899329,0,0,0,0,0.00335570469798658,0,0,0,0,0.0100671140939597,0,0,0.00335570469798658,0,0,-13,NA,NA
"V7",0.106382978723404,0.182370820668693,0.0455927051671733,0.21580547112462,0.0486322188449848,0.00303951367781155,0.0303951367781155,0.00303951367781155,0.322188449848024,0.0121580547112462,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303951367781155,0.0060790273556231,0.0121580547112462,0,0,0,0,0,0,0,0,0,0.0060790273556231,0,0,0,0,0,16,NA,NA
"V8",0.0162866449511401,0.195439739413681,0.0618892508143322,0.322475570032573,0.0521172638436482,0,0,0.00325732899022801,0.328990228013029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195439739413681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,NA,NA
"V9",0.113924050632911,0.208860759493671,0.0506329113924051,0.322784810126582,0.0443037974683544,0,0.0379746835443038,0.0474683544303797,0.151898734177215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00949367088607595,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,NA,NA
"V10",0.163841807909605,0.172316384180791,0.0508474576271186,0.313559322033898,0.0593220338983051,0,0.0254237288135593,0.0536723163841808,0.146892655367232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564971751412429,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,NA,NA
"V11",0.175548589341693,0.156739811912226,0.0564263322884013,0.247648902821317,0.0595611285266458,0,0.0752351097178683,0.0376175548589342,0.169278996865204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626959247648903,0,0,0.0156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,NA,NA
"V12",0.177049180327869,0.180327868852459,0.0655737704918033,0.252459016393443,0.059016393442623,0,0.0262295081967213,0.0327868852459016,0.19016393442623,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0,158,NA,NA
"V13",0.16025641025641,0.224358974358974,0.0897435897435897,0.16025641025641,0.0384615384615385,0,0.0384615384615385,0.0128205128205128,0.237179487179487,0,0,0.00641025641025641,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,186,NA,NA
"V14",0.195121951219512,0.182926829268293,0.103658536585366,0.128048780487805,0.0365853658536585,0,0.0487804878048781,0.0121951219512195,0.25609756097561,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0,0,0,0,0.00609756097560976,0,0,0,0,0.00609756097560976,0,0,214,NA,NA
"V15",0.1,0.283333333333333,0.0888888888888889,0.116666666666667,0.0333333333333333,0,0.0277777777777778,0.0277777777777778,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,242,NA,NA
"V16",0.117647058823529,0.196078431372549,0.124183006535948,0.169934640522876,0.0326797385620915,0,0.0196078431372549,0.0130718954248366,0.281045751633987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065359477124183,0,0,0,0,0,0,0.0065359477124183,0,0,0.0261437908496732,0,0,0.0065359477124183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,NA,NA
"V17",0.0616438356164384,0.321917808219178,0.198630136986301,0.0342465753424658,0.0136986301369863,0,0.0273972602739726,0.0136986301369863,0.26027397260274,0,0,0,0,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616438356164384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,NA,NA
"V18",0.0347222222222222,0.333333333333333,0.145833333333333,0.0416666666666667,0.0277777777777778,0.00694444444444444,0.00694444444444444,0,0.319444444444444,0,0,0,0,0,0.0347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0.0347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,NA,NA
"V19",0.0387596899224806,0.248062015503876,0.116279069767442,0.0155038759689922,0.0155038759689922,0.0155038759689922,0.0155038759689922,0,0.410852713178295,0,0,0.00775193798449612,0,0.00775193798449612,0.0155038759689922,0,0,0,0,0,0.00775193798449612,0,0,0,0,0,0,0,0.00775193798449612,0,0.00775193798449612,0,0.062015503875969,0,0,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0,355,NA,NA
