"","Cupressaceae","Dacrycarpus.dacrydioides","Dacrydium.cupressinum","Fuscospora","Halocarpus","Knightia.excelsa","Metrosideros.undiff","Metrosideros.type2.","Nestegis","Phyllocladus","Podocarpus","Podocarpaceae.undiff","Prumnopitys.ferruginea","Prumnopitys.taxifolia","Streblus","Weinmannia.silivicola","Pisonea.brunoniana","Cordyline","Geniostoma","Rhopalostylis.sapida","Vitex.lucens","Aristotelia","Ascarina.lucida","Asteraceae.undiff.","Coriaria","Coprosma","Dodonaea.viscosa","c.f..Entelea","c.f..Hebe","Leptospermum.type","Macropiper","Melicope","Melicytus.nz","Muehlenbeckia","Myrsine","Pittosporum","Pseudopanax.lessonii","Pseudowintera","Ripogonum.scandens","Parsonsia","Sicyos","Tupeia","Arthropodium","Astelia","Apiaceae.c.f..Scandia","Apiaceae","Brassicaceae","Fabaceae","Galium","Small.Poaceae","Large.Poaceae..Chionochloa.type.","Urticaceae","Xeronema.callistemon","Callitriche","Chenopodium.spp","Taraxacum..Picrus..","Lactuceae","Plantago","Stellaria","Scrophulariaceae","Myosotis","Wahlenbergia","c.f..Dianella","c.f..Sarcocornia","Cyperaceae.undiff.","Carex.type","Cyperus.type","Baumea","Eleocharis.type","Gonocarpus","Haloragis","Isolepis.type","Typha.orientalis","Phormium","Leptocarpus","Pteridium.esculentum","Cyathea.dealbata.type","Dicksonia.squarrosa","Blechnum.procera.type","Histiopteris.incisa","Microsorum.pustulatum","Pyrrosia","Monolete.fern.spores.undiff.","Trilete.fern.spores.undiff.","Anthoceros.spikey.type","Leucopogon.fasciculatus","Microsorum.novo.zelandiae","Hepatic","Pinus","Plantago.lanceolata","Taraxacum.type","Cal_yrs_BP","min","max"
"0",0,0,0.00695652173913044,0,0,0,0.758260869565217,0.00695652173913044,0.00347826086956522,0,0.000347826086956522,0,0,0,0,0,0.000347826086956522,0.000347826086956522,0.000347826086956522,0,0,0,0,0,0,0.0139130434782609,0,0,0,0,0.0417391304347826,0,0,0.0104347826086957,0.00347826086956522,0,0.00347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0.031304347826087,0,0,0,0.00347826086956522,0,0,0,0,0,0,0,0,0,0,0,0.0243478260869565,0.0104347826086957,0,0,0,0,0,0,0.0104347826086957,0.00347826086956522,0.00695652173913044,0,0.00347826086956522,0,0.00695652173913044,0.00347826086956522,0.000347826086956522,0.031304347826087,0,0.00347826086956522,0.00347826086956522,0,0,0.00695652173913044,0,0,-14,NA,NA
"26",0,0.00589275191514437,0,0,0,0,0.624631703005304,0,0.00589275191514437,0,0,0.000589275191514437,0,0,0,0,0,0.000589275191514437,0,0.00589275191514437,0,0,0.000589275191514437,0,0,0.0353565114908662,0,0,0,0.00589275191514437,0.0766057748968769,0.000589275191514437,0,0,0,0,0.00589275191514437,0,0,0,0,0,0,0.000589275191514437,0,0,0,0,0,0.0176782557454331,0.0353565114908662,0.0117855038302887,0,0,0,0,0.00589275191514437,0,0,0,0,0,0,0,0.0353565114908662,0,0,0,0,0.00589275191514437,0,0,0,0,0.0117855038302887,0.0117855038302887,0,0,0.0117855038302887,0.0294637595757219,0,0,0.0412492634060106,0.00589275191514437,0.000589275191514437,0,0,0,0.000589275191514437,0.00589275191514437,0,13,NA,NA
"58",0,0.00632111251580278,0.00632111251580278,0,0,0,0.366624525916561,0,0.00632111251580278,0,0,0,0.0126422250316056,0,0,0,0,0.0316055625790139,0,0,0,0,0,0,0,0.0316055625790139,0,0,0,0.00632111251580278,0.056890012642225,0,0.00632111251580278,0,0.0126422250316056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126422250316056,0.183312262958281,0.00632111251580278,0,0,0,0,0.00632111251580278,0,0.000632111251580278,0,0,0,0,0,0.0695322376738306,0.0126422250316056,0,0.0126422250316056,0,0,0.00632111251580278,0,0,0,0.0316055625790139,0.0126422250316056,0,0,0.0252844500632111,0.0126422250316056,0,0,0.0442477876106195,0.0126422250316056,0,0,0,0,0.00632111251580278,0.000632111251580278,0,39,NA,NA
"91",0,0,0.000533333333333333,0.000533333333333333,0,0,0.192,0,0,0,0.000533333333333333,0,0,0,0,0,0,0,0,0.0106666666666667,0,0,0,0,0,0.0373333333333333,0,0,0,0.0266666666666667,0.0426666666666667,0,0.00533333333333333,0,0.0213333333333333,0,0.0106666666666667,0,0,0,0,0,0.000533333333333333,0,0,0,0.000533333333333333,0,0,0.0266666666666667,0.154666666666667,0.00533333333333333,0.00533333333333333,0,0,0,0.016,0,0,0,0,0,0,0,0.064,0,0.0266666666666667,0,0,0.00533333333333333,0,0,0,0.048,0.144,0.016,0.00533333333333333,0,0.0106666666666667,0.0426666666666667,0,0,0.0373333333333333,0.00533333333333333,0.0266666666666667,0,0,0,0.0106666666666667,0,0,63.5,NA,NA
"124",0.00840336134453781,0,0.00840336134453781,0,0,0,0.0840336134453782,0,0,0,0,0,0,0.00840336134453781,0,0,0,0.00840336134453781,0,0.00840336134453781,0,0,0,0,0,0.00840336134453781,0,0,0,0.00840336134453781,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151260504201681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100840336134454,0.0840336134453782,0,0,0,0,0,0.00840336134453781,0.0756302521008403,0.117647058823529,0.0588235294117647,0.00840336134453781,0,0,0.0504201680672269,0,0,0.0756302521008403,0,0.0252100840336134,0,0,0,0.0168067226890756,0,0.0252100840336134,87,NA,NA
"156",0,0.0161550888529887,0,0.000807754442649435,0,0,0.0646203554119548,0,0,0.00807754442649435,0,0.0201938610662359,0,0.000807754442649435,0,0,0,0,0,0.0161550888529887,0,0,0,0.0161550888529887,0,0.024232633279483,0,0,0,0.00807754442649435,0.0403877221324717,0,0,0,0.00807754442649435,0,0,0,0,0,0,0,0,0,0,0.00807754442649435,0.0161550888529887,0,0,0.0403877221324717,0.0726978998384491,0.00807754442649435,0,0,0,0,0.0161550888529887,0,0,0,0,0,0,0,0.24232633279483,0.00807754442649435,0.0323101777059774,0.000807754442649435,0,0,0.0323101777059774,0,0,0.0161550888529887,0.105008077544426,0.0726978998384491,0,0.0161550888529887,0,0.00807754442649435,0,0,0.0484652665589661,0,0.0323101777059774,0,0,0,0,0,0,112,NA,NA
"214",0,0,0.014018691588785,0,0,0,0.0233644859813084,0,0.014018691588785,0.00934579439252336,0.00467289719626168,0,0,0,0,0,0,0.014018691588785,0,0.00467289719626168,0,0,0.00467289719626168,0.014018691588785,0.00467289719626168,0.00467289719626168,0,0,0,0.0280373831775701,0.0420560747663551,0,0,0,0,0,0,0,0,0,0,0.00467289719626168,0.00467289719626168,0,0,0,0,0,0,0.116822429906542,0,0,0.00467289719626168,0,0.00467289719626168,0,0.0514018691588785,0,0,0,0,0,0,0,0.242990654205607,0.0280373831775701,0.0186915887850467,0,0,0,0.00934579439252336,0,0,0.0327102803738318,0.0420560747663551,0.11214953271028,0,0,0.0280373831775701,0,0,0,0.0794392523364486,0,0.0373831775700935,0,0,0,0,0,0,190,NA,NA
"310",0,0.000867302688638335,0.000867302688638335,0.00867302688638335,0,0,0.0173460537727667,0,0.00867302688638335,0.00867302688638335,0,0.00867302688638335,0,0.000867302688638335,0,0,0,0.02601908065915,0,0.0173460537727667,0,0,0,0,0,0.02601908065915,0,0,0,0.0173460537727667,0.0346921075455334,0,0,0,0.00867302688638335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520381613183001,0.0433651344319167,0,0,0,0.00867302688638335,0,0.0173460537727667,0,0,0,0,0,0.00867302688638335,0,0.23417172593235,0.00867302688638335,0.0520381613183001,0.0173460537727667,0,0,0.0173460537727667,0,0,0.0607111882046834,0.0346921075455334,0.0607111882046834,0,0,0.0173460537727667,0.0173460537727667,0,0,0.1040763226366,0,0.0607111882046834,0,0,0,0,0,0,345,NA,NA
"386",0,0.0169875424688562,0,0.0113250283125708,0,0,0.00566251415628539,0,0.00566251415628539,0.00566251415628539,0,0.0141562853907135,0,0,0,0,0,0.00566251415628539,0,0.0169875424688562,0,0,0,0.00566251415628539,0,0,0,0,0,0.0113250283125708,0.0396375990939977,0,0,0,0.00566251415628539,0,0,0,0,0,0,0,0,0,0,0.000566251415628539,0,0,0,0.0339750849377123,0.0169875424688562,0,0,0,0.00566251415628539,0,0.0453001132502831,0,0,0,0,0,0,0,0.124575311438279,0.0113250283125708,0.00566251415628539,0.0113250283125708,0,0,0.00566251415628539,0.00566251415628539,0,0.0453001132502831,0.0226500566251416,0.0453001132502831,0,0,0,0,0,0,0.0566251415628539,0.00566251415628539,0.413363533408834,0,0,0,0,0,0,468,NA,NA
"608",0,0,0.0207345971563981,0,0,0,0.023696682464455,0,0.023696682464455,0.000592417061611374,0,0,0.000592417061611374,0,0,0,0,0.0118483412322275,0,0.0177725118483412,0,0,0.000592417061611374,0.0118483412322275,0,0.00592417061611374,0,0,0,0,0.154028436018957,0,0,0,0.0118483412322275,0,0,0,0,0,0,0,0.00592417061611374,0,0,0,0,0,0,0.100710900473934,0,0,0,0,0,0,0.0710900473933649,0,0,0,0.00592417061611374,0,0,0,0.136255924170616,0.0118483412322275,0.00592417061611374,0,0,0.023696682464455,0,0,0,0.0592417061611374,0.0177725118483412,0.0473933649289099,0,0.0118483412322275,0.0118483412322275,0,0,0,0.106635071090047,0.0414691943127962,0.0592417061611374,0,0,0,0,0,0,520,NA,NA
