"","Quercus","Carpinus.cf..betulus","Pinus.cf..canariensis","Erica.arborea","Myrica.cf..faya","Lauraceae","Picconia.cf..excelsa","Prunus.cf..lusitanica","Viburnum.cf..rigidum","Sambucus.cf..palmensis","Visnea.cf..mocanera","Ilex","Sideroxylon.cf..mirmulano","Maytenus.cf..canariensis","Pistacia","Olea","Juniperus","Phoenix.cf..canariensis","Dracaena.cf..draco","Chamaecytisus","Adenocarpus","Cistus","Daphne.cf..gnidium","Convolvulus","Hypericum","Bituminaria.cf..bituminosa","Echium","Artemisia","Rumex","Canarina.cf..canariensis","Pericallis","Cedronella","Asphodelus","Lamiaceae","Scrophulariaceae","Rubiaceae","Plantaginaceae","Chenopodiaceae","Fumariaceae","Apiaceae","Allium","Caryophyllaceae","Trifolium","Erodium","Asteracaeae","Poaceae","Salix.cf..canariensis","Ranunculus","Carex","Juncus","Typha.dominguensis","Pteridophyta","Cal_yrs_BP","min","max"
"335",0,0,0.00501672240802676,0.0568561872909699,0.248327759197324,0,0.00501672240802676,0.0510033444816054,0.0543478260869565,0.00501672240802676,0.00250836120401338,0,0,0,0,0,0.0108695652173913,0.0568561872909699,0,0.00501672240802676,0.0267558528428094,0.00501672240802676,0,0.00250836120401338,0.00250836120401338,0,0.0108695652173913,0,0,0,0.0192307692307692,0,0,0.00250836120401338,0.0158862876254181,0.00250836120401338,0,0.0217391304347826,0,0,0,0.00501672240802676,0,0.00250836120401338,0.0811036789297659,0.134615384615385,0.0668896321070234,0.0125418060200669,0.00250836120401338,0.00668896321070234,0,0.0777591973244147,982.5,NA,NA
"489",0.0293159609120521,0,0.0162866449511401,0.0211726384364821,0.20114006514658,0.00570032573289902,0.010586319218241,0.0513029315960912,0.0480456026058632,0.0268729641693811,0.00814332247557003,0,0,0,0,0,0.0162866449511401,0.0456026058631922,0,0.00244299674267101,0.0244299674267101,0,0,0,0.00570032573289902,0,0.0244299674267101,0,0,0,0,0,0,0.00570032573289902,0.010586319218241,0,0,0.00814332247557003,0,0,0,0.00244299674267101,0,0,0.0936482084690554,0.157980456026059,0.0920195439739414,0.00407166123778502,0.00814332247557003,0,0,0.0798045602605863,1069.5,NA,NA
"643",0.00487408610885459,0,0.00487408610885459,0.0316815597075548,0.238017871649066,0.0235580828594638,0.0105605199025183,0.0446791226645004,0.0601137286758733,0.0235580828594638,0.00487408610885459,0,0.00812347684809098,0,0,0,0.0259951259138911,0.041429731925264,0,0,0.0259951259138911,0,0,0,0.00243704305442729,0.00812347684809098,0.0284321689683184,0,0,0,0.00243704305442729,0,0,0,0.0186839967506093,0.00243704305442729,0,0.00812347684809098,0,0,0,0.00243704305442729,0,0,0.0779853777416734,0.112103980503656,0.0682372055239643,0.0154346060113729,0.0016246953696182,0.0016246953696182,0,0.101543460601137,1176.5,NA,NA
"798",0.0318367346938776,0.00816326530612245,0.0106122448979592,0.0212244897959184,0.261224489795918,0.0130612244897959,0.00816326530612245,0.0636734693877551,0.0775510204081633,0.0106122448979592,0,0,0.00244897959183673,0.00244897959183673,0.00571428571428571,0.00244897959183673,0.0236734693877551,0.0318367346938776,0,0.00244897959183673,0.0130612244897959,0,0,0,0,0.00244897959183673,0.0318367346938776,0,0,0,0.00244897959183673,0,0,0.00244897959183673,0.0106122448979592,0.00244897959183673,0.00244897959183673,0.0106122448979592,0,0,0,0,0,0,0.0481632653061224,0.109387755102041,0.0448979591836735,0.0383673469387755,0.0204081632653061,0,0.00163265306122449,0.0816326530612245,1287.5,NA,NA
"1106",0.0409448818897638,0.0125984251968504,0.0236220472440945,0.0204724409448819,0.177952755905512,0.015748031496063,0.0102362204724409,0.0283464566929134,0.0488188976377953,0.015748031496063,0.00236220472440945,0,0.00551181102362205,0,0,0.0078740157480315,0.0283464566929134,0.0519685039370079,0,0.00236220472440945,0.015748031496063,0,0,0,0.00236220472440945,0,0.0259842519685039,0,0,0,0.00236220472440945,0,0,0,0.0102362204724409,0.00551181102362205,0,0.00551181102362205,0,0,0,0,0,0,0.0590551181102362,0.167716535433071,0.0960629921259843,0.0377952755905512,0.00551181102362205,0.0015748031496063,0,0.0716535433070866,1476.5,NA,NA
"1338",0.0846859562455893,0.0254057868736768,0.0204657727593507,0.00705716302046577,0.155257586450247,0.0204657727593507,0.00211714890613973,0.036697247706422,0.0430486944248412,0.0162314749470713,0.00211714890613973,0.00423429781227946,0,0,0,0,0.0938602681721948,0.018348623853211,0,0.00423429781227946,0.013408609738885,0.00211714890613973,0.00211714890613973,0,0,0,0.013408609738885,0,0,0,0.00211714890613973,0,0,0,0.00211714890613973,0,0.00211714890613973,0.0204657727593507,0,0.00211714890613973,0,0,0,0,0.0296400846859562,0.0797459421312632,0.0416372618207481,0.117854622441778,0.0402258292166549,0.0169371912491179,0,0.0797459421312632,1616,NA,NA
"1415",0.0796934865900383,0.0544061302681992,0.00229885057471264,0.0245210727969349,0.180842911877395,0.0245210727969349,0.00766283524904215,0.0176245210727969,0.0521072796934866,0.00996168582375479,0.00229885057471264,0,0,0,0,0.00459770114942529,0.0222222222222222,0.00766283524904215,0,0.00229885057471264,0,0,0,0,0.00459770114942529,0,0.0467432950191571,0,0,0,0.00229885057471264,0,0,0.00229885057471264,0.0199233716475096,0,0,0.00766283524904215,0,0,0,0.00459770114942529,0,0,0.0444444444444444,0.13639846743295,0.085823754789272,0.0582375478927203,0.0199233716475096,0.00306513409961686,0,0.071264367816092,1657.5,NA,NA
"1569",0.108664772727273,0.0397727272727273,0.00426136363636364,0.0241477272727273,0.144176136363636,0.0134943181818182,0.00639204545454545,0.0241477272727273,0.0419034090909091,0.0269886363636364,0.00426136363636364,0.00213068181818182,0.00213068181818182,0,0,0.00639204545454545,0.0269886363636364,0.015625,0,0.00426136363636364,0.015625,0,0,0,0.00426136363636364,0,0.0553977272727273,0.00213068181818182,0,0,0.00213068181818182,0,0,0.00213068181818182,0.00426136363636364,0,0.00426136363636364,0.00213068181818182,0,0.00426136363636364,0,0,0,0,0.03125,0.0845170454545455,0.0887784090909091,0.100852272727273,0.0440340909090909,0.00284090909090909,0,0.0553977272727273,1748,NA,NA
"1723",0.0493730407523511,0.0360501567398119,0.0258620689655172,0.0203761755485893,0.114420062695925,0.0282131661442006,0.0133228840125392,0.018025078369906,0.0438871473354232,0.018025078369906,0,0,0.00235109717868339,0,0,0.00235109717868339,0.0438871473354232,0.0336990595611285,0,0,0.00783699059561128,0,0,0.0101880877742947,0,0.00235109717868339,0.0493730407523511,0,0,0,0,0,0,0,0.0360501567398119,0,0,0.0101880877742947,0,0,0,0.00235109717868339,0,0,0.0697492163009404,0.142633228840125,0.0603448275862069,0.0438871473354232,0.0274294670846395,0.0054858934169279,0,0.0822884012539185,1833.5,NA,NA
"1877",0.13519313304721,0.0457796852646638,0.0143061516452074,0.0185979971387697,0.133047210300429,0.0207439198855508,0.0121602288984263,0.0228898426323319,0.0522174535050072,0.0164520743919886,0.00429184549356223,0.00214592274678112,0.00429184549356223,0,0.00214592274678112,0.00858369098712446,0.0164520743919886,0.0121602288984263,0,0,0.00214592274678112,0,0,0,0.0107296137339056,0,0.0143061516452074,0.00214592274678112,0,0,0,0,0,0,0.0107296137339056,0,0,0.0185979971387697,0,0,0,0,0,0,0.0207439198855508,0.11444921316166,0.0701001430615165,0.138769670958512,0.0343347639484979,0.00214592274678112,0,0.0393419170243205,1915,NA,NA
