"","Acalypha","Alnus","Amaranthaceae","Anacardiaceae undiff.","Arecaceae","Arrabidaea","Asteraceae","Avicennia germinans","Batis maritima","Begonia","Bursera simaruba","Cayaponia","Celtis","Conocarpus erectus","Cyperaceae","Drypetes","Euphorbiaceae undiff.","Fabaceae","Meliaceae","Moraceae","Myrica","Nymphaea","Pinus","Poaceae","Pouteria","Protium","Rhizophora mangle","Rubiaceae","Spondias mombin","Tabebuia","Tapirira","Triumfetta","Typha domingensis","Ulmus","Cal_yrs_BP","min","max"
"S143680","","","41","","","","28","5","7","","1","3","","22","8","","129","","","29","4","","12","14","","","30","","20","","2","2","5","","727","1667","24"
"S143681","","1","27","","","","2","4","2","","2","13","","15","16","","117","","","20","3","1","17","47","","","24","","24","","3","1","10","","1696","2187","885"
"S143682","","1","29","","2","","18","5","5","","3","7","2","19","9","","115","","","30","7","1","8","32","","","36","","13","","5","","11","","2336","2593","2086"
"S143683","","","43","","","3","14","8","3","","4","8","","7","20","","116","","","11","3","","15","58","","2","30","","","","1","","25","1","2542","2851","2203"
"S143684","","","35","","","3","10","2","6","","6","4","","9","8","","112","","","45","4","","7","40","","2","43","","2","","2","1","27","1","2807","3022","2547"
"S143685","","2","46","","3","","13","10","3","1","","6","4","5","13","","78","","","30","2","","14","46","","1","28","","14","","","5","23","3","3045","3299","2856"
"S143686","","1","64","2","","2","10","4","5","","2","8","4","2","33","","66","","","20","1","","13","76","","1","15","","","","2","6","21","1","3250","3694","2942"
"S143687","","","48","","","","15","8","5","","1","18","2","2","30","","28","","","15","1","2","14","98","","3","14","","","","3","","41","","3636","4164","3182"
"S143688","1","1","56","1","1","1","15","9","4","","2","13","2","2","28","1","27","","","24","1","","16","96","","6","14","","","","2","3","31","","3827","4371","3327"
"S143689","","1","60","","","","12","12","5","","2","16","","3","20","","18","","1","22","2","","24","86","1","3","20","1","","","8","5","27","1","4207","4746","3658"
"S143690","","","48","","1","","8","8","2","","2","32","","4","52","","42","","","4","","","28","80","","4","16","","","1","4","4","44","","4596","5062","4060"
"S143691","","","47","","2","6","8","11","5","","1","19","1","2","35","","21","1","1","8","3","1","35","62","","8","9","","","","4","3","28","3","4972","5337","4499"
"S143692","","","51","1","","","16","8","2","","2","31","","4","18","","23","","","6","","2","35","61","","7","16","","","","5","3","51","","5356","5630","5098"
"S143693","","1","63","2","","1","37","4","7","","","14","","2","27","","20","","1","11","4","1","15","53","","1","8","","","","","3","65","8","5517","5843","5213"
"S143694","","1","80","","","","104","6","14","","","8","","7","5","","32","","","16","2","","6","17","","1","4","","","","","","107","1","5799","6167","5434"
"S143695","","","83","","","","86","1","27","","","13","","5","7","","26","","","19","1","1","7","18","1","","1","","","","1","","76","3","6163","6425","5774"
"S143696","","","87","","","","83","","28","","","11","","5","2","","32","","","19","","","5","23","","","1","","","","","1","101","","6355","6523","6093"
"S143697","","","95","","","","81","","14","","","6","","5","","","17","","","11","","1","5","22","","","1","","","","","1","107","","6408","6597","6136"
"S143698","","","118","","","","47","3","11","","1","8","","2","11","","20","","","","","","3","24","","","1","","","","","","106","","6531","6805","6225"
"S143699","","","127","","","","50","","8","","","6","","3","3","","10","","","2","","","1","37","","","1","","","","","2","98","","6619","6915","6297"
"S143700","","","91","","","","102","","16","","","8","","","","","15","","","8","","","9","22","","","1","","","","","","81","","6793","7133","6455"
"S143701","","","101","","","","106","5","23","","1","5","","","6","","8","","","4","","","3","16","","","2","","","","","","82","","6969","7322","6621"
"S143702","","","100","","","","61","","15","","","3","","2","","","10","","","3","","","6","39","","2","","","","","","4","93","","7147","7500","6795"
"S143703","","","111","","","","106","","21","","1","10","","1","2","","8","","","5","","","4","32","","","2","","","","","2","98","","7322","7672","6969"
"S143704","","1","128","","","","90","","14","","","6","","","10","","10","","","7","","","2","28","","","2","","","","","","50","","7442","7769","7105"
"S143705","","1","120","","","","108","","11","","","11","","","8","","6","","","6","","4","","18","","","1","","","","","","62","","7492","7821","7152"
"S143706","","","178","1","","1","68","5","7","","","2","","","5","","6","","","","","","8","10","","","1","","","","","","67","","7665","7964","7342"
"S143707","","1","161","","","1","84","","11","","","15","","3","9","","13","","","3","","","1","15","","","2","","","","","2","49","","7837","8097","7550"
"S143708","","","160","","","","69","","15","","","2","","3","7","","1","","","3","","2","1","30","","","1","","","","","3","77","","7926","8164","7673"
