"","Amaranthaceae","Artemisia-type","Asteraceae undiff.","Boerhavia","Capparis","Casuarina equisetifolia","Cocos nucifera","Cyperaceae undiff.","Cyperus-type","Hibiscus","Ipomoea","Nama","Poaceae","Portulaca","Pritchardia","Sesuvium","Sicyos","Sida","Tribulus","Cal_yrs_BP","min","max"
"S148106","","1","","","","","1","73","7","","1","","","","","","","","","-40","-12","-54"
"S148107","44","","","2","","","","64","27","","","","5","1","5","","2","2","1","416","788","139"
"S148108","2","1","","","","1","","90","18","","","","2","","1","","","","","688","1140","332"
"S148109","","","","","","","4","620","8","","","","3","4","44","1","1","5","","2389","3051","1754"
"S148110","1","","","","","","3","257","15","","","","1","","56","","2","","","3459","4141","2769"
"S148111","4","","","1","","","","273","21","","","","1","12","4","1","1","","1","4486","5146","3803"
"S148112","1","","2","","","","2","535","37","","","","139","","71","2","32","1","","4848","5480","4179"
"S148113","","","","","","","1","533","24","","","","","1","57","","","","","5691","6244","5074"
"S148114","1","","2","","1","","1","1084","63","","","","1","","591","","","","1","6113","6605","5543"
"S148115","1","","","1","","","","2116","42","","","2","72","1","190","3","1","","1","6626","7037","6160"
"S148116","1","","1","","","","","214","1","","","","3","","124","","","","","7032","7343","6707"
"S148117","1","","","1","","","","1500","13","2","","","2","","740","","2","","1","7385","7779","6983"
"S148118","","","","1","","","","217","","","","","","","137","","","","","7534","7940","7098"
"S148119","9","","3","1","","","","614","","2","1","","1","1","457","1","1","","1","7627","7997","7184"
