 ,Cal_yrs_BP,max,min,Acrostichum,Adiantum,Alnus incana-type,Amaranthaceae,Ambrosia,Anacardiaceae undiff.,Apiaceae,Arecaceae-type undiff.,Artemisia,Asteroideae undiff.,Avicennia,Betula,Brassicaceae,Caryophyllaceae,Celtis,Citrus,Cladium,Coccoloba,Conocarpus,Cupressaceae,Cyperaceae undiff.,Dinoflagellata,Dodonaea,Dryopteris-type,Ericaceae,Eucalyptus spike,Eucalyptus suspension,Eucalyptus suspension,Eugenia-type,Euphorbiaceae,Fabaceae,Fagus,Forestiera,Fraxinus,Galium,Huperzia lucidula-type,Indeterminable,Laguncularia,Lamiaceae,Lemnoideae,Liliaceae,Ludwigia,Moraceae,Myrica,Myriophyllum,Oleaceae undiff.,Osmunda,Ostrya/Carpinus,Persicaria maculosa-type,Pinus,Plantago,Poaceae,Potamogetonaceae,Pteridium-type,Quercus,Rhizophora,Rhus/Toxicodendron,Rhynchospora,Rosaceae,Ruppia maritima,Rutaceae undiff.,Sabal,Sagittaria,Salix,Sample quantity,Sapindaceae undiff.,Sisyrinchium-type,Sparganium-type,Sphagnum,Taxus,Thalictrum,Trema,Typha latifolia,Ulmus,Unknown,Unknown (trilete),Urticaceae,Verbenaceae
,259,,,,,,,27,,3,,1,10,,1,2,,,,,,,573,,,,,,770,115000,1,1,,,,2,1,,,6,,,,,,,,,,,,,3,9,2,,,2,34,,,,2,,1,,,1,1,,,,,,,,,2,,,
,517,,,,1,,2,9,,8,1,1,34,,1,,,,,,,,406,2,,1,,,908,115000,1,,3,,,4,1,,,7,,1,,,,,,,,,,,1,9,3,,3,,23,,,,3,,1,,,1,1,2,2,,,,,,,5,,,
,776,,,,,,3,,,4,,2,5,,1,1,,2,,,,,306,2,,1,,,1187,115000,1,,1,,,,,,,12,,,,,,,,,,,,,3,2,2,,1,1,17,,,,,,2,,1,1,,,,,,,,1,,,,1,
,1013,,,,,1,,,,,,,,,,,,16,,,,4,601,,,1,,,1102,115000,1,,2,,,1,,,,7,,,,,,,,,,,1,,2,,,,,1,10,,,,,,6,,,1,,,1,,,,,,,6,,,
,1185,,,,1,,,,,,,,,,,,,4,,,,1,237,,,1,3,,757,115000,1,,1,,,1,,,,7,,,,,,,2,,,,,,2,,2,,,,13,,,,,,6,,,1,,,,,,,2,,,3,,,
,1357,,,,,,,,,,,2,,,,,,7,,,,,513,1,,,,,929,115000,1,,5,,,,,,,7,,,,,,,,,,,,,3,,,,,5,15,,,,,,5,,,1,,,,,,,,,,3,,,
,1460,,,,,,,,,,,2,,,,,,6,,,,,721,,,,,,1112,115000,1,,2,,,,,,,5,,,,,,2,2,,,,,,2,,,,1,12,14,,,,,,8,,,1,1,,,,,,,,,4,,,
,1701,,,,,,,,,,,,,,,,,1,,,,,496,,,,,,486,115000,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,,3,,,
,1873,,,,,,,,,,,4,,,3,1,,2,,,,4,929,,2,,2,,1226,115000,1,,56,,,,,,,10,,,1,,,,2,,1,,1,,6,,,,,6,21,,,,,,8,,,1,,,,1,,,,,,8,,,
,2045,,,,1,,,,,,,1,,,,,,1,,,,,458,,,,,,388,115000,1,,1,,,,,,,11,,,,,,,,,,,,,1,,,,,1,6,,,,,,1,,,1,1,,,,,,,,,,,,1
,2217,,,,,,,,,,2,,,,1,,,1,,,,1,422,1,,,,,476,115000,1,3,,,,,,,,22,,,,,,,,,,,1,,1,,1,,,1,5,,,,,,2,,,1,,,,,,,,,,12,,,
,2389,,,,,,,,,,,,,,,,,,,,,,58,,,,,,183,115000,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,
,2561,,,,,,,,,,,1,,,,,,1,,,,,296,,,,,,417,115000,1,,2,,,,,,,3,,,,,,,1,,,,,,2,,,,,1,,,,,,,6,,,1,,,,,2,,,,,3,,,
,2702,,,,,,,,,,2,1,,,1,,,,,,,,459,1,,,,,305,115000,1,,,,,,,1,,3,,,,1,,,,,,,,,,,,,1,1,2,,,,,,,,,1,,,,,,,,,,,,,
,2750,,,,,1,,,,,1,2,,,1,,,1,,,,,240,,,,,,398,115000,1,,1,,,,1,,,3,,,,,,,,,,,,,2,,,,,2,,,,,,,2,,,1,1,,,,,,,,,1,,,
,2798,,,,,,,,,,,,,,1,,,1,,,,1,356,,,,,,304,115000,1,,1,,,,,,,8,,,,,,,,,,,,,,,,,,1,6,,,,,,4,,,1,,,,,,,,,,1,,,
,2846,,,,,,,,,,,2,,,,,,,,,,,222,,,,,,491,115000,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,4,,,1,,,,,,,,,,,,,
,2894,,,,,,,,,,1,,,,,,,1,,,,4,217,,,1,,,275,115000,1,,2,,,,,,,1,,,,,,,1,1,,,,,4,,1,,,,,1,,,2,,3,1,,1,,,,,,,,,,1,,,
,2942,,,,,,,,,,,1,,,,,,1,,,,3,280,,,2,,,311,115000,1,,2,,,,,,,10,,,,,,,,,,,,,1,,1,,,1,,,,,,,6,,,1,,,,1,,,,,,4,,,
,2990,,,,,,,,,,,1,,,,,,2,,,,2,392,,,,1,,509,115000,1,,3,,,,,,,23,,,,,,,,,,,,,3,,,,,,,1,,,,,11,,,1,,,,,,,,,,3,,,
,3038,,,,,,,,,,,1,,,,,,,,,,4,464,,,,,,441,115000,1,,2,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,6,,,1,,,,,,,,,,4,,,
,3081,,,,,1,,,,,,1,,,,,,1,,,,17,1301,,,,,,689,115000,1,,7,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,2,,,,,6,,,1,1,1,,,,,,,,4,,,
,3134,,,,,,,,,,,1,,,,,,4,,,,21,913,,,1,,,1325,115000,1,,2,,,,,,,3,,,,,,1,,,,,,,1,,,1,,2,,,,,,,15,,,1,,,,,,,,,,11,,1,
,3197,,,,,,,,,,,1,,,,,,9,,,,13,1027,,,1,,,967,115000,1,,2,,,,,,,4,,,,,,1,,,,,,,3,,1,,1,3,,,,,,,18,,,1,,,,1,,,,,,6,,,
,3304,,,,,,,,,,,1,,,,,,1,,,,15,723,,,1,,,923,115000,1,,1,,,,,,,6,,,,,,,,,,,,,1,,,,,2,,,,,,,11,,,1,,,,,,,,,,4,,,
,3411,,,,,,,,,,,,,,,,,,,,1,2,490,1,,2,5,,575,115000,1,,,,,,,,,5,,,,,,1,,,,,,,1,,2,,,,,3,,,,,4,,,1,,,,,,,,,,,,,
,3507,,,,,,,,,,,2,,,1,,,6,,,,9,504,,,,1,,1203,115000,1,,5,,,,,,,1,,,,,,,,,,,,,,,2,,,3,,1,,,,,14,,,1,,,,,,,,,,12,,,
,3625,,,,,,,,,,,2,,,,,,11,,,,4,536,1,,,,,1050,115000,1,,2,,,,,,,1,,,,,,,,,,,,,2,,,,,1,,2,,,,,24,,,1,1,,,,,,,,,5,,,
,3732,,,,,,,,,,,2,,,,,,5,,,,5,413,,,,,,613,115000,1,,,,,,,,,4,,,,,,1,,,,,,,1,,,,,2,,,,,,,8,,,1,,,,,,,,,,6,,,
