"","Acacia","Aleurites","Amaranthaceae","Artemisia","Asteraceae","Batis","Bobea","Boerhavia","Broussasia (flat-lobed)","Broussasia (round-lobed)","Canthium","Chamaesyce","Cheirodendron","Claoxylon","Colubrina","Coprosma","Cyanea","Cyperaceae","Cyrtandra","Diospyros","Dodonaea","Erythrina","Euphorbia-type","Freycinetia","Gouania","Gunnera","Hedyotis","Ilex","Isodendrion","Kadua","Labordia","Lepidium","Leptecophylla","Lycium","Melicope","Morinda","Myrsine","Myrtaceae","Nestegis","Pandanus","Phyllanthus","Platydesma","Poaceae","Polyscias","Pritchardia","Prosopis","Rubiaceae","Rubus","Santalaceae","Sesbania","Sida","Solanum","Taraxacum","Tribulus","Urticaceae","Waltheria","Xylosma","cf. Nothocestrum","Cal_yrs_BP","min","max"
"S165274","","","61","","7","5","","","4","","","","1","","","","","6","","","","","","","","","","","","","","","","2","","","","1","1","1","","","1","4","","4","","","","","4","","2","","6","","","","5","121","-53"
"S165275","","","54","","","","","","","","","","12","","","3","","","","","","","","","","","","","","3","","","","","","","3","","","","","","3","","","","","","","","","","","","","","","","152","399","-12"
"S165276","","","18","","1","","","","","","","","8","","","1","","","6","","2","","","","","","","3","","","","","1","","","","30","2","","8","","","3","","","","","","","","1","","3","","","","","3","303","600","67"
"S165277","","","38","","2","","","","","4","","2","9","","","5","","","2","3","","","","","","","1","1","3","","","","1","","","","22","4","","2","","","6","","","","","","","","","1","","","","","2","","405","699","144"
"S165278","","","6","6","4","","","","","","","","3","","","","","","6","","2","","","","6","","7","2","","","","","4","","","","10","","2","6","","","6","","","","","","","","","","1","","","","4","","504","793","230"
"S165279","","","20","","19","","","","","11","","","4","","","3","","","3","","","","4","","","","","1","","1","","1","","","","","34","18","","3","","","9","","","","","","","","","","","","","","","","578","867","290"
"S165280","","","10","3","9","","","","1","3","","","5","","","","","","8","","2","","","","1","","2","3","","1","","","","3","","","23","2","","2","","2","3","","","","","","","","3","","","","3","","","","654","927","378"
"S165281","","1","1","","7","","2","","3","4","","","5","2","","1","1","","4","","","","1","","","","2","1","2","","","","","","2","","40","1","1","2","","","4","3","","","","","","","1","","","","3","","9","","679","953","398"
"S165282","","","14","","15","","","","","","","","1","","2","","","","17","","1","","3","","","","","","5","1","","","","","4","","8","2","","10","","","8","","","","","","","","","","10","","","","2","","729","997","468"
"S165283","","","19","1","13","","","2","","5","","","2","","","","","","12","","3","","3","","","1","","2","","","","","","","","","41","1","","","","","1","","","","","","","","","","","","","","2","","779","1039","533"
"S165284","","","14","2","","","","","","5","","7","3","","","","","","","","","","2","","2","7","","2","","","","","","2","2","","32","2","","2","2","2","5","","","","","","","8","2","","","","","3","8","","805","1068","554"
"S165285","","","8","","3","","","","1","7","","","9","","1","1","","","2","","","","3","","","","","2","","","1","","3","1","","1","47","1","","","","","1","","3","","","","1","","2","","1","","","","1","15","830","1092","595"
"S165286","","","8","6","3","","","","","6","","","11","","1","","","","3","","2","","1","","","1","","","","","","","","5","2","","41","1","","6","","","4","","","","","","1","","","","6","","","","","","856","1115","651"
"S165287","","","7","2","3","","","","10","","","1","12","","","","","","23","","1","","7","","","1","1","3","","3","","","","1","","","56","2","","1","1","","2","","2","","","","","","","","1","","","","","","909","1163","738"
"S165288","","","7","","3","","","","9","","","1","13","","","1","","","9","","2","1","","","1","","","2","","","","","","3","1","","34","","","1","","","1","","3","","","","","","","","","","","","1","3","975","1232","803"
"S165289","1","","18","","5","","","","6","14","","","18","","1","","","","17","","1","","1","","","","1","5","3","2","","","","2","","","46","2","","1","","","1","1","2","","","","","","3","","1","","","","2","6","1026","1297","836"
"S165290","","","61","","11","","","","","","","1","4","","","","","","","","","","2","","","","","6","","","","","","","","","5","18","","16","","","24","","3","","","6","","","","","4","1","","","","","1128","1517","870"
"S165291","","","96","","8","","","","1","","","2","1","","","1","","","6","","2","","","","","","1","","","","","","","","","","8","","","","1","","20","","2","","","","","","1","","","","1","","","","1178","1647","882"
"S165292","1","","68","","8","","","","3","","","","10","","","1","","","5","","3","","1","","","","","2","","1","","","","","","","4","","","","","","7","","1","","","","","","2","","2","","","","2","1","1230","1734","915"
"S165293","1","","73","","4","","","","2","4","","1","5","1","","1","","","6","","7","","","","","","4","1","","2","","","1","2","","","4","","","","1","","33","","3","","","","","","","","","","","1","1","","1390","1893","1009"
"S165294","","","31","7","3","","","","","","1","","1","","","1","","","1","","2","","1","1","","","","","","","","","1","","","","2","4","3","7","","","11","","","","","","","","","","","","","","3","","1443","1972","1028"
"S165295","","","85","3","3","","","","","","","","1","","","1","","","","","2","","","","","","1","","","","","","1","","1","","1","","","1","","","30","","","","","","","","2","","1","","","","","","1496","2039","1066"
"S165296","","","119","","5","","","","1","","","","2","","","","","","","","1","","","","4","","3","","","","","","3","","","","4","","","","","","13","","","","","","","","2","","","","","","","","1551","2080","1117"
"S165297","","","116","","8","","","","1","","","1","1","","","1","","","","","","","","","","","4","","","2","","","1","","","","1","","","3","","","22","","3","","","","","","4","","","1","","","","","1606","2128","1154"
"S165298","","","146","","5","","","","","","","3","1","","","","","","","","2","","","","","","2","","","2","","","","","","","5","","","","","","15","","3","","","","","","1","","","","","1","","","1661","2180","1187"
"S165299","","","147","2","3","","","","1","","","2","1","","","","","","1","","1","","","","","","2","","","","","","","","","","","","","","","","23","","1","","","","","","1","","","","","","","","1769","2313","1255"
