"","Abies","Acer","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea","Cichorioideae","Cistus","Coriaria myrtifolia","Corylus","Cyperaceae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Hedera","Helianthemum","Hippophaë","Juglans","Juniperus","Lamiaceae","Ligustrum","Myriophyllum","Oleaceae","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Poterium sanguisorba","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Scabiosa","Sparganium-type","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S219217","","","","","2","","","","","","","","","","3","4","","","1","4","","","","","","","","","","2","","1","","6","","13","3","","6","","","","8","","","","","","","","","12","","","","","","","93","552","-401"
"S219218","","","2","8","1","7","2","2","","","1","","","","1","","","1","7","1","11","","","","","","","","1","1","","","","30","1","42","2","16","25","1","","","24","4","","","","","2","","","48","1","","","1","","","264","690","-194"
"S219219","","","","1","2","","","","","","","","","","","2","","","","6","2","","","","","","","","","4","","1","","11","","15","5","1","6","","","","11","4","","","","","","","","15","","","","","","","434","830","12"
"S219220","","","","1","1","2","1","2","","","5","","","","","","","","3","","8","","","","","","","","","","","","","23","4","66","","2","10","","","1","16","","","","","","1","","","9","","","","","","","605","970","217"
"S219221","","","","1","1","6","3","","","","","","","","9","3","","","6","","2","","","","","","","1","","2","","2","","20","","28","5","1","9","","","1","13","5","","","","","","","","7","","1","","","","","776","1112","421"
"S219222","","","","18","4","1","2","","","","","","","","59","","","1","4","","2","","","","","","","","","","","","","4","","19","","2","3","","","","6","3","","","","","","","","5","","","","","","","947","1255","624"
"S219223","","","","22","5","1","16","","","","","","","","637","5","","","6","6","3","","","","","","","","","4","","9","","19","","36","9","","22","","","","15","3","","","","","","","","5","","","","","","","1118","1402","826"
"S219224","","","","10","2","","3","","","","","","","","88","","","","3","1","2","","","","","","","","","","","","","4","","23","","3","1","","","","5","","","","","","1","","","2","","","","","","","1289","1549","1024"
"S219225","","","","5","3","7","8","","","1","","","","","26","4","","1","7","9","4","","","","","","","","","7","","12","","50","","29","12","2","27","","","","53","17","","","","","2","","","15","","","","","","1","1460","1697","1219"
"S219226","","","","3","","11","1","2","","","1","","","","3","","","","2","","4","","","","","","","","","","","","","31","","56","","3","13","","","","42","7","","","","","4","","1","25","","","","","","1","1631","1849","1413"
"S219227","","","2","9","3","10","","","","","","","","","2","1","","1","2","","8","","","","","","","","","","","","","52","","104","3","6","9","","","","22","14","","","","","3","","","1","","","","","","","1973","2167","1787"
"S219228","","","","7","","14","3","1","","1","","","","","","","","","5","1","6","","","","","","","","","4","","","","59","","98","28","3","26","1","","","23","2","1","","","","1","","","8","","","1","","","1","2144","2330","1965"
"S219229","","","3","47","1","17","1","4","","","","","","","5","1","","5","10","2","6","","","1","","","","","1","","","","","88","","104","2","6","11","","","","31","14","","","","","","","","","","","","","","","2315","2499","2138"
"S219230","","","3","58","5","26","","3","","","","","","","2","1","","3","8","2","12","","","","","","","","","3","","4","","41","","46","25","3","18","","","","25","19","2","","","","","","","8","","","","","","1","2486","2677","2304"
"S219231","","","5","32","2","19","","4","","","","","","","1","1","","7","5","","6","1","","1","","","","","1","","","","","39","","39","5","14","11","","","","58","23","","","","","1","1","","","","","","","","","2743","2928","2566"
"S219232","","","4","41","1","15","2","","","1","","","","","1","","","6","12","","4","","","1","","","","","","2","","1","","29","","82","44","3","4","","","","37","9","","","","","","","","1","","","","","","","3029","3204","2862"
"S219233","1","","3","50","3","20","2","1","","1","1","","","","4","5","","13","4","","5","","","1","","","","","","3","","","1","82","","164","4","25","18","","","","44","40","","","","","1","","","","","","","","","","3315","3482","3155"
"S219234","","","1","33","3","15","","1","","","","","","","","3","","5","6","5","1","","","2","","","","","","2","","2","","57","","76","24","10","7","","","","20","18","14","","","","3","","","2","","","","","","","3601","3763","3448"
"S219235","","","10","56","1","25","1","8","","","","","","","","","","14","4","1","4","","","1","","","","","","3","","","","75","","79","4","13","14","","","","57","57","","","","","3","","","1","","","","2","","","3887","4046","3739"
"S219236","","","2","25","2","7","2","3","","","","","","","1","","","10","3","3","2","","","3","","","","","","2","","","","47","","136","6","22","9","","","","25","11","2","","","","1","","","1","","","","","","","4173","4329","4027"
"S219237","","","6","90","4","16","3","6","","1","","","","","1","3","","10","8","2","11","","","8","","","","","","2","","1","","89","","172","3","33","36","","","","65","93","","","","","1","","","","","","","","","","4459","4613","4315"
"S219238","","","4","65","2","13","4","","2","","","","","","1","1","","13","10","1","14","","1","4","","","","","","1","","","","84","","117","13","20","24","","","","47","18","3","","","","1","","","5","","","","","","1","4746","4897","4600"
"S219239","","","4","14","1","6","","3","","","","","","","2","2","","5","4","2","3","","","1","","","","","","","","","","24","","93","1","9","5","","","","24","15","","","","","","","","","","","","","","3","5032","5182","4884"
"S219240","","","16","97","6","6","10","2","1","","","","","","3","4","1","10","14","6","4","","","5","","","","","","3","","","","73","","52","10","24","19","","","","41","39","5","","","","","","","5","","","","1","1","1","5318","5468","5167"
"S219241","","","3","49","3","10","6","3","","","","","","","11","","","19","2","3","4","","","7","","","","","","1","","","","53","","11","1","25","9","","","","21","41","","","","","","","","","","","","1","","1","5604","5756","5449"
"S219242","","","9","31","8","6","4","3","","5","","","","","1","","","16","6","6","3","","1","5","","","","","","14","","","","41","","15","12","38","32","","","","56","20","6","1","1","1","","","","2","","","","","1","2","5890","6047","5730"
"S219243","","","10","57","2","6","5","1","","1","","","","","6","","","22","2","1","5","","","2","","1","","","","3","","","","50","","14","1","23","15","","","","23","36","","","","1","3","","","1","","","","1","","","6176","6339","6009"
"S219244","","","4","36","11","5","18","1","2","1","","","","","","","","10","14","17","4","","","2","","","","","","39","","","","30","","45","10","32","34","","","","50","26","10","","","","2","","","6","","","","","","","6462","6632","6285"
"S219245","","","11","48","12","4","14","2","","3","","1","","","2","","","13","6","2","3","","","2","","","","","","14","","","","19","1","46","1","29","11","","","","29","48","","","","","3","","","3","","","","","","","6748","6926","6559"
"S219246","","","7","40","6","1","3","1","1","9","","","","1","","","","17","5","55","2","","","","","","","","","120","","","","3","","18","15","14","8","","","","21","23","3","","","","","9","","2","","","","2","","","7034","7221","6832"
"S219247","","","5","61","8","12","","2","","14","","","","","","","","19","3","5","11","","","2","","","","","","72","","","","4","","31","5","28","2","1","","","36","47","","","","","2","","","1","","","","2","","1","7192","7380","6988"
"S219248","","","8","38","16","1","5","1","","6","3","","","","1","2","","15","5","15","2","","1","2","","","","","","126","","","","6","","20","17","20","16","","","","31","25","2","1","","","","11","","2","","","","1","1","","7222","7402","7027"
"S219249","","","6","27","14","9","2","9","","10","","","","","","1","","14","1","8","7","","","3","","","1","","","54","","","","3","","8","2","24","6","","","","25","45","","","","","2","","","","","","","2","","","7252","7425","7067"
"S219250","","","6","12","5","2","5","","1","4","","","","","","","","8","21","25","","","","","","","","1","","123","","","","4","","15","16","8","17","","","","11","6","2","3","","1","","","","","","","","1","","","7282","7449","7106"
"S219251","","","2","23","6","5","3","","","7","","","","","1","","","7","4","2","2","","","2","","","","","","92","","","","3","1","28","2","14","13","","","","12","47","","","","","","","","1","","","","","","","7311","7471","7143"
"S219252","1","","3","14","11","1","5","","","6","","","","","2","","","10","13","77","","","","","","","","","","114","","1","","4","","19","7","11","26","","","","19","22","2","1","","","1","","","","1","","","","","","7341","7495","7179"
"S219253","","","4","33","3","11","4","5","","4","","","","","","","","11","2","3","","","","","","","","","","61","","","","9","1","28","1","10","33","","","","15","32","","","","","","","","1","","","","2","","","7371","7520","7214"
"S219254","1","","4","16","13","2","11","","","14","","","","","6","","","9","31","53","3","","1","","","","","","","105","","","","5","","15","6","15","15","","","","25","23","3","","","","","","","2","1","","","","","1","7401","7545","7247"
"S219255","","","6","37","6","4","2","5","","5","","","","","1","","","18","3","2","4","","","","","","","","","88","","","","8","2","31","3","27","13","","","","23","58","","","","","","","1","5","","","","2","","","7431","7572","7280"
"S219256","","","7","17","9","","2","3","","1","","","","","","1","","4","17","55","4","","","","1","","","","","151","","","","3","","15","5","9","11","","","","17","16","1","","","","","","","4","","","","1","","","7460","7601","7312"
"S219257","","","5","60","2","10","3","2","","10","","","","","5","","","9","6","4","3","","","","","","","","","73","","1","","6","","21","3","22","5","","1","","24","23","","","","","","","","2","","","","1","","","7490","7631","7343"
"S219258","","","7","26","3","2","3","3","","2","","","","","","","","7","25","23","3","","1","","","","","","","150","","","","2","","47","9","11","8","","","","25","13","6","","","","","","","4","","","","","","","7520","7662","7373"
"S219259","","","5","32","20","3","2","6","","6","","","","","3","","","11","8","9","2","","","","","","","","","87","2","","","6","1","31","7","22","13","","","","21","43","","","","","","","","4","","1","","","","1","7550","7695","7403"
"S219260","","","8","48","27","2","7","3","","17","","","","","2","","","28","41","136","2","","2","1","","","","","","216","","","","18","","49","14","23","68","","","","35","29","4","","2","1","","","","7","","","","","","","7580","7729","7432"
"S219261","","","10","44","18","8","5","9","","13","","1","1","","1","","","11","7","13","2","","","3","","","","","","119","","","","6","2","24","3","40","20","","","","24","67","","","","","2","","","2","","1","","","","1","7609","7764","7460"
"S219262","","","1","23","19","4","6","3","","6","","","","","","1","","15","27","12","2","","","","","","","","","127","","","","10","","26","6","22","9","","","","18","20","","","","1","","","","3","","","","2","","","7639","7798","7486"
"S219263","","1","2","37","13","6","5","2","","1","","","","","","","","19","3","9","12","","","","","","","","","33","1","","","4","2","21","1","33","10","","","","29","51","","","","","","","","6","","","","","","","7669","7834","7511"
"S219264","","","5","25","48","1","8","","","2","","","","","3","","","14","46","60","3","","","","","","","","","175","1","","","3","","31","17","22","42","","","","37","16","1","","","","","","","1","","","","1","","","7699","7871","7535"
"S219265","1","","6","31","20","7","3","5","","1","","","","","","","","27","7","4","2","","","2","","","","","","68","","1","","3","","37","","56","42","","","","37","35","","","","","1","1","","7","","","","3","","1","7729","7907","7557"
"S219266","","","1","24","32","2","15","1","","3","","","","","1","","","17","34","34","1","","","","","","","","","132","1","","","4","","13","","30","33","","","","9","14","1","","","1","","1","","7","","","","3","","","7758","7944","7579"
"S219267","","","1","27","31","3","15","2","","1","","","","","4","","","8","6","25","1","","","","","","","","","15","2","","","3","","20","1","9","19","","","","15","21","","","","","1","","1","2","","2","","1","","","7788","7983","7601"
"S219268","","","2","7","19","3","18","","","","","","","","9","","","5","46","28","2","","","","","","","","","121","1","","","","","40","","4","46","","","","3","14","","","","","","","","14","","","","","","","7818","8023","7624"
"S219269","","","","1","15","1","1","","","","","","","","","","","9","38","3","1","","","","","","","","","22","1","","","1","","21","","83","32","","","","3","10","","","","","2","","","1","","","","2","","","7848","8064","7646"
"S219270","","","","2","1","4","3","1","","","","","","","2","","","2","56","13","","","","","","","","","","73","","","","","","43","","1","28","","","","1","6","","","","2","","","","7","","","","","","","7877","8107","7670"
