"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411696","","","57","35","","11","","","","3","1","","","","16","3","","","","","10","","2","95","","4","","","","","","","","","","","","","","","","","","","10","","5","19","1","","","","2","5","","","","","","","33","","","","","","","","","2358","3062","1695"
"S411697","","","","22","2","7","","","","","","","","","4","4","","","","","15","","3","205","","","","1","","","","","","","","","","","","","","","","","12","","1","10","","1","","","8","1","","","","","","","127","","","","","","","","","2458","3138","1815"
"S411698","","","2","201","2","7","","","","2","","","","","","","","","2","","3","","","72","","3","","","","","","","11","","","","","","","","","","20","","14","","2","10","","","","","19","7","","","","8","","","148","","","","","7","","","","2657","3292","2058"
"S411699","","","4","183","4","12","","","","","","","","","13","","","","","","54","","1","89","","1","","","","","","","11","","","","","","","","","","18","3","21","","44","31","1","2","","","13","2","","","","9","","","165","3","1","1","","21","","","1","2836","3431","2276"
"S411700","","2","19","30","","25","","","","3","","","1","","2","1","","1","2","","19","","3","205","","16","","2","2","","","","4","4","","","","","","","","","64","9","21","3","31","22","","","","1","48","7","","","","","","","14","","","2","1","","","","","2896","3476","2348"
"S411701","","6","30","16","14","35","1","","3","","","","","","2","6","","3","3","","8","","3","185","","7","5","2","6","","","","","","","","","","","1","","","31","8","4","1","21","6","1","1","","","34","10","1","","","3","","","21","4","","","","","","","2","2955","3522","2420"
"S411702","","3","7","11","1","22","","","","2","","","1","","16","6","","","1","","10","","","35","","2","","1","","","","","","","","","2","","","1","","","15","2","17","9","4","6","","","","","14","","","","","4","","","1","3","","","1","","","","","3015","3569","2494"
"S411703","","1","8","14","7","18","1","","","1","","","1","","3","7","","","1","","15","","","104","","11","","1","","1","","","1","3","","","","","","","","","19","3","6","","14","16","2","","","2","39","7","","","","","1","","5","","2","","","1","","","3","3075","3615","2566"
"S411704","","4","110","3","7","8","","","","","","","","","6","","","","2","","24","","","45","","15","","","8","1","","","4","","","","","","","","","","25","3","68","","13","7","1","","","2","12","1","","","","2","","","77","4","","","2","","","","2","3134","3661","2638"
"S411705","","8","35","14","6","31","2","","1","","","","","","5","9","","","16","","19","","3","106","","15","","3","2","","","","2","","","1","","","","1","","","17","3","13","1","22","19","4","2","","","25","9","","","","1","","","2","4","1","","","","1","","4","3194","3707","2711"
