"","Abies","Acer","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asphodelus","Asteroideae","Betula","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Cichorioideae","Cistus","Convolvulus","Corylus","Cyperaceae","Ephedra","Epilobium","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lygeum-type","Malva","Monocotyledoneae","Myriophyllum","Nymphaea","Olea","Persicaria amphibia","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Poterium sanguisorba","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Scabiosa","Sparganium-type","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Vitis","Cal_yrs_BP","min","max"
"S411922","","","3","13","11","4","","19","2","","","","","1","11","","1","2","17","","","7","1","1","2","","","","","1","","","","","","","","","132","","9","11","10","22","19","","1","","7","9","","","","","2","1","","8","1","","","","","1","3936","4537","3316"
"S411923","","","2","23","16","4","","20","","","","","1","","7","","","4","16","","","3","","","","","","","","","","1","","","","","","","132","","2","7","13","23","21","4","2","","10","9","","","","","","","","3","2","1","","","","","4149","4673","3608"
"S411924","","","6","6","12","4","","16","","","","","","2","6","","","6","35","","","7","","","3","","","","","","1","","","","","","","","123","","5","13","8","34","23","","3","","9","9","","","","","1","","","6","","","","","","3","4362","4808","3898"
"S411925","","","","13","7","3","","9","1","","","","","1","2","","","3","24","1","","6","","","2","","","","","","","","","","","","","","93","","3","11","10","6","28","1","","","10","8","1","","","","1","","","2","","","","","","","4574","4945","4187"
"S411926","","","2","6","3","1","","15","1","","","","","","14","","","1","14","","","2","","2","","","","","","","","","","","","","","","93","","1","11","4","17","29","","","","7","2","1","","","","2","","","2","","","","","","2","4787","5085","4474"
"S411927","","","1","7","21","11","","13","2","","","","","","7","","","4","6","2","","5","","","1","","","","","","","1","","","","","1","","158","","","4","14","14","11","","","","7","7","","","","","","","","","","","","","","3","5047","5262","4816"
"S411928","","","7","6","23","3","3","27","2","","","","","1","5","","","18","19","","","15","","5","2","","","","","1","2","","","","","","","","239","","","2","6","11","14","","","","9","6","","","","","1","","","14","","","","","","","5094","5296","4877"
"S411929","","","2","3","17","6","3","39","1","","","","","2","6","","","6","6","5","","5","","","2","","","","","","","","","","","","","","78","1","","2","3","29","19","","8","","9","3","","","","","3","","","11","","3","","","","","5141","5331","4938"
"S411930","","","4","4","24","2","1","42","","","1","","","1","6","","","5","14","7","","4","","4","","","","","","","1","","","","","","","","89","","","9","","42","28","","9","","4","1","","","","","2","","","11","","2","","","","1","5188","5367","4998"
"S411931","","","3","4","14","4","","27","1","","","","","2","3","","","1","5","","","1","","3","","1","","","","","","","","","","","","","97","","","","1","31","15","","1","","6","6","","","","","1","","","6","","","","1","1","1","5236","5404","5057"
