"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae","Cichorioideae","Cistus","Convolvulaceae","Corylus","Cyperaceae","Ephedra","Ericaceae","Euphorbia","Fagus","Fraxinus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Liliaceae","Malva","Myriophyllum","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Quercus","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rubiaceae","Salix","Sparganium-type","Tilia","Typha latifolia-type","Ulmus","Cal_yrs_BP","min","max"
"S411589","","1","76","","","12","","","","","","","98","1","","","32","1","10","","","","","","","","","","","","","","2","15","139","","2","11","","21","6","1","7","","","","","12","","","","354","839","-131"
"S411590","","1","66","","","23","","3","","","","","112","","","","40","2","21","","","","","","","","","","","","","","5","8","61","","1","10","","5","4","1","","","","1","","8","","","","700","1161","239"
"S411591","","1","10","82","1","11","","","","","","","24","11","","","62","3","55","","","","","","","","","1","","","","","21","23","26","","1","21","","20","","2","","","","","","3","","","","1046","1484","610"
"S411592","","","10","74","","6","","","","","","","24","12","","","87","","66","","","1","","","","","","","","","","","26","16","14","","","17","1","20","2","3","","","","","","7","","1","","1392","1807","981"
"S411593","","2","58","20","2","2","","","1","","","","13","2","","","109","1","28","1","","3","","","","","","1","","","","","9","28","64","2","2","19","","7","4","2","5","","","","","23","","1","","1739","2130","1351"
"S411594","","1","51","5","","45","4","1","2","","","","5","15","","4","26","2","54","","","2","","","","","","","","","","","25","9","59","1","3","12","","","13","4","17","","","","","2","","","","2085","2452","1719"
"S411595","","4","33","9","2","16","3","","","","","","15","14","","5","20","","44","","","2","","1","","1","","","","","","2","14","3","36","","5","22","3","1","12","10","15","","2","2","","3","","","","2431","2775","2087"
"S411596","","1","25","12","2","19","","","","","","","27","2","","","52","","47","","","1","","1","6","","","","5","","","1","21","8","34","","1","12","1","3","2","4","","","","","","28","","1","","2777","3099","2453"
"S411597","","11","37","8","4","43","2","","","","","","17","10","","1","22","","47","","","11","","","3","","","2","2","","","","35","3","41","","10","8","","1","8","6","9","","","","","9","","","1","3123","3424","2819"
"S411598","","2","45","10","6","54","3","","","","","","21","16","","4","18","","74","1","","2","","","3","","","1","","","1","","50","6","51","","7","21","1","","22","17","","","","1","","4","","","12","3469","3749","3182"
"S411599","","6","16","5","1","79","1","","","","","","19","4","","3","10","","101","","","","","","","","","1","","","","","40","24","24","","3","12","2","1","","4","","","","","","","","","","3815","4077","3546"
"S411600","","3","5","5","","97","","1","","","","","27","5","","11","5","6","131","","","","","","","","","","","","","","28","21","15","","13","24","","3","","4","","","","3","","2","","1","","4161","4405","3907"
"S411601","","2","13","3","3","90","3","6","","","","","15","5","","7","8","4","137","","","","","","","","","2","","","","","17","12","24","","10","12","1","","2","8","6","","","1","","2","","","","4507","4736","4267"
"S411602","","1","14","5","","112","","17","","","","","20","11","","10","8","4","162","","","","","","","","","","1","","","","19","5","21","5","9","24","","4","","1","3","","","1","","2","","","","4853","5073","4628"
"S411603","","6","36","14","2","81","","11","","","","","10","12","","6","9","","201","","","","","","","","","2","","","","","29","2","35","","14","31","","2","2","7","12","","","","","","","","","5199","5412","4987"
"S411604","","3","14","4","1","100","2","11","","","","","13","8","","8","11","2","203","","1","","","","1","","","2","","","","","37","6","17","","13","35","","1","","4","2","","","2","2","1","1","","","5545","5751","5341"
"S411605","","2","16","4","1","85","","7","","","","","9","5","","5","12","3","172","","","","","","","","","1","","","","","34","5","16","5","16","52","2","","","2","2","","","","","","","","","5891","6092","5691"
"S411606","","1","6","27","1","117","","3","","","","","4","4","","4","10","3","58","","","","","1","","","2","","","3","","","31","7","18","","8","18","1","6","","","1","","","2","","2","","","","6237","6438","6039"
"S411607","","3","7","17","","92","","5","","","","","14","8","","6","10","3","91","","1","","","","","","","","","1","","","26","3","15","","9","40","8","","","1","4","","","","1","2","","","","6583","6789","6385"
"S411608","","","","18","2","141","","6","","","","","17","5","","4","7","3","91","","1","","","","","","","","","","","","38","2","18","","30","60","17","4","2","","2","","","6","","","","","","6929","7142","6727"
"S411609","","6","13","11","2","172","2","5","2","","","","11","3","","5","3","5","91","","","","","","","","","","","","","","49","3","16","","23","67","13","","","2","2","","","3","","1","","","","7208","7424","7001"
"S411610","1","1","2","28","","138","1","3","","","","","13","4","","2","4","2","59","","","","","","","","","","","2","","","26","3","21","","11","30","12","1","","","","","","1","","","","","","7251","7458","7052"
"S411611","","3","8","36","1","156","","9","","","","","9","4","","","4","15","51","","","","","","","","","2","","3","2","","17","4","32","","19","41","17","6","","2","2","","","3","","","","","","7294","7492","7102"
"S411612","1","8","3","46","2","181","","12","","","","","7","3","","2","7","4","58","","","","","","","","","3","","4","1","","12","7","16","","33","44","12","2","","2","3","","","","","3","","","","7337","7527","7151"
"S411613","1","5","2","56","","186","1","20","","","","","14","3","","2","2","7","62","","","","","","","","","","","2","","","23","9","17","","50","54","15","3","","2","","","","","","","","1","","7380","7561","7199"
"S411614","1","2","2","52","","147","","5","","","","","8","","","3","3","9","50","","1","","","","","","","1","","1","","","4","2","13","","34","35","14","1","","","","","","1","","1","","","","7423","7596","7248"
"S411615","","1","5","105","","203","1","21","","","","","10","6","","1","11","7","67","","","","","1","","","","","","","","","16","3","18","","74","59","40","6","","","","","","","","","","","","7451","7619","7280"
"S411616","","4","3","81","2","201","","12","","","","","13","","","6","5","7","147","","","","","","","","","2","","2","","","41","4","8","","36","53","14","18","","","","","","","","3","","","","7461","7627","7291"
"S411617","1","2","4","41","11","215","2","2","","","","","4","","","49","4","64","","1","","","1","","","","13","3","","3","","","1","","45","19","2","19","","4","","2","1","","","","","13","1","","","7480","7643","7312"
"S411618","","3","","52","13","242","","4","","","","","2","","","46","5","53","2","","","","","","","","5","","","4","","","4","2","39","5","4","19","","14","","3","2","","","2","","9","2","","","7489","7651","7323"
"S411619","","2","3","29","9","210","","","2","","","","4","","","31","4","37","1","","","","","","","","19","3","","5","","","","2","40","8","6","16","","31","","2","10","","","1","","18","2","","1","7499","7659","7333"
"S411620","","3","5","36","4","185","","1","","","","","","2","","31","7","24","2","","","","","","","","17","1","","4","","","","","30","2","1","20","","9","2","4","9","","","","","8","1","","","7508","7667","7344"
"S411621","","2","1","51","3","187","1","1","2","","","1","","1","1","24","2","29","4","","","","","","","","16","1","","6","","","","","28","9","1","23","3","3","1","2","8","1","","1","","8","1","","","7518","7674","7354"
"S411622","","2","","56","5","191","2","","","","","","3","","","17","7","34","7","","","","","","","","21","4","","","","","","","30","3","1","23","2","5","","2","3","2","","","","16","2","2","","7528","7683","7365"
"S411623","2","2","2","58","9","274","","","","","","","2","","","39","9","55","1","","","","","","","","9","1","","7","","","","1","21","3","","17","2","8","2","4","8","1","","","","7","2","","1","7547","7698","7385"
"S411624","","7","1","46","7","115","","","","","","","1","","","40","9","33","2","","","","","","","","6","","","7","","","","","41","1","","9","","","","3","16","","","","","13","1","","","7555","7705","7395"
"S411625","1","","2","41","5","201","","2","","","","","4","","","31","5","26","2","","","","1","","","","1","1","","5","","","","","34","3","","6","3","4","1","1","4","","","","","16","2","","1","7564","7712","7404"
"S411626","","4","","56","13","185","","","","","","","1","","","27","5","48","2","","","","","","","","19","1","","4","","","","","26","5","","21","","12","","3","2","","","","","17","4","","","7572","7719","7414"
"S411627","","1","","79","10","183","","","","","","","2","","","16","4","52","2","","","","","","","","23","6","","4","","","","","24","12","","12","","","","4","4","","","","","","","","","7581","7726","7423"
"S411628","","1","5","56","8","171","","2","1","","","","2","2","","29","6","16","","","","","","1","","","18","2","","6","","","1","","31","9","2","11","","4","","1","10","1","","","","5","1","","2","7590","7733","7432"
"S411629","","1","7","31","6","159","","1","","","","","2","","","18","1","44","2","","","","","2","","","6","5","","4","","","","","46","9","","10","","7","","2","7","","","","","1","3","","","7598","7741","7442"
"S411630","","2","3","58","17","111","","2","1","","","1","","","","24","4","23","3","","","","","1","","","21","4","","10","","","","","31","11","1","19","","3","3","","6","1","","","","3","2","","","7607","7747","7450"
"S411631","","3","6","107","11","181","","","","","","","1","3","","31","9","24","1","","","","","","","","6","6","","7","","","","","47","14","","27","","3","","14","4","5","","","","6","3","","","7615","7755","7460"
"S411632","","4","","43","13","181","","","","","","","","","","27","7","41","2","","","","","","","","32","4","","9","","","","","51","10","2","42","2","7","","","4","2","","1","","6","4","","","7624","7762","7469"
"S411633","","4","6","41","9","130","","","3","","","2","2","","","19","2","40","2","","","","","","","","32","8","","4","","","","","66","8","","33","2","3","1","","2","1","","","","11","4","","1","7632","7770","7479"
"S411634","","2","","31","1","111","","2","1","","","","","2","","25","6","27","","","","","","2","","","19","6","","3","","","","","61","5","2","13","","3","","6","9","","","3","","5","3","","","7642","7778","7490"
"S411635","","1","2","29","4","137","3","2","","","","3","","","","9","3","46","9","","","","","2","","","15","6","","6","","","","2","33","","","3","","","","3","3","","","","","1","6","","","7651","7785","7499"
"S411636","","3","5","28","13","152","","3","","","","","","","","25","3","23","2","","","","","","","","8","5","","6","","","","","48","5","","10","","5","","10","16","4","","","","8","3","","","7659","7794","7509"
"S411637","","1","4","46","20","106","1","","","","","","","","","28","","13","2","","","","1","","","","8","7","","4","","","","","63","10","4","7","","7","","4","9","6","","","","4","6","","","7668","7801","7518"
"S411638","","2","2","46","13","123","","","","","","","","","","40","2","33","2","","","","","","","","17","1","","7","","","","","42","5","1","6","","3","","2","6","5","","","","","1","","","7676","7809","7528"
"S411639","","","3","75","16","149","","2","3","","","","","","","21","7","27","2","","","","","","","","19","3","","3","","","","","44","4","4","16","","7","","3","1","5","","","","3","1","","","7685","7816","7537"
"S411640","","1","5","31","15","133","","2","","","","","3","","","16","1","17","3","","","","","","","","17","","","3","","","","","36","13","2","9","","4","","10","7","5","","2","","2","4","","","7694","7824","7546"
