 ,max,Cal_yrs_BP,min,Abies,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Cannabaceae,Carpinus,Caryophyllaceae,Centaurea-type,Cichorioideae,Cistus,Convolvulus,Coriaria myrtifolia,Corylus,Cyperaceae,Dinoflagellata,Ephedra,Ericaceae,Euphorbia,Fabaceae,Geraniaceae,Hedera,Helianthemum,Juglans,Juniperus,Lamiaceae,Ligustrum,Lygeum-type,Lythrum,Malvaceae,Myriophyllum,Nuphar,Olea,Phillyrea,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygonum,Populus,Potamogeton,Pseudoschizaea,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Rumex,Sparganium-type,Tamarix,Thymelaea,Tilia,Typha latifolia-type,Ulmus,Unknown (monolete),Unknown (trilete),Urticaceae,Vitis
,161,57,-46,,,102,17,1,16,,,,,,,,123,,,,,5,,1,1,,3,,,,,,,,,,,,,2,,15,,8,15,1,,,,30,,,,,,,,3,3,,,,,5,2,,
,1185,1013,824,,3,53,20,3,18,,,,1,2,1,3,11,,1,,2,15,,,10,,5,,,,,,,,,,1,,,62,3,3,,28,46,4,,,,15,11,2,,,,,1,4,3,,,,,,4,,
,1728,1491,1241,,2,25,22,3,31,,,,,1,1,7,,,,,3,89,,,6,,9,,,,,,1,,1,,,,,147,4,1,,50,63,5,,,,6,9,6,,,,,,18,10,,,,,1,5,,
,2276,1970,1654,,5,41,6,5,56,,,,,,2,,8,,,,4,24,,,11,,7,,,,,,,,,,,,,91,,6,,9,35,11,,,,8,7,,,,,,,,5,2,,,,4,10,,
,2824,2448,2062,,,53,37,1,33,1,,,,,,3,3,,,,,24,,1,18,,6,,,2,,,,1,3,,,,,118,1,13,,27,65,3,,,,9,45,,,,1,,,21,6,2,,,,1,2,,
,3371,2926,2467,,,15,51,1,65,,,,,,3,3,6,,,,5,106,,,11,,8,,,,,,1,,,,,,,108,3,7,,31,40,4,,,,,7,,,,,1,,29,13,1,,,1,,6,2,
,3918,3404,2871,,2,5,32,8,86,,3,,2,,4,44,2,,,,5,51,,5,8,,7,3,,,,,1,,,,,,,45,,10,,169,59,20,,,,2,21,15,,,1,,,16,8,2,,,,,25,1,3
,4467,3883,3277,,2,,19,11,103,1,1,,3,,1,34,3,,,,,19,,9,,,8,,,,,,1,,1,,,,,5,,3,,133,50,8,,1,,,3,4,,,2,2,,16,4,,,,,1,23,,
,5017,4361,3682,,,,7,3,67,,1,,,,4,6,2,1,,,,5,,4,2,,23,2,,,,3,3,,,,7,,,25,4,15,4,433,36,19,11,,,1,7,,2,,,,2,,,,,,,1,8,,1
,5200,4606,3984,,3,5,6,,100,,,11,,,3,12,9,,,,2,1,,2,4,,24,,,,,3,,,,,1,,,21,2,6,,163,16,2,,,,,1,2,,,,,,10,4,,,,,1,28,,
