 ,min,max,Cal_yrs_BP,Abies,Acer,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ammi-type,Anogramma leptophylla,Anthemis-type,Anthoceros laevis,Anthoceros punctatus,Anthriscus sylvestris-type,Apiaceae,Arbutus,Arnoseris,Artemisia,Asparagus,Asplenium-type,Aster-type,Asteroideae,Astragalus-type,Berberis,Betula,Botrychium,Botryococcus,Brassicaceae,Bupleurum,Calendula,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Cedrus,Celtis australis,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Cercophora-type,Cheilanthes-type,Cichorioideae,Cistus,Corylus avellana,Crataegus-type,Cuscuta,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporotheca,Dryopteris filix-mas-type,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Ficus carica,Fraxinus excelsior-type,Fraxinus ornus,Gelasinospora,Genista-type,Glomus,Gnaphalium-type,Helianthemum,Heliotropium,Herniaria-type,Hypericum perforatum-type,Jasione,Juglans regia,Juniperus,Juniperus-type,Lamiaceae,Ligustrum,Liliaceae-type,Limonium,Linaria-type,Lithospermum officinale,Lonicera,Lotus-type,Lycopodium spike,Lycopodium tablets,Lycopodium tablets_1,Lythrum portula,Malvaceae,Matthiola-type,Mentha-type,Mercurialis annua,Microthyrium,Microthyrium_2,Morus,Myrtus communis,Odontites-type,Olea,Ononis-type,Ophioglossum lusitanicum,Ornithopus,Ostrya-type,Paronychia-type,Phillyrea,Phlomis,Picea,Pinus,Pinus_3,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-type,Polygonum aviculare-type,Polypodium,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinum,Pteridophyta (monolete) undiff.,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda,Rhamnus,Rhinanthus,Rhus,Riccia,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex-type,Sagina,Salix,Sambucus nigra,Sample quantity,Scabiosa,Sedum-type,Selaginella denticulata,Senecio-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sporormiella,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Ulmus,Urtica,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Ustulina deusta,Verbascum,Viola,Vitis
,,,315.3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,456,18584,2,,,,,,1,,,,,2,,,,,,,,,118,,,,,,,,1,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,
,,,-47.3,,,,,1,,3,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,650,18584,2,,,,,,,,,,,7,,,,,,,,,36,,3,,3,,,,1,,,,2,,,,,,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
,,,-42.5,,,,,2,,7,,,3,,,,,1,,10,,,,,,,1,,6,8,,,,,,,,,,,,,,,,,,2,,1,1,,4,,,,,,,,,15,,1,,,,,,,,1,,,,1,,,,3,,,,,,,,1,830,18584,2,,,,,,,,,,1,12,,,,,,11,,,37,,8,,2,,,,20,1,,,2,,,,,,14,,,,,,,,,,,1,,,,11,,,,1,,,,2,,,,,,,,,,1,,,10,,,,,1,1
,,,-28,,,,,,,2,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,600,18584,2,,,,,,,,,,,5,,,,,,,,,30,,1,,,,,,1,3,,,3,,,,,,22,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
,,,-18.3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1100,18584,2,,,,,,,,,,,1,,,,,,,,,52,,,,,,,,,,,,6,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
,,,-8.6,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,18584,2,,,,,1,,,,,,2,,,,,,,,,82,,,,1,,,,,1,,,12,,,,,,13,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
,,,1,,,,,,,3,,,1,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,3,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,649,18584,2,,,,,2,,,,,,13,,,,,,,,,55,,1,,,,,,,,,,2,,,,,,30,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,1,,,,,,,
,,,10.7,,,,,,,4,,,2,,,,,12,,23,,,1,,,,1,,,9,,,,,1,,,,,,,,,,,,,3,3,2,,,8,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,18584,2,,,,1,2,,,,,,18,,,,,,,,,67,,4,,,,,,,,,,5,,,,,,38,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
,,,20.4,,,,,,,4,,,3,,,,,7,,4,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,1,4,,,,14,,,,,,,,1,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,1648,18584,2,,,,,1,,,,,,10,,,,,,,,,43,,5,,1,,,,,4,,,1,,,,,,17,,,,,,,,,,,,,,,9,,,,1,,,,,,,,,1,,,,,,,4,,,,,,,
,,,34.9,,,,,1,,11,,,9,,,,,,,13,1,,7,,,,,,11,8,,,,,,,,,,,,,,,1,1,,7,,1,,,6,3,,,,,1,,2,10,,1,,,,,,,,1,1,,,,,,,1,,,,1,2,1,,,873,18584,2,,,,,3,,,1,,,11,,,,,1,10,,,59,,12,,2,,3,1,14,2,,,2,1,,,,,28,,2,,,1,,,,,,,,2,,54,,,,1,1,1,,4,1,,,,2,,2,,1,,,,14,1,,,1,,4
,,,54.2,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,18584,2,,,,,,,,,,,2,,,,,,,,,62,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,
