"","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Armeria","Artemisia","Asteroideae","Atriplex","Betula","Bistorta vivipara","Brassicaceae","Calluna vulgaris","Caltha","Caryophyllaceae","Cerastium","Cichorioideae","Corylus","Cyperaceae","Elymus","Empetrum","Epilobium","Ericaceae","Fagus","Filipendula","Fraxinus","Galium","Geranium","Hedera","Hypericum","Ilex","Juniperus","Koenigia islandica","Lamiaceae","Ligustrum","Lotus","Menyanthes trifoliata","Micranthes nivalis","Micranthes stellaris","Myriophyllum alterniflorum","Oxyria","Oxyria (type 1)","Oxyria (type 2)","Picea","Pinguicula","Pinus","Plantago lanceolata","Plantago maritima","Poaceae","Potamogeton","Potentilla-type","Quercus","Ranunculaceae (type 1)","Ranunculaceae (type 2)","Rosaceae undiff.","Rumex","Rumex acetosa","Rumex undiff.","Rumex/Oxyria","Sagina","Salix","Saxifraga caesia","Saxifraga oppositifolia","Saxifraga rivularis","Saxifraga rosacea","Saxifraga undiff.","Scrophulariaceae","Sedum","Silene","Stellaria-type","Succisa","Thalictrum","Tilia","Ulmus","Urtica dioica","cf. Atriplex","cf. Cerastium","cf. Epilobium","cf. Filipendula","cf. Ligusticum","cf. Lotus","cf. Oxyria/Rumex acetosa","cf. Silene","cf. Sorbus","cf. Thymus","Cal_yrs_BP","min","max"
"S354124","16","","","7","1","","","","20","","","70","1","2","","7","11","169","","7","","25","","","","","","","","","10","","","","","","","","1","","","","","","10","1","23","324","","37","1","8","5","2","4","","","","","","","","","","","","21","","","3","19","","1","","","","","","","","","","","","3028","3273","2776"
"S354125","9","","","14","3","","","","22","","1","61","2","","1","8","17","171","","7","","20","","3","","1","1","","","","10","","","","","","","","","","","","","","4","1","1","316","","32","1","3","11","5","3","","","","","4","","","","","1","2","13","","","2","15","","","","","","","","","","","","","","3178","3384","2989"
"S354126","6","","","21","3","","","","26","","","58","1","1","","3","6","173","","3","","22","","4","","","","","","","15","","","","","","","","","","","","","","10","","25","287","1","38","1","8","8","1","","","","","","5","","","","","1","","17","","","8","27","","2","","","","","","","","","","","","3285","3479","3116"
"S354127","5","","","9","1","","","","6","","1","63","1","3","3","1","8","96","","3","","23","","","","","","","","","6","","","","","","","","","","","","","","2","","9","177","","29","3","2","4","3","","","","","1","3","","","","","1","1","14","","","6","12","","1","","","","","","","","","","","","3454","3647","3302"
"S354128","10","","","5","2","","","","14","","","37","","","","3","13","131","","1","","22","","1","","","","","","","14","","1","","","","","","","","","","","","3","","28","195","","26","","","5","2","2","","","","","","","","","","","","14","","","2","8","","","","","","","","","","","","","","3633","3816","3487"
"S354129","6","","","10","","","","","18","","","26","1","","","4","3","99","","2","2","20","","4","","","","","","","7","","","","","","","1","","","4","5","","","3","","13","204","","20","","3","9","2","","","","","","2","","","","","2","","21","","","1","10","","1","","","","","","","","","","","1","3737","3907","3590"
"S354130","3","","","6","","","","","13","","","27","","","","3","15","121","","1","","11","","1","","","","","","","6","","1","","","","","","","","","","","","7","","21","232","1","18","","1","2","3","1","","","","","2","","","","","","","23","","","1","14","","","","","","","","","","","","","","3840","3993","3689"
"S354131","10","","","9","","","","","21","","","62","","","2","3","7","106","","6","","8","","","","","","","","","13","","","1","","","","","","","","","","","3","1","5","195","1","25","","3","5","","3","","","","","3","","","","","","","15","","","5","10","1","","","","","","","","","","","","","3974","4128","3817"
"S354132","12","","","2","","","","","14","","","38","","","","1","17","114","","4","","24","","3","1","","","","","","11","","2","","","","","","","","","","","","3","","25","206","","11","","2","5","1","2","","","","","","","","","","","1","24","","","2","12","","","","","","","","","","","","","","4082","4251","3922"
"S354133","8","","","11","","","","1","14","","","53","1","","","","7","122","","1","","15","","3","","","","","","","10","","","","","","","","","","","","","","3","","10","214","","23","1","3","","","5","","","","","4","","","","","","","13","","","1","21","1","2","","","","1","","","","","","","","4235","4410","4069"
"S354134","8","","","29","","","","","9","","1","17","2","3","","","15","109","","1","","9","","3","","","","","","","12","","1","","","","","","","","","","","","4","","25","277","","5","","","6","2","3","","","","","","1","","","","1","","30","","","","7","","","","","","","","","","","","","","4377","4548","4216"
"S354135","8","","","10","","","","","14","","1","28","","","","","12","137","","2","","21","","7","","","1","","","","10","","","","","","","1","","","2","","","","4","","13","167","","18","","1","9","2","","","","","","2","1","","","","1","","14","","1","1","8","","3","","","","","","","","","","","","4531","4689","4379"
"S354136","7","","","9","","","","","10","","","33","1","2","","","11","123","","2","","23","","9","1","","","","","","11","","1","","","","","","","","","","","","8","","12","188","","9","2","2","6","4","","","","2","","1","2","","","","","","13","","","1","9","","1","","","","","","","","","","","","4660","4804","4506"
"S354137","4","","","12","","","","","10","","","39","1","","2","","6","139","","1","","6","","1","","","","","","","14","","","","","","","","","","","","","","1","","13","209","","13","2","4","3","","","2","","","","3","","","","","","","14","","","2","15","","2","","","","","","","","","","","","4793","4929","4635"
"S354138","6","","","7","","","1","","14","","2","32","","","","1","23","154","","1","","29","","7","","","","","","","28","","3","","","","","","","","","","","","6","4","19","177","","8","","3","4","1","7","","","","","2","1","","","","","","3","","","2","8","","","","","","","","","","","","","","4956","5112","4804"
"S354139","3","","","5","","","","","10","","","28","","1","","","10","148","","2","","18","","4","","","","","","","12","","","","","","","","1","","","","","","3","","16","186","","25","2","6","11","3","2","","","","","","","","","","1","","13","","","6","10","","1","","","","","","","","","","","","5067","5237","4906"
"S354140","5","","","12","","","","","17","","","38","3","","2","","10","113","","4","","17","","1","","","","","","","12","","","","1","","","","","","","","","","4","","13","181","3","7","2","2","1","","","1","","","","3","","","","","1","","16","","","1","10","2","3","","","","","","","","","","","","5104","5281","4939"
"S354141","9","","","4","","","","","27","","","62","","","","","9","125","","1","","14","","3","","","","","","","25","","","","","","","","","","","","","","3","","19","197","2","16","2","2","","","","4","","","","1","","","","","","","14","","","4","13","","3","","","","","","","","","","","","5346","5520","5167"
"S354142","10","","","9","","","","","20","","2","20","","","","","13","131","","2","","35","","","1","","","","","","3","","1","","","","","","","","","","","","6","","18","185","","5","","7","3","1","","","","","","3","","","","","1","","18","","","4","8","","1","","","","","","","","","","","","5490","5663","5332"
"S354143","14","","","9","","1","","","11","","","9","2","","","1","9","110","","5","","28","","3","","1","","","","","13","","1","","","","","1","","","14","","","","6","","21","188","","9","","9","4","1","","","","","","","","","","","1","","18","","","2","21","1","5","","","","","","","","","","","","5608","5779","5474"
"S354144","6","","","9","","","","","11","","","23","","1","","1","15","140","","1","","29","","6","1","","","","","","16","","","","","","","","","","","","","","3","","25","178","","10","3","2","2","","5","","","","","1","1","","","","","1","17","","","2","11","","2","","","","","","","","","","","","5728","5887","5606"
"S354145","16","","","11","","","","","14","","","20","","2","","","14","144","","","","21","","6","1","","","","","","16","","","","","","","","","","","","","","1","","25","172","","9","","7","3","3","17","","","","","3","","","","","","1","7","","","7","13","","5","","","","","1","","","","","","","5869","6016","5743"
"S354146","9","","","6","1","","","","21","","","46","","","","2","6","110","","1","","18","","2","","","","","","","22","","2","","","","","","","","","","","","4","","13","198","2","13","2","4","2","","","1","","","","","","","","","","","12","","","3","18","","1","","","","","","","","","","","","6007","6141","5874"
"S354147","9","","","7","","","","","24","","","38","","","","","18","139","","1","","24","","5","","","","","","","37","","","","","","","","","","","","","","4","","16","147","","4","2","2","2","2","3","","","","","4","","","","","1","","9","","","5","11","1","1","","","","","","","","","","","","6180","6307","6045"
"S354148","5","1","","3","1","","1","","8","","","11","1","","","","17","138","","","","38","","1","","","","1","","1","20","1","1","","","","","","","","","","","","5","","26","193","","4","1","2","4","","2","","","","","2","2","","","","","","16","","","4","13","","2","","","","","","","","","","","","6353","6477","6226"
"S354149","7","","","17","","","2","","19","","2","20","4","1","","","8","131","","","","29","","5","1","","","","","","37","","","","","","","","","","1","","","","9","","13","135","","6","","3","3","","","","","","1","2","","","","","","","20","","","3","19","","1","","","","","","","","","1","","","6509","6630","6388"
"S354150","8","","","7","","","","","21","","","14","","1","","","14","128","","1","","36","","1","","","","","","","11","","1","","","1","","","","","","","","","11","","27","183","","1","","7","4","2","2","","","","","1","","","","3","","","6","","","9","11","","1","","","","","","","","","","","","6751","6872","6635"
"S354151","8","","","14","1","","","","21","","1","34","","","","","8","152","","1","","25","","4","","","","","","","67","","","","","","","","","","","","","","8","","13","204","2","1","6","2","7","","","","","","","2","","","","","","","19","","","3","12","","3","","","","","","","","","","","","7044","7166","6933"
"S354152","3","","","5","","","","","17","","","13","","1","","1","13","148","","1","","41","","2","","","","","","","27","","","","","","","","","","","","","1","4","","25","154","","","1","3","6","1","3","","","","","1","","","","","","","12","","","3","4","","2","","","","","","","","","","","","7279","7398","7169"
"S354153","5","","","8","","","","","12","","","11","","1","","1","12","134","","1","","19","","5","","","","","","","46","","","","","","","","","","","","","","8","","16","154","","","1","","3","","","7","","","","4","","","","","1","2","16","","","2","16","","6","","","","","","","","","","","","7765","7878","7654"
"S354154","2","","","6","","","","","29","","","3","1","1","","","24","166","","5","","10","","3","","2","","","","","33","","","","","3","","","","","","","","","13","","10","128","2","","5","4","4","","","","","5","","4","","","","","1","","21","","","1","7","1","2","","","","","","1","","","","","","7985","8100","7875"
"S354155","7","","","5","","","","","35","","1","10","1","","","1","17","136","","3","","12","","3","","","","2","","","49","","","","","","","","1","","","","1","","9","","19","173","","","1","1","4","1","","","","","","3","1","","","","","","23","","","","10","1","2","","","","","","","","","","","","8285","8409","8164"
"S354156","4","","","8","","","","","25","","1","1","2","1","","1","17","129","","1","","6","","2","","","","","","","3","","","","","","","","1","","","","","","10","","19","183","","","1","1","9","1","1","","","","","3","","","","","","","27","","","","38","","","","","","","","","","","","","","8597","8735","8467"
"S354157","3","","","9","","","","","23","","","4","1","","1","2","15","97","","","","7","","12","","","","","","","39","","","","","","","","2","","","","","","9","","17","240","","","","1","4","","","","3","","","1","","","","","1","","39","","","","19","","3","","","","","","","1","","","","","9000","9151","8853"
"S354158","3","","","9","","1","","","19","","3","1","2","","","","16","131","","2","","4","","6","","","","","","","46","","","","","","","","1","2","","","","","8","","13","227","","","4","","2","","","","","","","1","","","","","3","2","27","","","","9","","1","","","","","","1","","","","","","9169","9326","9017"
"S354159","","1","","3","","","","","28","","1","","2","","","1","19","152","","","","7","","7","","","","","","","18","","","","","","","","2","1","","","","","10","","46","171","1","","","","1","","","","","","","6","","","","1","","","35","","","","12","","4","","","","","","","","","","","","9594","9757","9432"
"S354160","","","","1","","","1","","37","","","","","","","1","16","150","","2","1","11","","","","","","","","","25","","","","","","","","","","","","","","20","","40","157","","","","1","","1","2","","","","","3","","","","","","","49","","","","1","","4","","","","","","","","","","","","9820","9985","9657"
"S354161","","","","4","","","","","46","","1","","1","1","","2","16","145","","3","","31","","","","","","","","","1","1","","","","","","","1","5","","","","","16","","9","162","","","","","","","","","","","","19","","","","","","","65","","","","3","","1","","","","","","","","","","","","10181","10368","10016"
"S354162","","","","","","","","","40","","2","","1","","","1","9","109","","5","","33","","1","","","","","","","5","1","","","","","","1","1","","","","","","14","","9","211","","","1","1","2","","","","","","","4","","","","","","","69","","","","","","1","","","","","","","","4","","","","10444","10694","10246"
"S354163","","","","3","","1","","","88","","4","1","1","1","","1","10","95","","10","","66","","3","","","","","","","2","1","1","","","","","1","2","6","","","","","28","","","95","","","","","4","","","","","","","38","","","","","","1","43","6","","","","","","","","","","","","","","","","","10720","11075","10453"
"S354164","2","","1","3","","","1","","132","","4","","2","3","","","23","102","","5","","30","","2","","","","","","","5","","","","","","","","6","7","","","","","21","","","59","","","","","5","","","","","","","48","","","","","1","1","49","","","","","","1","","","","","","","","","4","","","11019","11509","10644"
"S354165","","","","12","","","","","140","2","11","","6","5","","","5","15","","2","","18","","6","","","","","","","15","","1","","","","1","","3","18","","","","","27","","","29","","","","","","","","","","","","55","","1","1","30","","","98","","","","1","","","","","","","","","","","2","","","11211","11792","10758"
"S354166","","","","14","","2","1","","108","","5","","","","","2","2","149","","4","","10","","8","","","","","1","","3","","","","","","","4","2","52","","","","","10","","","52","","","","4","3","","","","","","4","52","","2","","","1","1","139","1","","","","","","1","","1","","","","","","","","","11624","12411","10993"
"S354167","","","","1","","6","2","","223","","4","","","1","","1","4","26","","2","","4","","","","6","","","","","","","","","","","","","","102","","","","","15","","","139","","","","","","","","","","","2","20","","1","","4","","","1","1","","","","","","","3","","","","","","","","","","12012","13000","11208"
"S354168","6","1","","2","45","1","1","","46","","","","","3","","1","10","42","1","","","2","3","1","","1","","","","","1","","","","","","","","","7","","","5","","9","","","43","","","1","","","4","","","","","","","3","","","","","1","","","","","","","","","","","","","","","","","1","","12312","13454","11370"
