"","Acaena","Asteraceae","Azorella","Colobanthus","Crassula","Empetrum","Ephedra","Galium antarcticum","Gunnera","Nothofagus","Poaceae","Podocarpus","Stenandrium","Cal_yrs_BP","min","max"
"S466752","","1","","","9","9","","","1","3","304","","23","454","--","--"
"S466761","","3","","3","7","4","","","","3","1262","","","1280","--","--"
"S466770","","","","1","","","","","","","510","","","2208","--","--"
"S466777","","1","","","37","2","","","1","","365","","","3034","--","--"
"S466785","","","","1","377","4","","","","","1051","","","3767","--","--"
"S466793","","8","","5","2","127","","","147","","1007","","4","4438","--","--"
"S466802","","12","","10","4","14","","","","","250","1","","5445","--","--"
"S466812","","6","","1","","4","","","","","260","","1","6564","--","--"
"S466822","","1","8","1","","1","1","","1","","336","","3","8582","--","--"
"S466832","","","","","","227","","","1","","78","","","10951","--","--"
"S466842","","","","","","","","3","","","300","","","13320","--","--"
"S466758","","","","","","","","","","","500","","","867","--","--"
"S466762","","","","","6","","","","1","","515","","","1383","--","--"
"S466769","2","1","","","10","34","","","2","4","2604","","","2105","--","--"
"S466778","","3","","","","45","","","4","","2027","","","2931","--","--"
"S466786","","","","1","9","4","","","","","492","","","3879","--","--"
"S466794","","138","","1","2","311","","","15","5","609","","3","4662","--","--"
"S466803","1","30","","6","7","14","1","","11","","185","1","","5669","--","--"
"S466813","","3","","","","3","","","","","288","","9","6676","--","--"
"S466823","","4","","1","","1","","","","","540","","4","8819","--","--"
"S466833","","","","","","196","","","","","101","","","11188","--","--"
"S466844","2","2","","4","2","3","","3","","","568","","","13557","--","--"
"S466753","","","","","","2","","","","","503","","","557","--","--"
"S466760","","","","","","","","","","","524","","","1176","--","--"
"S466768","","","","","8","2","","","1","","496","","","2002","--","--"
"S466776","","","","","3","2","","","","","494","","","2828","--","--"
"S466783","","","","","2","","","","","","297","","","3655","--","--"
"S466792","","4","","2","8","4","","","19","","277","","","4326","--","--"
"S466801","","126","","12","","48","","","","","174","","","5333","--","--"
"S466810","","12","","1","17","3","","","1","","252","","","6340","--","--"
"S466820","","10","4","1","","5","","","","","309","","3","8109","--","--"
"S466830","","3","","","1","105","","","","","200","","","10477","--","--"
"S466840","","4","","","","","","6","1","","307","","","12846","--","--"
"S466757","","1","","","6","","","","","","459","","","764","--","--"
"S466763","","1","","1","2","","","","","3","2390","","","1486","--","--"
"S466772","","2","","","1","1","","2","","","461","","","2415","--","--"
"S466780","","1","","","3","","","","","","436","","","3240","--","--"
"S466787","","","","","13","","","","","","542","","","4102","--","--"
"S466798","","12","","","","66","","","3","","243","","","4886","--","--"
"S466806","","16","","1","18","3","","","2","","233","1","","5892","--","--"
"S466814","","7","","","","","","","1","","271","","1","6788","--","--"
"S466825","","1","","2","","","","","","","314","","1","9056","--","--"
"S466835","","","","","","2","","8","","","500","","6","11662","--","--"
"S466843","","2","","4","","4","","4","","","349","","","13793","--","--"
"S466754","","55","","","4","16","","","7","","304","","","248","--","--"
"S466764","","","","1","4","","","","","","626","","","1589","--","--"
"S466771","","","","","","2","","","","","4668","","","2229","--","--"
"S466779","","","","4","1","4","","","1","","1028","","","3137","--","--"
"S466788","","","","1","45","7","","","11","1","1010","","","3990","--","--"
"S466797","","33","","2","3","56","","","","","168","","","4997","--","--"
"S466808","","13","5","2","1","4","","","2","","226","","","6116","--","--"
"S466817","","2","","","","1","","","","15","342","","","7398","--","--"
"S466827","1","1","","2","1","","","","","","413","","7","9767","--","--"
"S466837","1","7","","4","1","2","","","","","477","","","12135","--","--"
"S466755","","","","2","10","22","","","4","","323","","","41","--","--"
"S466766","","","","","17","","","","","","501","","","1796","--","--"
"S466774","","","","","9","3","","","","","499","","","2621","--","--"
"S466782","","","","3","5","10","","","","","348","","","3447","--","--"
"S466796","","2","","2","","119","","","","","126","","","4774","--","--"
"S466805","","36","","3","15","","","","3","","228","","","5781","--","--"
"S466815","6","17","","3","","3","","","3","17","282","","6","6924","--","--"
"S466824","","","","1","","4","","","","","370","","1","9293","--","--"
"S466834","","","","","1","48","","","","","259","","","11425","--","--"
"S466845","10","1","","7","","9","1","","","","320","","","14030","--","--"
"S466756","","","","","1","","","","","","206","","","351","--","--"
"S466765","","2","","","58","1","1","","2","","1708","","","1692","--","--"
"S466773","","1","","","2","6","","","2","7","2068","","","2518","--","--"
"S466781","","3","","6","23","49","","","17","11","1000","","1","3344","--","--"
"S466791","1","1","","3","85","9","","","1","","1015","","","4214","--","--"
"S466800","4","44","","","6","94","","","2","6","154","","","5221","--","--"
"S466811","","33","","","15","","","","","3","240","","6","6452","--","--"
"S466821","","5","","4","1","4","","","","","360","","4","8346","--","--"
"S466831","","","","3","","73","","","1","","224","1","","10714","--","--"
"S466841","","1","","6","","","","1","","","592","","","13083","--","--"
"S466759","","1","","","11","8","","","1","","1456","","","661","--","--"
"S466767","","","","","11","2","1","","1","2","2715","","","1899","--","--"
"S466775","","1","","1","1","9","","","2","2","2298","","","2724","--","--"
"S466784","","","","1","1","","","","","2","1039","","","3550","--","--"
"S466795","","2","","1","","34","","","52","","191","","","4550","--","--"
"S466807","","66","","","24","3","","","","","204","","","6004","--","--"
"S466818","","2","1","1","","1","","","","","312","","1","7635","--","--"
"S466828","","","4","2","","63","","","","","311","","2","10004","--","--"
"S466838","1","1","","3","","","1","7","","","326","","","12372","--","--"
"S466789","","","","","2","","","","","","520","","","970","--","--"
"S466799","","3","","9","","72","","","3","","150","","","5109","--","--"
"S466809","","27","","3","9","9","","","","","231","","6","6228","--","--"
"S466819","","5","","3","","2","","","","","371","","12","7872","--","--"
"S466829","","","","","","21","","","","","57","","","10240","--","--"
"S466839","","5","","3","1","","","7","","","517","","","12609","--","--"
"S466790","","3","","1","3","10","","","1","4","601","1","","1073","--","--"
"S466804","","9","","9","","72","","","","","171","","","5557","--","--"
"S466816","","13","","6","","","","1","","","300","","2","7161","--","--"
"S466826","","","","3","2","","","","","","313","","","9530","--","--"
"S466836","","5","","2","","3","","","","","300","","","11899","--","--"
