"","Abies","Acer","Aconitum-type","Alisma-type","Allium","Alnus","Amaranthaceae","Apiaceae undiff.","Arbutus unedo","Arceuthobium oxycedri","Armeria","Artemisia","Asphodelus","Asteroideae","Berberis","Betula","Brassicaceae undiff.","Buxus","Campanulaceae undiff.","Cannabis sativa-type","Carduus-type","Caryophyllaceae","Castanea","Centaurea cyanus-type","Centaurea undiff.","Cerinthe-type","Cichorioideae","Cistus undiff.","Citrus","Corylus","Cyperaceae","Dipsacus-type","Echium-type","Ephedra undiff.","Epilobium-type","Erica undiff.","Euphorbiaceae undiff.","Fabaceae","Fagopyrum-type","Fagus","Filipendula-type","Fraxinus excelsior","Fraxinus ornus","Galeopsis","Genista-type","Gentianaceae undiff.","Geranium-type","Geum/Potentilla","Hedera helix","Helianthemum undiff.","Hippophaë rhamnoides","Hordeum-type","Humulus-type","Hypericum-type","Ilex aquifolium","Juglans regia","Juncus/Luzula","Juniperus-type","Larix decidua","Liliaceae undiff.","Linaria-type","Linum","Mentha-type","Mercurialis undiff.","Myriophyllum undiff.","Myrtus-type","Nuphar cf. N. lutea","Nymphaea alba-type","Olea","Ostrya/Carpinus","Papaver rhoeas-type","Parietaria-type","Persicaria","Phillyrea-type","Picea abies","Pinus","Pinus cembra-type","Pistacia","Plantago coronopus-type","Plantago lanceolata-type","Plantago major-type","Plantago undiff.","Poaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Potamogeton-type","Primulaceae","Quercus ilex/Q. coccifera-type","Quercus pubescens-type","Quercus undiff.","Ranunculus-type","Rhamnus-type","Rhinanthus/Veronica","Rhus","Rosaceae (trees) undiff.","Rubiaceae cf. Galium","Rumex acetosa-type","Salix","Sambucus nigra-type","Sanguisorba minor-type","Saxifraga undiff.","Scrophularia/Verbascum","Secale-type","Sedum-type","Spiraea-type","Thalictrum-type","Theligonum cynocrambe","Tilia","Triticum-type","Typha latifolia undiff.","Typha/Sparganium","Ulmus","Urtica dioica-type","Utricularia","Valeriana undiff.","Vitex agnus-castus","Vitis vinifera","Cal_yrs_BP","min","max"
"S472054","5","1","","","","157","1","4","1","","1","9","","9","","4","6","","","1","","11","7","","","","6","","","3","3","","","","","61","","1","","43","","1","1","3","","","","","","","","1","","1","","1","","19","","","","","1","","","1","","","7","","","","","","","128","1","","15","5","","23","109","","","","","67","19","6","1","","","","1","1","10","","","","","","1","","","3","","","4","","","","","","","","1","532","--","--"
"S472068","2","1","","","","217","14","","1","","","8","","5","","12","","","1","","","3","","","1","","12","","","7","","","1","1","","146","","","","7","","5","2","","","","","","","","","1","","","","","","27","","","","","","","","","","","1","2","","","","","","890","","","1","","","2","34","","","","","67","42","24","","","1","","2","","3","5","3","","","","","","","","","1","","","","3","3","","","","","4130","--","--"
"S472083","","","1","","","88","1","4","","","","2","","7","","1","2","","","","","6","","","","","","1","","24","","","","","1","64","","","","","","","","","","1","","","","","","1","","","","","","3","","","","","","","","","","","","1","","","","","","539","","","","2","1","","33","","","","","8","11","8","1","","","","1","","4","","","","","","","","","","","4","","","","16","","","","","","7029","--","--"
"S472093","","","","3","","131","11","5","","","","13","","9","","3","2","","","","","","","","","","","","","8","3","","","","","1","","1","","","","","","2","","2","","1","","","","","","","","","","11","","","","","","2","","","","","","","","","","","","1329","","","","","","","27","","","","","5","4","2","","","","","","","3","","","","","","","","","","","","","","","5","","","1","","","10584","--","--"
"S472055","2","","","","","170","6","2","1","","","10","","11","","3","3","","1","1","","9","5","","","","17","","","5","1","","","","","70","","1","1","22","","","2","1","","","","3","","","","7","1","","","","","22","1","","","","","","","2","","","","","","","","","1","60","","","15","6","","24","112","","","","","57","13","16","","","","","","1","3","","1","","","","","","","2","","1","","","","1","","","","","1","389","--","--"
"S472066","1","","","","","176","1","1","","","","","","3","","26","1","","","","","11","","","","","6","","","10","","","","","","85","","","","1","","1","3","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","556","1","","","","","1","22","1","","","","49","16","6","","","","","","","3","","","","","","","","","","","","","","","3","","","","","1","4229","--","--"
"S472074","","","","","","119","1","1","1","","","2","","2","","1","5","","1","","","2","","","","","2","","","9","","","","","","52","","","","1","","","","","","1","","","","","","1","","","","","","19","","","","","","","","","","","","","","","","","","394","","","","3","","2","37","","","","","145","22","7","","","1","","1","","1","1","","","","","","","","","","1","","","","","1","","","","","5198","--","--"
"S472084","1","1","3","","","260","3","5","1","","","3","","5","","2","","","","","","2","","","","","2","1","","28","","","","","2","312","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","160","","","","","","","29","","","","","4","4","11","","","","","","","1","1","","","","1","","","","","","","","","","6","","","","","2","7478","--","--"
"S472095","","","","1","","189","10","5","","","","40","","10","","10","","","1","","","1","","","","","","","","5","6","","1","3","","","","","","","","","","1","","1","","","","","","1","","","","","1","23","","","","","","","1","","","","","","","1","","","","2794","","","","","","5","45","","","","","7","17","3","1","","","","1","1","8","","","","","","","","","","","1","","","","1","","","","","","10969","--","--"
"S472056","8","1","1","","","133","2","1","","","","16","","2","2","9","3","","","2","","8","1","","","","12","","","4","2","","","","","46","","","","17","","5","2","1","","","","","","","","2","","","","","","18","","","","","","","","","","","2","1","","","","","1","163","","","13","1","","22","46","","","","","66","24","7","","","","","","","4","","1","","","","","","","1","","","","","","","1","","1","","","1028","--","--"
"S472067","","1","","","","213","7","1","1","","","3","","1","","18","1","","1","","","5","","","","","10","2","","16","1","","","","","103","","","","4","","3","2","","","2","","","","","","1","","","","","","31","","","","","","1","","","","","3","2","","","","","2","1046","","","","4","","1","47","","","","","83","36","21","2","","","","3","","1","","","","","2","","","","","","3","1","","","2","","","","1","","4327","--","--"
"S472071","1","","","","","296","8","1","","","1","5","","1","","5","3","","2","","","4","","","","1","10","","1","30","3","","","1","","158","","","","8","","7","10","","","1","","","1","","","","","","","","","44","","","","","1","","1","","","","2","2","1","","","","","1123","","","","","","2","53","","","","","204","85","26","","","2","","","1","2","2","","","","","","","","","","8","","","","1","1","","","","","4693","--","--"
"S472078","1","","","","","146","2","3","1","","","7","1","4","","3","8","","","","","2","","","","","3","3","","23","1","","","","","80","","","","","","1","","","","1","","","","","","","","","","","","9","","","","","","","","","","","1","1","","","","1","","430","","","","1","","2","30","","","","","91","40","21","","","","1","","","1","","","","","","","","","","","5","","","","4","1","","","","1","6055","--","--"
"S472088","","","","","","139","1","2","1","","","2","","3","","3","1","","","","","","","","","","","","","28","","1","","","","268","","","","1","","3","","1","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","409","","","","","","1","14","","","","","12","9","4","1","","","","","","","","","","1","","","","","","","2","","","","8","","","1","","","8971","--","--"
"S472098","","1","","","","49","16","14","","","","123","","5","","","1","","","","1","","","","1","","3","","","","1","","","5","","","","1","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","798","","","","","","1","18","","","","","","7","1","1","","","","","","3","","","","","1","","","","","","","","","","","","","","","","11504","--","--"
