"","Achillea-type","Alnus","Amaranthaceae","Angelica sylvestris","Apiaceae undiff.","Armeria maritima (type A)","Armeria maritima (type B)","Betula nana","Betula pubescens","Brassicaceae","Calluna","Caltha palustris","Caryophyllaceae undiff.","Cichorium intybus-type","Cirsium","Cyperaceae","Empetrum","Fagus","Filipendula","Geranium","Juniperus","Ligusticum scoticum","Mentha-type","Menyanthes","Micranthes stellaris-type","Myriophyllum alterniflorum","Myriophyllum spicatum","Nymphaea","Oxyria digyna","Pinus","Plantago maritima","Poaceae","Potamogeton","Potentilla","Primula","Ranunculus acris","Ranunculus flammula","Ranunculus undiff.","Rhinanthus-type","Rosaceae undiff.","Rubiaceae","Rumex acetosa","Salix","Saxifraga granulata","Silene flos-cuculi","Silene vulgaris-type","Sorbus aucuparia","Thalictrum","Vaccinium","Viola","Cal_yrs_BP","min","max"
"S476475","","","","2","","","","29","32","","","","","6","","142","14","2","","","","","","","","68","2","","","4","","29","63","","","2","","","","","2","","10","","","","","11","6","","18","--","--"
"S476476","","","","","","","1","37","33","","2","","","1","","143","15","","","","1","","1","","1","11","1","","","","","28","36","","","","","","","","1","2","5","","","","","23","6","","150","--","--"
"S476477","","","","2","","1","","20","131","","","","","3","","82","10","","3","1","4","","","","","66","","","","","","22","6","","","2","","","","1","","2","4","","","","","9","3","","505","--","--"
"S476478","","","","3","1","","","20","128","","3","3","","1","","74","6","","","","2","","","","","50","","","1","1","","28","6","","","","","","","","","3","12","","","1","","12","1","","520","--","--"
"S476479","","","","1","","","","30","125","","1","","","2","","76","3","","1","","3","","","","1","56","","","","","","33","3","","","1","","","","","","5","9","","","","","8","1","","534","--","--"
"S476480","","","","","","","","29","120","","2","","","","1","78","3","","","","2","","","","","284","3","1","","","","26","7","","1","3","","","","","1","7","11","","","","","13","3","","548","--","--"
"S476481","","","","2","","","","27","106","","","","","","","108","1","","1","","4","","","","1","91","","","","","","24","5","","","","","","","1","","2","4","","","3","1","14","1","","563","--","--"
"S476482","","","","2","","","","23","121","","2","","","1","","97","2","","","","2","","","","","170","","","","","","25","5","","","1","","","","","","3","9","","","","","11","1","","620","--","--"
"S476483","","","","4","","","","32","119","1","1","1","","1","","68","3","","1","","12","","","","1","206","","","","","","34","","","","1","","","","","","1","6","","","","","10","3","1","678","--","--"
"S476484","","","","3","","","","23","125","","","1","","","","81","5","","1","","6","","","","","178","","","","","","26","1","1","","1","","","","","","1","19","","","2","","5","","","692","--","--"
"S476485","","","","2","","","","46","127","","","","","1","","68","2","","","","4","","","","","173","3","","","","","32","19","","","","","","","","","4","6","","","","","8","","","707","--","--"
"S476486","","","","3","","","","37","115","","","","","","","79","3","","","","4","","","1","","256","","","","","","34","17","","2","2","","","","","","1","13","","1","","","5","1","","721","--","--"
"S476487","","","","6","","","","28","136","","","","","1","","76","","","","","6","","","","","259","","","","2","","23","2","","","4","","2","","","","1","7","","","","","7","1","","735","--","--"
"S476488","","","","1","","","","29","117","","2","1","","1","","98","5","","","","2","","","1","","184","1","","","1","","16","2","","","2","","","","","","4","8","","","","","9","4","","750","--","--"
"S476489","","","","6","","","","22","97","","","","","","","106","7","","","","11","","","","","203","1","","","","","25","3","","1","6","","","","","","2","8","","","1","","8","","","764","--","--"
"S476490","","","","7","","","","33","86","","","2","","1","","95","5","","1","1","6","","1","","","115","1","","","1","","37","2","","","1","","","","","","2","4","","","","","17","","","778","--","--"
"S476491","","","","3","","","","26","103","","","","","","","96","4","","","","4","","","","1","126","","","","1.5","","36","4","","1","2","","","","","","1","9","1","","","","10","1","1","794","--","--"
"S476492","","","","1","","","","38","109","","5","","","","","90","9","","","","6","1","","","","269","","","","","","23","1","","","","","","","","","3","7","","","","","7","","1","815","--","--"
