,Cal_yrs_BP,max,min,Allium,Alnus,Amaranthaceae,Anthoceros-type,Apiaceae,Artemisia,Asphodelus,Asplenium-type,Asteroideae,Betula,Boraginaceae,Botrychium-type,Brassicaceae,Buxus,Carpinus,Caryophyllaceae,Centaurea,Cichorioideae,Cistaceae,Cistus,Corylus,Cyperaceae,Cyperus-type,Dipsacoideae,Ephedra distachya-type,Ephedra fragilis-type,Ephedraceae,Equisetum,Erica,Fabaceae,Fagus,Galium-type,Geraniaceae,Hedera,Helianthemum,Lamiaceae,Liliaceae,Lycopodium,Malvaceae,Monoletes,Myriophyllum,Olea,Ophioglossum,Phillyrea,Pinus,Pistacia,Plantago,Plantago coronopus-type,Poaceae,Poaceae (Cerealia-type),Polypodium,Pteris-type,Quercus (deciduous),Quercus (evergreen),Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Salix,Sanguisorba minor-type,Saxifragaceae,Scabiosa,Scrophulariaceae,Selaginella-type,Sparganium-type,Tamarix,Thymelaeaceae,Triletes,Ulmus,Urticaceae,Vitis,cf. Juniperus
1,0,,,,,828,,10,9,,,6,,,,,,,,,28,,,,9,1,2,,,,4,,,,,,,,,3,,,,4,,,,120,,5,,31,3,,,,6,,2,,,,,,,,,8,,,,,,,2
2,210.4762,,,,,219,2,,,,,4,,,,,,,,,9,,,,2,,,,,,,1,,,,,,,,,,,,,,,,96,,,,23,1,,,,11,,,,,,,,,,3,1,,1,2,,,,1
3,420.9524,,,,,96,,2,2,,,6,,,,,,,,,25,,,,,,2,,,,,,,,,,,,3,,,3,1,2,,4,,37,,3,,23,1,,,,3,1,2,,,,,,,3,,5,,,,1,,,1
4,631.4286,,,,,142,,2,1,,,6,,,3,,,,,,2,,,1,5,,,,,,,,,,,,,,,,,,,,,,3,16,,3,,10,,,,,3,,,,,,,,,,,,,,5,,,,
5,841.9048,,,,4,215,,3,2,,,5,,,,,,,,,31,,,,13,,,,,,,5,,,,,,,,,,,6,3,,4,,49,,6,,27,5,,,,16,2,,,,,,,,,,11,,,,,1,,7
6,1052.381,,,,,39,,1,2,,,1,,,2,,,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,10,,2,,20,,,,,5,,,,,,,,,,,,,,,,,,
7,1262.857,,,,,170,,25,2,,,11,,,,,,,,,40,2,,,18,,,,,,,12,,,,,,,,3,,,2,4,1,3,,33,,5,,49,4,,,,5,,,,,,,,,,,16,1,,,,5,,13
8,1473.333,,,,,76,,17,4,,,6,,,,,,,,1,31,,,,9,,,,,,,3,,,,,,,,,,,,,,,,20,,5,,23,1,,,,13,,,,,,,,,,2,4,1,,2,,1,,4
9,1683.81,,,,1,158,,22,1,,,18,,,,,,,,,39,,,,11,,3,,,,,11,,,,,,2,,,,,1,2,1,,,38,,3,,76,2,,,,17,,,,,1,,,,5,,17,,,4,,1,,5
10,1894.286,,,,,61,,7,3,,,3,,,,,,,,,27,2,,2,26,,,,,,,5,,,,,,,,,,,,,,,1,24,,14,,13,7,,,,4,,,,,1,,,,,,13,,,,,,,
11,2104.762,,,,1,61,,29,20,,,14,,,,,,,,1,28,4,,3,24,3,5,,,,,21,,,,,,,,,,,1,11,,2,,85,,20,,130,3,,,1,17,13,,,,,,,,,,33,,,3,,3,,7
