"","Abies","Alnus cf. A. glutinosa","Alnus cf. A. suaveolens","Amaranthaceae","Apiaceae","Arbutus unedo","Artemisia","Asphodelus","Aster-type","Asteroideae","Betula","Brassicaceae","Campanulaceae","Carpinus","Caryophyllaceae","Castanea","Cichorioideae","Cirsium-type","Cistaceae","Corylus","Cyperaceae","Dipsacus","Ephedra","Epilobium","Erica","Fabaceae","Fagus","Filipendula","Fraxinus","Galium-type","Hedera","Helianthemum","Juglans","Lamiaceae","Melampyrum","Myriophyllum","Olea","Paronychia-type","Pedicularis","Phillyrea","Pinus","Pistacia","Plantago","Plantago major/P. media","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potentilla","Primula","Quercus (deciduous)","Quercus ilex/Q. coccifera","Quercus suber","Rosaceae","Rubiaceae","Rumex","Salix","Sanguisorba","Scrophulariaceae","Tamarix","Thymelaea","Tilia","Typha latifolia","Typha/Sparganium","Ulmus","Urtica","Viburnum","Vitis","cf. Juniperus","cf. Sedum","Cal_yrs_BP","min","max"
"S492990","","","2","15","","","","1","","1","","","","","2","","2","2","12","","15","","","","71","","","","","","","","","","","","","1","","","6","","","","16","","","","","","","","","","","","","","","","","","","","","","","","8","","20","--","--"
"S492992","1","13","10","156","","","1","","1","","","","","","","","","","2","2","1","","","","29","","3","","1","","","","","","2","","4","","","1","13","","","","7","","","","","1","7","48","","","","","","","","2","","","","","","","2","4","","","1391","--","--"
"S492994","2","9","8","125","","","1","1","1","1","1","","","","","","1","1","5","1","1","","","","31","","1","","","","","","1","1","3","","4","","","","13","","2","","24","1","","","","","7","91","","","","","","","","2","","","","","","","2","","1","","2036","--","--"
"S492996","1","9","10","213","4","","3","","1","","1","","","","","","4","1","1","3","3","","","","30","","1","","","","","","","1","7","","1","","","","14","","","","29","","","","","","9","65","","","","","","","","4","","1","","","1","","","","","","3013","--","--"
"S493006","3","34","24","101","","2","","","","","","1","","","","","","","","1","","","","","46","1","3","","2","","","","","","1","","6","","","","25","","1","","4","1","","","","","12","38","2","","","","1","","","1","","","","3","1","","","4","1","","3918","--","--"
"S493013","","42","58","3","","1","","1","","","1","","","","1","","2","2","6","5","2","","","","83","","","","2","1","","","","","","","","","","3","54","","","","4","","","","1","","3","33","1","","","","","","","2","","","","","","","","3","1","","4838","--","--"
"S493024","1","36","42","3","","1","","1","4","1","","","","","1","1","4","3","3","2","2","","1","","67","","","","","","","","1","2","","","9","","","","37","1","1","","6","1","","","","","22","82","","","","","2","","","3","1","","","","","","1","1","1","","5224","--","--"
"S493032","1","71","68","1","2","1","1","","3","","","","","1","","","5","2","3","4","","","","","35","","1","","1","","","","","","4","","3","","","1","49","2","","","5","","","","","","14","38","","","","","","","","1","","","","","","","1","1","","","5655","--","--"
"S493041","","54","29","","3","","","3","","","2","","","","","","9","6","6","1","8","","","","117","","","","2","","","","","","","","4","","","","17","2","1","","6","","","","","","4","21","","","","","","","","","","1","","1","","","","4","2","","6194","--","--"
"S492991","","1","1","56","","1","2","","1","2","","","","","","","4","3","18","","55","","1","","77","","","","","","","","","","","","2","","","","24","","","","9","","","","","","1","3","","","","","","","","","","","","14","1","","","","3","","40","--","--"
