"","Alnus","Betula","Brassicaceae","Caryophyllaceae cf. Sagina","Caryophyllaceae cf. Silene uralensis-type","Castanea","Cerastium-type","Cichorioideae","Corylus","Cyperaceae","Oxyria digyna","Pinus","Poaceae","Polygonum aviculare-type","Ranunculus","Salix herbacea","Saxifraga cespitosa-type","Saxifraga oppositifolia","Thalictrum","Xanthium","Cal_yrs_BP","min","max"
"S513018","","","17","","","","","","","","355","","","","","","2","","","","-27.35","--","--"
"S513028","","","7","","","1","","","","","24","1","","","","","","","","","16.23","--","--"
"S513030","","","15","","","","","1","","","46","1","5","","","4","1","","","","17.63","--","--"
"S513019","","","8","","","","","4","","","217","","1","","","","","","","","0.88","--","--"
"S513029","","1","17","","","","","","","","22","1","","","","1","","","","","16.93","--","--"
"S513020","","3","24","1","","","","3","","","471","1","1","1","","1","1","","","","6.53","--","--"
"S513032","","","5","","","","","1","","","30","","1","","","5","1","1","","","20.44","--","--"
"S513021","","1","20","","","","","1","1","1","195","","1","","","","1","","","","-16.06","--","--"
"S513031","","","11","","","","","1","","","39","","","","","3","1","","","1","19.04","--","--"
"S513023","","2","13","","","","","","","","77","","","","","1","3","","","","15.53","--","--"
"S513033","","3","7","","","","","","","","55","1","2","","","4","1","","","","18.33","--","--"
"S513022","","","16","","","","","1","","","483","","","","","1","","1","","","-10.41","--","--"
"S513036","","","16","","","","","","","","40","","3","","","10","","1","","","24.65","--","--"
"S513024","1","","22","","","","","","","","162","","","","","3","1","1","","","-4.76","--","--"
"S513025","","1","21","1","","1","","12","","1","133","","1","","","4","1","","","","15.18","--","--"
"S513026","","5","20","","5","","","5","","1","341","","","","","4","2","","1","","12.18","--","--"
"S513034","","","6","","","","","","","","24","","","","","","3","","","","21.84","--","--"
"S513027","","1","46","","","","1","","","","209","","","","1","3","","1","","","-21.71","--","--"
"S513035","","","5","","","","","","","","12","","","","","2","4","","","","23.25","--","--"
