"","Alnus","Amaranthaceae","Artemisia","Betula","Brassicaceae","Carpinus","Caryophyllaceae cf. Minuartia","Caryophyllaceae cf. Silene uralensis-type","Cerastium-type","Cichorioideae","Corylus","Cyperaceae","Koenigia islandica","Lotus","Oxyria digyna","Pinus","Plantago lanceolata-type","Poaceae","Poaceae (Cerealia)","Ranunculus","Salix herbacea","Saxifraga oppositifolia","Senecio-type","Thalictrum","Cal_yrs_BP","min","max"
"S520372","1","","","","","","","3","10","1","","","","","115","1","","2","","","55","1","","","228.1","--","--"
"S520361","2","","","4","","","","1","9","48","1","69","","","70","2","","117","","","109","","","","-8.13","--","--"
"S520364","","","","4","","1","","1","40","228","1","21","","","62","1","","16","1","","582","1","","","128.63","--","--"
"S520367","1","","","","2","","","3","7","21","","48","","","49","","1","8","","1","970","2","1","","153.5","--","--"
"S520370","","1","","","","","","3","5","1","1","4","","","84","1","","3","","1","116","1","","","203.23","--","--"
"S520373","","","","5","","","","6","22","2","2","2","2","","124","2","1","16","","1","163","2","","","240.53","--","--"
"S520376","","","","4","","","","5","2","5","","6","","","28","3","","4","","","321","","","1","327.57","--","--"
"S520362","","","","14","1","","","1","5","220","5","41","","","61","1","","7","","","","","","","16.73","--","--"
"S520365","1","","","2","","","","15","47","418","1","63","","","57","","1","56","","","130","2","","","141.07","--","--"
"S520368","1","","","6","","","","6","5","","","98","2","1","100","3","","9","","","345","7","","","178.37","--","--"
"S520375","3","","","2","","","","3","","2","","1","","","39","","","1","","","398","1","","","290.27","--","--"
"S520363","","","","3","","","","","2","50","","70","","","60","1","","3","","","151","","","","29.17","--","--"
"S520366","2","","","","1","","","3","7","42","","10","","","44","1","","8","","","699","1","","","165.93","--","--"
"S520369","2","","","1","2","","","6","5","1","1","83","","","101","1","","6","","","257","2","","","190.8","--","--"
"S520371","","","","2","2","","","3","4","","1","1","","","40","","1","3","","1","173","3","","","215.67","--","--"
"S520374","1","","1","1","2","","","3","","1","2","2","","","106","1","","6","","1","217","3","","","252.97","--","--"
"S520377","1","","","2","1","","","11","11","152","1","","","","52","1","","16","","","137","","","","41.6","--","--"
"S520378","","","","1","","","","","6","234","","16","","","44","","","194","","","95","11","","","54.03","--","--"
"S520379","1","","","1","","","","2","126","313","","18","","","126","","","80","","","124","7","","","66.47","--","--"
"S520380","","","","2","","","","","","28","3","6","","","124","","","4","","","78","2","","","91.33","--","--"
"S520381","","","","1","","","1","","36","172","","3","","","62","","","381","","","48","1","","","78.9","--","--"
"S520382","","","","4","","","","1","1","111","","11","","","120","1","","13","","1","46","2","","","103.77","--","--"
"S520383","1","","","4","","","","6","13","783","2","3","","","23","","","3","","","91","","","","116.2","--","--"
