,Cal_yrs_BP,min,max,Acaena magellanica,Acaena tenera,Alnus,Alopecurus magellanicus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Austroblechnum penna-marina,Berberis-type,Botryococcus sp.,Brassicaceae,Callitriche antarctica,Caryophyllaceae,Colobanthus,Cystopteris fragilis,Deschampsia antarctica,Ephedra,Ericaceae,Eucalyptus spike,Eucalyptus spike,Festuca-type,Fungi,Fungi incertae sedis,Galium antarcticum,Grammitis poeppigiana,Hymenophyllum falklandicum,Indeterminable,Indeterminable undiff.,Juncus scheuchzerioides,Lycopodium magellanicum,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Montia fontana,Nothofagus dombeyi-type,Ophioglossum crotalophoroides,Pediastrum spp.,Phleum alpinum,Plantago,Podocarpus,Polypodium,Polystichum mohrioides,Potentilla,Ranunculus biternatus,Rostkovia magellanica,Saxifraga,Spirogyra sp.,Tilia,Unknown (monolete,Unknown (monolete,Unknown (trilete),Unknown (type 128,Unknown (type 6,Unknown (type 6a),Unknown (type 7,Unknown (type A),Unknown (type B),Unknown (type C),Unknown (type D,Unknown (type E),Unknown (type X),Valeriana-type,Zygnemataceae,cf. Carex meridensis,cf. Helianthemum
1,719,,,95,45,,46,,,,2,1,,1,,20,,4,,30,,1,182.1,658,168,1,,1,,1,92,1,3,,,,,1,2,,2068,14,,,7,,1,,,,,,,,,,,,,,,,,,2,1,,,
2,2365,,,28,29,,10,,,,1,,,,,1,,,,11,,,,,53,2,1,4,,,19,1,,2,988,18584,4,,,,471,7,,,10,,,,,,8,,5,,,,1,,,,,,,1,,1,,,
3,2781,,,77,21,,63,,,,,,,1,,9,,4,,24,,,,,98,1,,1,,,40,,7,10,1128,18584,4,,,,411,17,,,1,,,,1,,18,,,,,12,4,,,,,,15,,7,,,,
4,4962,,,159,137,,43,,,,1,,,,,25,,2,,44,,,182.1,1447,311,3,2,12,,3,133,1,,4,,,,,7,,3288,17,,,13,,,,,,,,1,,,,1,,,,,,4,1,12,1,,,
5,313,,,67,75,,44,,1,,2,2,,,,9,,3,1,50,2,,182.1,3069,201,,,1,,,123,1,,,,,,,3,,624,10,,,7,1,1,,,,,,,4,,16,7,,2,,,,9,,9,,,,
6,1891,,,146,57,,93,,1,,5,4,,,,18,,9,,41,,1,182.1,2317,159,2,1,16,,1,54,3,6,3,,,,3,1,,2279,35,1,,8,2,,,,,4,,5,2,,,1,,2,,,,36,,30,,,,
7,2699,,,86,38,,65,,,,,1,,1,,16,,2,,18,,,,,200,1,,,,1,33,1,5,3,574,18584,4,2,,,69,54,,,8,,,3,3,,,,4,,,11,3,,,,,,26,,,,1,1,
8,4713,,,23,1,,4,,,,,1,,2,,1,,,,4,,,,,51,2,,,,,,,6,2,180,18584,2,,,,358,3,,,5,,,,1,,,,,,,,,,,,,,11,,,,,,
9,9623,,,129,36,,12,2,,,,,,,,,,3,,12,,,,,50,,6,1,,,23,1,5,3,549,18584,1,,,,,6,,,11,,,1,,,,,,,,,,,,,,,,,11,1,,,
10,1146,,,35,15,,10,,,,,1,,,,1,,,,14,,,,,44,,2,2,,1,12,,1,6,783,18584,4,,,,888,7,,,2,,,,,,1,,1,1,,,,,,,,,,,1,,,,
11,2522,,,93,65,,22,,,,1,1,,,,9,,4,,40,,,182.1,838,163,4,6,11,,,65,1,,2,,,,,1,,1378,50,,,8,,,3,,,2,,,,,,,,,,,,,,14,,,1,
12,3182,,,64,20,,21,,,1,,1,,1,,4,,2,,25,,,,,105,,1,2,,,17,,7,3,1090,18584,4,,,1,708,7,,,2,,,,,,,,1,4,,30,5,,2,,,,5,,,,,1,
13,5704,,,90,61,,94,3,,,,,,,,28,,3,,105,1,,182.1,792,356,1,7,17,1,,130,,1,1,,,,,,,91,14,,,6,,,1,,,,,3,,,,,,,,1,,5,,15,,,1,
14,142,,,36,26,,37,,,,,1,,,,8,,4,,45,,,182.1,2714,180,1,,,,1,103,,1,,,,,,6,,583,6,1,,4,,1,,,,,,,2,1,1,1,,,1,,,,,7,,1,,
15,1480,,,99,74,,40,,1,,1,4,1,,,9,,3,,32,,,182.1,1510,123,1,1,3,,2,39,1,4,2,,,,1,1,,501,35,,,21,3,,3,,1,19,,9,1,,,4,,1,1,,,13,,18,1,,,
16,2602,,,67,18,,77,1,,,,,,,,16,,4,,66,,,,,94,,,1,,,47,1,15,9,1144,18584,4,,2,,1678,36,,,13,,,,5,,12,,2,,,7,1,,1,,,,9,,5,1,,,
17,4243,,,86,68,,43,,,,,4,,1,,4,,1,,27,,,,,62,3,,4,,,38,2,2,4,534,18584,1,,1,,1605,12,,,7,,,1,,,,,,,,,1,,,,,,,1,7,,,,
18,9211,,,28,11,,55,,,,,,,,,9,,,,45,,,,,159,,,,,,88,,4,5,263,18584,1,2,1,,33,15,,,6,,,,,,,,,,,,2,,1,,,,11,,12,1,,,
19,761,,,43,18,,31,,,,,1,,2,,2,,,,8,1,,,,52,,,,,,8,3,3,10,327,18584,4,,2,,1752,15,,,2,,,,,,,,,,,,1,,,,,,17,,,,,,
