"","Acalypha","Alchornea","Alismataceae","Amaranthaceae","Anacardiaceae","Apocynaceae","Arecaceae","Asteraceae","Avicennia","Bursera","Byrsonima","Cactaceae","Canna","Cassia","Cecropia","Chrysophyllum","Cladium","Coccoloba","Combretaceae","Cucurbitaceae","Cyperaceae","Desmodium","Erythroxylum","Euphorbiaceae","Fabaceae","Guazuma","Gymnopodium","Hura","Ilex","Juncus","Machaerium","Moraceae","Myricaceae","Myrtaceae","Onagraceae","Petrea","Piperaceae","Poaceae","Polygonaceae","Quercus","Ranunculaceae","Rhizophora mangle","Sapotaceae","Spondias","Tilioideae","Trema","Typha","Ulmaceae","Verbenaceae","Zanthoxylum","Cal_yrs_BP","min","max"
"S533646","1","","","","","1","4","1","","","","","","","8","","","","158","","13","","","","","","","","","","","3","","1","","","","2","","","","","3","","","","","","","2","912","1220","695"
"S533654","","","","","","","3","5","","","10","","","","6","","","5","80","","8","1","","5","1","","","","5","","","3","","3","","","1","4","","","","2","2","","","","","","3","1","1954","2159","1819"
"S533662","","","1","","","","6","4","","","1","","","1","5","","6","2","7","","86","","","1","2","","2","","5","","","5","","4","1","","","8","","","","1","1","","","","","1","","1","4483","4839","4032"
"S533671","","","","","","","5","1","","2","5","","","","","","","4","1","1","5","1","","","","","","","2","","4","4","","29","","","","9","","","","104","3","1","","","1","","","","5447","5802","5097"
"S533644","","","","","","17","6","18","2","8","5","","","","4","","3","15","20","","17","","","","","","","","","","4","10","","4","","","2","20","","1","1","5","2","1","","","","","","11","597","649","543"
"S533651","","","","","","2","7","7","","3","4","","","","4","","3","8","89","","13","","","","","","","","","","1","4","","6","","","","13","","","","18","1","","","","","","","4","1790","2031","1533"
"S533658","","","","2","","2","3","","","1","","","","","","","","1","158","","21","","","","","","1","","","","","3","","2","","","","3","","","","","1","","","","","","","","3854","4303","3447"
"S533666","","1","","7","","","2","1","","5","3","1","","","","","2","2","41","","11","","","","1","","6","","","","","4","","33","","","","4","","","","54","2","","","","","","","4","4908","5144","4593"
"S533672","","","","1","","","1","1","","2","12","","","","2","","","1","","","5","","","","4","","1","","","","","","","52","","","","5","","","","82","2","","","","","1","","1","6131","6463","5772"
"S533643","1","","","","","","3","1","","","3","3","","","4","","2","3","115","","24","","","","1","","","","","","","2","","","","","","9","","","","","","","","","","","","","261","482","18"
"S533659","","","","","","","2","2","","4","","","","","6","","4","7","148","","9","","","","","","","1","","","","4","","1","","","","4","","1","","","","","","","","","","","3154","3326","2987"
"S533668","","","","","","","6","6","2","4","2","","","","2","","1","4","16","","5","","1","","","","","","","","2","8","","11","","","","1","","","","103","","","","","","","","7","5071","5384","4738"
"S533676","","","","1","","","4","1","","2","7","","","1","2","","","2","","","6","","","","2","","","","1","","1","2","1","42","","","","3","","","","112","","","","","","","","","6410","6720","6121"
"S533645","","","","","","","","8","9","","6","","","","1","","","3","155","","2","","","","","","","","","","6","4","","3","","","","2","","","","2","","","","","","","","","483","610","279"
"S533652","","","","","4","4","5","","","","3","1","","4","2","","1","5","39","1","23","","","","3","2","1","","","","1","5","1","3","","","","37","","","","3","10","","","","","","","4","1790","2031","1533"
"S533660","","","","1","","37","12","7","","7","2","1","","3","1","","1","3","29","","21","","","","2","","","","1","","2","2","","8","","","","32","","","","","8","1","","","","","","4","4148","4579","3695"
"S533667","","","","3","","1","2","","","","","","","3","1","","","5","","","4","","","","2","","","","","","3","2","1","24","","","","11","","","","119","3","","","","","","","4","4966","5223","4646"
"S533675","","","","","","1","2","","","4","3","","","","3","2","","","2","","1","","","","","","3","","","","2","6","","36","","","1","1","","","","93","4","","1","","","","","","6271","6593","5940"
"S533647","","5","","","","","2","3","","","3","","","","1","","6","4","154","","2","","","","","","","","","","4","3","","2","","","1","1","","1","","1","","1","","","","","","","331","520","92"
"S533653","","","","","","1","12","6","4","2","1","","","","4","","6","3","53","","44","","","","","","","","","","1","2","","4","","","","8","","","","3","11","","","","","","","5","2267","2648","1970"
"S533661","","","","","","","13","11","1","5","1","","","","4","","4","4","32","","46","","","","","","","","","","2","9","","7","","","","12","","","2","6","3","","","","","","","5","4323","4728","3870"
"S533670","","2","","","","1","2","1","","1","4","","1","","","","2","","4","","5","","","","1","","","","","2","","4","","6","","","","4","","","","129","1","","","","","","11","4","5223","5551","4891"
"S533649","","","","","","5","4","2","","5","2","","","3","3","","5","14","22","","20","","","","2","","","","7","","5","6","","7","","2","","4","","","","3","6","","","12","","","","20","783","1032","624"
"S533650","1","","","","","5","2","1","1","7","","","","1","5","","6","6","39","","23","","","1","2","","","","","","","13","","8","","","","14","","","","7","10","","","","","","6","8","1110","1465","809"
"S533656","","2","","2","","1","11","2","","1","12","","","","4","","1","9","35","","28","","","","3","","1","","","","1","5","","9","","","","29","1","","","1","7","","","","","","","5","3339","3678","3091"
"S533655","","","","","","","3","2","","1","","","","1","1","","","3","154","","18","","","","1","","","","1","","","1","","1","","","","8","","","","","1","","","","","","","","3456","3880","3147"
"S533663","","","","6","","","11","4","","5","1","2","","1","","","8","1","62","","41","","","","2","","2","","","","","2","","5","1","","","3","","","","9","4","","","","","1","","4","4745","5001","4411"
