,Cal_yrs_BP,max,min,Achillea,Alnus glutinosa-type,Amaranthaceae,Ammi-type,Anagallis,Angelica lignescens,Anthoceros laevis,Anthoceros punctatus,Apiaceae,Apium,Arceuthobium azoricum,Artemisia,Asteroideae,Bellis-type,Botrychium lunaria,Brassicaceae,Calluna vulgaris,Campanulaceae,Castanea sativa,Centaurium,Cercophora-type,Chaerophyllum azoricum,Charcoal,Cheilanthes-type,Chrysanthemum-type,Cryptomeria japonica,Culcita macrocarpa,Cyperaceae,Daphne laureola,Daucus carota subsp. azoricus,Desmidiales,Diphasiastrum madeirense,Dryopteris dilatata-type,Dryopteris filix-mas-type,Ericaceae,Euphorbia,Euphrasia,Frangula azorica,Galium-type,Gnaphalium-type,Hedera azorica,Huperzia dentata,Huperzia suberecta,Hydrangea macrophylla,Hydrocotyle vulgaris,Hymenophyllum tunbrigense-type,Hypericum foliosum-type,Ilex perado ssp. azorica,Illecebrum verticillatum,Indeterminable,Indeterminable (unknown),Isoëtes azorica,Juniperus,Juniperus brevifolia,Lactuca-type,Ligustrum,Lycopodiella inundata,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lysimachia azorica,Lythrum portula,Mentha-type,Morella faya,Myrsine africana,Ophioglossum azoricum,Ophioglossum lusitanicum,Osmunda regalis,Pediastrum,Pericallis-type,Persicaria,Picconia azorica,Pinus subg. Pinus,Plantago coronopus,Plantago major,Plantago uniflora,Poaceae,Podospora-type,Polypodiales (monolete),Polypodiales (trilete),Polypodium azoricum,Potamogeton-type,Potentilla-type,Prunus lusitanica subsp. azorica,Pteridium aquilinum,Pteris incompleta,Ranunculus cortusifolius-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Sample quantity,Scabiosa,Selaginella kraussiana,Silene-type,Spergula-type,Sphagnum,Sporormiella,Tolpis-type,Trichomanes speciosum,Urtica,Ustulina deusta,Vaccinium cylindraceum,Veronica,Vitis,Xanthium
1,-47.517,,,10,,1,,15,12,,,,,5,,,,,,3,,3,,1,,0,,,18,94,202,,,4,,,,32,10,,2,,,1,,3,4,3,1,7,26,1,13,6,,6,91,9,,,1752,10679,8,6,1,,101,48,,,2,426,,,2,6,1,2,,198,1,595,,1,511,18,,8,3,8,1,,,1,1,24,,,33,,17,5,,1,7,,,
2,-22.687,,,24,,,,18,14,,,1,,11,,,1,,,2,,1,,10,,0,,,27,74,372,,,13,,,,51,3,,3,,1,1,,3,3,6,1,6,24,,17,,,1,122,14,4,,2016,10679,8,7,5,,155,40,,,9,980,,,5,16,1,1,,208,,526,,,1695,27,,26,1,13,1,,1,1,2,13,,3,44,,27,8,,,2,1,,
3,2.143,,,19,,,,24,13,,,,,6,,,4,,,3,,,,9,,1,1,,3,62,424,,,6,,,,22,3,,1,,,1,,2,4,6,1,1,24,1,15,4,,7,94,8,4,,1297,10679,8,4,6,,108,70,,,5,1229,,,2,5,1,,3,163,1,468,,,1102,15,,16,1,18,,,,1,1,10,,,28,,21,9,,1,,1,,
4,12.075,,,11,1,,,7,7,,,2,,9,1,5,7,1,1,,,2,,3,,1,2,,,24,271,1,,1,2,,,7,3,1,,2,,,,3,2,,,13,18,,5,1,,2,109,2,,,804,10679,8,4,,,68,32,,,4,106,1,,12,1,,2,,151,,429,,,433,6,1,4,2,20,1,1,,1,2,9,,,23,,6,18,,1,4,,,
5,36.905,,,11,,,,24,13,,,,,6,,,4,,,4,1,1,1,6,,1,,,,48,375,,,7,,,,30,8,,1,,,1,,1,2,4,,2,16,,11,,,,62,2,,,1272,10679,8,11,3,,17,34,,,4,1566,,,3,3,1,,,147,5,379,,1,503,15,1,13,,21,,,,1,1,9,,,29,,20,15,1,,6,3,,
6,49.32,,,11,,,,38,8,,,,,7,,,3,,,3,,,2,7,,0,,,,55,401,,2,6,,,,36,6,,1,,,,,6,1,7,1,2,17,,13,,1,2,73,2,1,,1371,10679,8,14,3,,102,51,,,4,3251,,,2,5,2,1,,193,4,439,,,601,28,1,30,,29,,,,1,,9,,,32,,12,14,,,2,1,,
7,74.15,,,9,,,,28,12,,,3,,8,,1,9,,,2,,5,,1,,0,6,,,55,423,,,2,4,,,19,1,,,,,2,1,6,6,6,1,14,20,,17,1,,1,102,9,,,1062,10679,8,1,8,,97,34,,,5,1085,1,,,2,1,1,1,162,1,498,,,551,18,,14,,21,4,3,,1,1,7,,,41,,8,26,,1,1,4,,
8,98.98,,,11,,,,41,5,2,,,,9,,,2,,,3,,,,13,,0,,1,,57,428,,,5,,,,38,8,,,,,1,1,6,3,5,,6,19,1,6,,6,,90,1,3,,1303,10679,8,13,2,,100,41,,,4,4112,,,3,5,,3,,159,2,351,,1,732,20,1,24,,13,1,,,1,,7,1,,33,1,16,9,,,2,,,
9,119.2,,,9,,,,52,12,,,1,,5,,,,,1,2,,2,,2,,1,,,,45,422,,,2,,,,24,9,,,,1,1,,,,2,,2,15,,15,,5,1,66,6,,,1034,10679,8,22,6,,90,38,,,2,2102,,,4,,,,4,124,4,314,,,662,17,6,12,,10,1,,,1,3,9,,,22,1,16,13,,,2,,,
10,159.6,,,12,,,,25,6,,,4,,8,,1,1,1,,2,,1,,5,,0,,,,39,361,,,,,,,27,7,,1,2,,,,5,,2,,4,18,,4,,13,,123,6,,,932,10679,8,6,5,,92,40,,,8,1182,,,1,1,,,,145,2,411,2,,893,18,,8,1,21,9,,,1,,5,,,19,1,13,16,,,1,,,
11,179.8,,,2,,,,33,10,,,,,9,,,2,,,2,,,,6,,0,1,,,57,379,,1,12,,,1,34,8,,,,,1,,3,,7,,,30,3,10,,24,2,102,2,,,1314,10679,8,9,3,,56,27,,,6,2578,,,5,1,,1,1,127,7,379,,,512,21,,32,,11,,,,1,,7,,,23,1,15,17,,,1,,,
12,220.2,,,13,,1,,27,17,,,,1,4,,,2,,,4,,,,6,,0,,,,51,507,,,10,,,,42,11,,,,,1,,4,,4,,1,29,1,13,,12,2,97,4,,,1488,10679,8,12,4,,85,47,,,8,514,,,2,1,1,,1,151,1,456,,,1672,14,3,32,,24,,,,1,,10,,,26,1,15,8,,,5,1,,
13,240.4,,,11,1,,,33,10,,,2,,3,,1,5,,,10,,2,,2,,1,2,,,37,441,,,2,,,,36,11,,,,,1,,3,,2,,7,17,,9,2,6,,98,1,1,,648,13500,3,13,,,69,33,1,,4,341,1,,15,2,1,,1,161,1,545,,,856,22,1,12,,17,1,,,1,1,7,,,18,2,10,7,,,3,,,
14,260.6,,,17,1,,,38,13,1,,,,4,,,4,,,,,,,8,,0,1,,,66,517,1,,5,,,2,45,8,,,,,1,1,2,,5,,2,32,1,8,2,3,,69,4,,,1442,10679,8,42,3,,75,60,,,7,94,,,2,3,1,,2,168,2,515,,1,1542,23,,26,2,23,,,,1,,12,,,22,,24,11,,2,7,3,,
15,280.8,,,6,,,,4,30,,,,,11,,,5,,,,,,,9,,0,,,,141,296,3,,6,2,,4,42,17,,,,,2,1,8,,2,,3,44,,9,,10,,78,4,,,1208,10679,8,12,9,,61,74,,1,6,10,,,,,,,2,121,4,759,,,871,7,,36,2,34,,,,1,,16,,,20,2,48,20,,,6,,,
16,301,,,,,,,6,6,,,,,6,,,1,,,4,,,,3,2,3,,,,57,334,1,,7,,,,31,7,,1,,,,,8,,3,,1,31,2,12,2,39,1,116,7,,,968,10679,8,2,4,,94,60,1,,4,13,,,1,,,,4,124,1,646,,,1170,8,4,30,1,21,1,,1,1,,7,,,17,,20,17,,,8,,,
17,321.2,,,,,,,3,10,,,,,8,,,2,,,,,,,5,,0,,,,74,396,1,2,12,,,13,15,14,,,,,3,1,2,,2,,,22,1,2,1,26,7,100,4,3,,1019,10679,8,4,1,,93,45,,,8,12,,,1,,,,1,134,4,552,,,536,14,,70,1,32,,,,1,1,20,,,14,,15,17,,,5,,1,
18,341.4,,,3,,,,10,13,,,,,10,,,3,,,4,,,,,,2,,,,76,329,,,9,,,,41,8,,,1,,3,,3,,,,2,18,,11,3,3,4,128,1,,,918,10679,8,5,,,63,60,,,4,37,,,6,,,2,4,85,1,568,,,611,12,,12,1,31,,,,1,2,12,,,3,,22,9,,,3,,1,1
19,361.6,,,2,,1,,5,12,,,,,14,,,4,,,,,,,5,1,0,,,,128,414,,,15,1,,10,75,11,,,2,,1,,2,,3,1,,38,1,1,3,4,7,135,2,1,,1441,10679,8,8,4,,56,72,,,6,53,,,3,1,,,10,95,,607,,,586,19,,107,4,33,,,,1,1,18,,,15,,34,18,,,8,1,,
20,381.8,,,2,3,,,7,17,,,1,,13,,2,7,,,4,,,,1,,0,3,,,94,164,1,,6,,,1,39,14,,,,,3,1,3,,,,,26,,8,,,10,193,3,,,1614,10679,8,4,5,,39,58,,,2,1,3,,4,,,,5,59,1,853,,,467,17,,27,1,48,,,,1,2,22,,,3,,25,14,1,1,2,3,,
21,402,,,,,1,,2,26,,,,,13,,,4,,,4,,,,3,,0,,,,145,313,,,10,,,12,38,20,,,2,,6,,2,,,,2,38,,6,1,,4,120,1,,,1445,10679,8,8,7,,52,83,,1,7,12,,,6,1,,,4,70,,847,,1,339,11,1,59,1,52,,,,1,,29,,,1,,41,18,,2,3,2,,
