 ,Cal_yrs_BP,min,max,Acacia (type I),Acalypha,Acanthaceae,Achyranthes-type,Alchornea,Alisma plantago-aquatica,Allophylus-type,Amaranthaceae,Anacardiaceae,Anogeissus-type,Anthocerotaceae,Anthospermum,Anthostema,Antiaris,Antidesma,Apocynaceae,Apodytes dimidiata,Araliaceae,Asteroideae,Avicennia,Balanophora,Barringtonia,Begonia,Brassicaceae,Bridelia,Byttneria,Capparaceae,Celtis,Ceriops-type,Chouxia,Combretaceae,Croton-type,Cucurbitaceae,Cussonia-type,Cyperaceae,Dialium-type,Dobera glabra-type,Dombeya,Elaeis,Eugenia-type,Euphorbia-type,Euphorbiaceae,Faboideae,Ficus,Filicium,Heliotropium-type steudneri,Hymenostegia-type,Hypericum,Kohautia-type,Lamiaceae (type 6),Langsdorffia,Lannea-type,Loranthaceae,Lotus arabicus-type,Lycopodiaceae,Macaranga,Maesa-type,Meliaceae,Monocotyledoneae,Monotes,Moraceae,Mussaenda-type,Olea,Pappea-type capensis,Pausinystalia-type,Philippia comorensis-type,Phoenix,Phyllanthus maderaspatensis-type,Phyllanthus-type,Poaceae,Podocarpus,Polypodiaceae,Proteaceae,Pteris,Pycnanthus,Rhizophora,Rhus-type,Ricinus,Rubiaceae,Rutaceae,Salvadora persica-type,Sapindaceae,Sapotaceae,Sauvagesia-type,Schefflera-type,Securinega virosa,Sida-type,Solanaceae,Sterculia-type,Sterculioideae,Symphonia,Teclea-type,Thecacoris,Treculia,Trema,Tristellateia,Triumfetta-type,Uapaca,Unknown,Unknown (monolete),Unknown (monolete,Unknown (spores),Unknown (trilete),Urticaceae,Vangueria-type,Zanthoxylum-type,Ziziphus,mimosoid clade
,10689.03,,,,1,,,1,2,,1,,,,1,,,1,,,1,,,,,,,1,1,,3,,,2,,,,2,,,,,6,,,5,,,1,,,,,,,,,,4,,,1,,1,,42,,3,1,,,4,9,7,,2,,,26,,,4,,2,1,,,,,,,,,40,,,,,,4,,31,15,,4,,8,,,1,
,11826.53,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,1,,,,1,,1,,1,,,,,,,,,,,,,,18,3,,,,,,28,,,,,,,1,,,,2,,80,1,1,6,,,,1,,,,,,,,68,1,,,,,1,,26,18,97,6,,2,,1,,
,11939.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,34,,,,,,,,,21,104,1,,,,,,
,10104.89,,,,,,,3,,,5,1,,,,,,3,,1,,,1,,,,,,,,2,2,,4,,,,,,,,,2,,1,1,,1,,1,,,,,,,,,2,,,,1,24,,19,,7,1,,,,2,1,,1,2,,44,,,4,,,,1,,,1,,,1,,8,,,,,,,,29,9,975,20,6,2,,1,,
,11273.17,,,,2,,,1,,,2,,,,,,,5,,,2,,,,,,,,,,7,2,,3,,,,,,,,,8,,,,,,,,,,,,,,,,3,,,,,,,29,,3,1,,,,6,1,,,7,,38,,,16,,,,,,,,,,1,,20,,,,,,,1,40,7,34,23,,27,,2,1,
,11905.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,18,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,833,,,,,,,,9,18,38,2,,,,,,
,9521,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,3,2,,,4,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,17,,,,,,,1,2,,,3,,9,,,,,,,,,,,,,,2,2,,,,,,,2,10,7,48,6,,4,,,,
,11565.24,,,,,,1,2,,1,1,1,,,,,,1,,3,,,,,,,,1,,1,,1,,,,,,,1,,,,3,,,,,1,,,,,,,,,,,6,,,,2,9,,19,,1,1,,,,5,,,,,,40,1,,5,,,,1,,,,,,2,2,39,,,,,,,,15,1,83,10,,1,,3,1,
,11917.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,,,,1,,53,,,,,,,
,4201.2,,,,1,,,4,,,,1,,,,,,,,,,1,1,,1,,,,,,1,,,7,,1,,5,,,,1,,,,2,,,,,,,,,1,,1,,1,,,2,,,,1,,,1,2,,1,14,18,3,,3,3,1,,,2,,,,2,,,,,1,,,6,,,3,3,,,,25,,28,12,,2,,,,
