"","Ambrosia","Anastraphia northropiana","Antirhea myrtifolia","Arecaceae","Banara-type","Bursera simaruba","Buxus bahamensis","Byrsonima lucida","Caesalpinia bahamensis","Casuarina","Celtis iguanaea","Chamaesyce-type","Chenopodium/Amaranthus","Chrysobalanus","Cladium mariscus subsp. jamaicense","Coccoloba","Conocarpus erectus","Corchorus-type","Crossopetalum rhacoma","Dodonaea viscosa","Erithalis fruticosa","Ernodea","Eugenia","Eupatorium-type","Exothea paniculata","Guettarda sp.","Heterosavia bahamensis","Hippomane mancinella","Ilex","Iva","Iva imbricata","Jacquemontia havanensis","Lantana","Manilkara jaimiqui sp. emarginata","Morella cerifera","Myriopus volubilis","Myrsine floridana","Petitia domingensis","Pinus caribaea","Piscidia-type","Pisonia","Poaceae","Rhamnaceae","Sideroxylon salicifolium","Stemodia maritima","Stenostomum lucidum","Strumpfia maritima","Swietenia mahagoni","Tabebuia bahamensis","Thouinia discolor","Trema lamarckiana","Typha domingensis","Vachellia choriophylla","Varronia bahamensis","Xylosma buxifolia","Zanthoxylum","Cal_yrs_BP","min","max"
"S629578","2","","","","","","","2","","","","3","","","9","","4","","","4","","2","4","3","1","","5","","1","3","","","3","","69","","5","","805","1","","3","","6","","1","9","","","","28","","","","","","-43","-40","-46"
"S629582","1","","1","1","1","","","2","","","6","3","","","1","","3","","","1","","","7","","1","","5","","1","3","","","","","70","","1","","4700","2","3","2","","7","","","33","","","","32","2","","","","","673","868","521"
"S629579","","","","1","","","","","","1","1","5","","","2","","4","","","4","","","12","3","","","2","","9","","","","","","72","","11","","1280","2","2","1","","7","","1","13","","","","13","","","","","","109","282","-10"
"S629583","","","","8","","","","1","","1","","4","","","5","","","","","10","","1","4","15","","","14","","","","1","","","","126","2","6","1","157","6","3","","","","","","8","","","1","27","2","","","","","735","916","594"
"S629586","","","1","42","9","","","19","","7","5","7","4","","","12","6","","","4","1","","20","","19","","74","","4","","","1","","","5","","31","5","18","12","","2","","16","","","8","1","","","7","","","","1","","1503","1969","1089"
"S629588","1","2","","25","17","","","2","2","2","8","2","","","","10","","5","","11","13","","8","","35","","23","2","11","","1","","","","11","","26","","9","10","3","","","61","5","2","5","13","","","2","","","","5","","1830","2287","1359"
"S629592","2","3","","72","","","6","","1","","","","","","","1","","","","30","13","","5","","14","","31","5","","1","","1","","","10","","1","","11","19","3","4","","2","2","","5","3","","","","","","1","19","3","2305","2699","1781"
"S629593","1","1","2","52","","","8","10","","","","2","","","","","4","","","104","1","","6","","16","","18","15","2","","","1","","","6","","2","","11","67","4","4","","","","","8","","","","2","","","","35","3","2451","2823","1937"
"S629580","","1","","","1","","","2","","","3","10","","2","4","","8","","","1","","","11","","1","","11","","17","1","","","1","","40","","14","1","1470","","2","2","","8","","","14","1","","","14","","","","","","261","438","97"
"S629584","2","10","1","1","3","","1","4","","","3","3","","","4","1","","","","","4","","6","","6","","","","1","4","","","","","20","","1","2","4000","1","5","15","","5","","","19","1","2","","33","2","2","","","","544","727","385"
"S629587","2","1","","42","20","1","","4","","16","6","7","","","3","4","7","1","","12","7","","13","","11","","39","4","13","","","","","","10","","23","4","21","12","5","","","38","","2","5","1","1","","2","","","","1","","1676","2134","1225"
"S629589","1","2","","50","9","","","6","2","","12","","","","2","12","2","11","","4","18","","21","","34","","23","","20","","","","1","","12","2","17","1","13","10","2","2","2","12","1","2","5","12","","","3","","","","1","","1966","2421","1489"
"S629594","","2","","51","","","2","18","1","1","1","7","","","1","","","","","62","12","","11","","24","","12","8","4","","3","","","","10","","9","4","12","27","4","2","","8","","","7","5","","","5","1","","1","31","2","2537","2900","2059"
"S629581","4","","1","","1","1","1","","","","1","4","","","1","","","","","","1","","21","3","5","","15","","6","3","","","3","","26","","5","","5100","1","2","8","","10","","","22","","","","19","1","3","1","","","409","548","281"
"S629585","","","","25","5","","","18","","13","1","15","","","3","","6","","","24","","","20","","","","53","","1","","","","1","","46","","18","","61","","4","10","","5","2","14","11","","","","7","1","","","4","2","845","1119","670"
"S629590","","","","39","13","","","","2","","2","4","","","1","9","","6","","9","18","","18","","42","","25","9","11","","","","1","1","11","","17","2","11","14","1","","","6","4","1","4","7","","2","8","2","","","8","","2104","2530","1601"
"S629591","","","","28","12","","2","5","1","","2","4","","","1","6","1","9","","18","10","","11","","42","","21","4","12","","2","","","","23","1","36","2","12","13","2","","","8","1","1","2","7","","2","2","","","1","24","","2240","2645","1727"
"S629595","","1","","37","1","","4","3","","3","","","","","","","","","","139","8","","10","","11","","4","6","","","","","","","4","","","","13","82","7","4","","3","","","7","1","","","1","","","","39","5","2626","2962","2174"
"S629596","","1","1","4","","","15","2","1","","","2","","","","","","","","115","8","","","","4","","3","3","","","","","2","","1","","","","16","147","3","40","","","1","","4","1","","","","","","","14","5","2885","3162","2538"
"S629597","","3","2","6","","1","28","2","","","1","","","","","","","","1","68","6","","1","","1","1","1","5","","","","","","","","","1","","16","200","","27","","","","1","6","","","","2","","","","7","5","3058","3270","2786"
"S629598","","","","54","","","1","1","1","","","3","1","","","","2","","","128","14","","5","","23","","12","5","","","1","1","1","","8","","1","1","17","29","1","4","1","3","3","2","5","7","","","1","","","","9","","2367","2749","1827"
"S629599","","1","1","1","","","33","","1","","1","1","","","","","","","","64","7","","","","5","","3","3","","","","","","1","","","","","29","188","1","40","","","","","6","","","","1","","","","","6","3234","3422","3029"
"S629600","","1","","20","1","","20","8","","","","","1","","","","","","","167","11","","","","2","","4","2","","","","","2","","1","","","1","13","67","3","13","","","","","5","","","","2","","","","20","3","2711","3031","2291"
"S629601","1","1","1","2","1","","36","1","","","1","","","","","","","","","71","5","","1","","","","6","2","1","","","","","1","","","","","33","149","1","49","3","","","","4","2","","","","","","","6","12","3334","3624","3095"
"S629602","1","","1","35","7","","","22","","9","2","20","","","3","","6","","","14","","","11","","2","","47","1","4","","","","1","","15","","15","3","71","6","11","1","","5","","","11","","","","7","2","","","3","","1073","1469","796"
"S629603","1","","","23","5","1","","15","","8","5","15","","","3","","8","","","9","1","1","36","","7","","45","","3","","1","","","","17","","16","3","86","5","4","1","","12","1","1","8","1","","","15","","","","1","","1297","1728","940"
