"","Agave sp.","Alvaradoa","Ambrosia","Arecaceae","Avicennia germinans","Batis maritima","Bursera simaruba","Buxus","Cocos nucifera","Conocarpus erectus","Corchorus hirsutus","Croton sp.","Erithalis","Eupatorium-type","Euphorbiaceae","Guaiacum","Guapira","Gymnanthes lucida","Helicteres jamaicensis","Heterosavia bahamensis","Hymenocallis","Iva","Jacquemontia havanensis","Laguncularia racemosa","Lantana","Manilkara jaimiqui sp. emarginata","Margaritaria","Morella cerifera","Myrtaceae","Pinus sp.","Poaceae","Rachicallis","Reynosia septentrionalis","Rhizophora mangle","Salicornia-type","Sesuvium","Sideroxylon","Sideroxylon salicifolium","Strumpfia maritima","Tillandsia","Trema lamarckiana","Typha sp.","Cal_yrs_BP","min","max"
"S629838","","","","8","","","2","","2","29","","1","11","","","","1","1","","","","1","","","","","5","8","","8","","1","1","","2","","","","9","","","","-65","-51","-80"
"S629839","","","1","78","1","","4","","13","111","","1","29","","","","12","1","","","","1","4","","","","20","23","","33","2","1","2","4","10","","","1","21","","2","2","76","360","-55"
"S629840","","","1","3","","","3","1","","109","","4","21","4","","","24","","","","","12","2","","3","","7","2","","27","15","","","1","127","","","","20","","1","","342","744","63"
"S629841","","1","3","1","","","","4","","20","","3","8","1","","","12","","","1","","6","","","","3","4","2","","37","9","7","","1","58","","","","8","","1","","609","1050","247"
"S629842","","7","1","7","4","","3","10","","116","12","6","3","2","","","16","6","2","3","","14","4","","1","","6","7","1","37","24","26","4","","","19","","","24","","","5","1291","1704","856"
"S629843","","49","11","2","","","18","14","","90","7","4","12","5","","","13","3","","5","","7","2","","","","6","6","3","51","1","23","","2","28","","12","","27","","","","746","1185","350"
"S629844","1","","8","236","","","1","18","","46","2","","2","","","","5","7","","2","","13","","","","","2","1","1","15","","5","","2","1","","","","13","","","","1932","2246","1554"
"S629845","","13","8","","","","3","14","","137","19","6","5","5","3","","25","8","","","","26","1","","","1","4","2","","30","5","26","2","1","1","2","","","17","","7","2","1018","1448","588"
"S629846","3","4","19","132","","","2","21","","142","4","1","","","","","4","4","","2","","14","","","","","1","2","2","19","1","12","","2","","3","","","10","","","","1789","2110","1401"
"S629847","","3","17","192","1","","1","31","","68","1","","4","1","","","5","7","","1","","10","","","","","","4","1","12","","10","","1","","","","","5","","","","1571","1938","1139"
"S629848","","","2","188","","","1","13","","99","","","3","2","","","8","5","","2","","8","","","1","","4","1","3","7","1","19","","2","","","","","8","","","","2002","2297","1625"
