"","Alvaradoa","Ambrosia","Arecaceae","Avicennia germinans","Bursera simaruba","Byrsonima-type","Coccoloba","Cocos nucifera","Conocarpus erectus","Erithalis","Eupatorium-type","Euphorbiaceae","Exothea paniculata","Guapira","Gymnanthes","Heterosavia bahamensis","Iva","Laguncularia racemosa","Lantana","Leucaena leucocephala","Lysiloma latisiliquum","Manilkara jaimiqui sp. emarginata","Margaritaria","Morella cerifera","Myrtaceae","Picramnia pentandra","Pinus sp.","Poaceae","Rachicallis","Reynosia septentrionalis","Rhizophora mangle","Salicornia-type","Sesuvium","Sideroxylon salicifolium","Strumpfia maritima","Tillandsia","Trema lamarckiana","Cal_yrs_BP","min","max"
"S629879","","","3","","2","","4","2","","","4","","","6","4","1","","","","1","","","10","1","","1","","","1","","","1","2","3","","","45","-66","-50","-80"
"S629880","3","","15","","13","","14","","1","7","10","","","5","3","","2","","1","","","1","5","8","6","","8","3","16","","1","","3","11","","3","154","89","386","-51"
"S629881","5","","29","","11","","8","","2","11","7","1","2","3","2","2","2","","","","","5","9","8","2","","5","4","7","","","1","2","5","3","2","172","239","585","6"
"S629882","2","","45","","8","2","2","1","","3","8","1","","18","9","1","1","","","","1","8","9","6","2","","5","10","9","1","","1","3","5","4","4","123","410","752","113"
"S629883","15","1","50","1","2","15","5","","1","10","11","2","","15","20","5","1","1","","","1","11","4","9","","","14","2","6","","","1","12","6","7","","59","743","1026","397"
"S629884","","","42","4","2","13","6","","2","20","9","5","","5","38","19","","","","","","20","1","3","1","","10","4","3","","","2","33","5","5","","19","1066","1216","899"
"S629885","4","","122","8","2","","7","","2","14","","4","","6","36","25","3","","","","","8","","5","","","8","1","2","","1","","23","","2","1","6","1270","1515","1112"
"S629886","","","117","6","1","1","5","","1","17","","4","1","5","38","35","1","","","","4","8","2","2","","","3","","","","2","1","25","","5","","1","1537","1938","1225"
"S629887","","","120","6","3","3","9","","1","23","","3","","6","29","20","1","","","","","6","6","1","","","4","","","","","","25","","13","1","","2060","2272","1858"
"S629888","","","134","4","","7","4","","","34","","1","","1","35","11","2","","","","","5","5","6","3","","4","","","","1","1","20","1","3","","3","1801","2119","1440"
"S629889","","","139","3","1","3","7","","2","42","1","2","1","3","32","25","","","","","","4","","","","","4","","3","","","","9","","12","","1","2330","2457","2165"
"S629890","","","186","7","","2","2","","","19","","3","","6","25","18","1","","","","","4","","2","","","4","","1","","","","16","","9","","","2520","2670","2359"
"S629891","","","198","","2","6","6","","2","15","","1","","1","29","20","2","","","","","2","1","","1","","6","","","","","","3","","8","","1","2609","2776","2451"
"S629892","","1","206","2","1","3","8","","","20","","2","","4","12","20","","","","","","4","","2","","","6","1","","","","","5","","7","","","2700","2842","2542"
"S629893","","","20","2","","","1","","","6","","","","2","3","2","","","","","","2","","","","","3","","","","","","5","","4","","","3081","3410","2795"
"S629894","","","19","","","","1","","","7","","","","2","5","2","","","","","","1","","","","","","","","","","","2","","5","1","","3482","3721","3162"
"S629895","","1","42","","1","2","","","","12","","1","","","5","13","","","","","","4","2","1","","","1","","","","","","","","11","","","3807","4019","3622"
"S629896","","","20","","","1","1","","","1","","","","","4","8","","","","","","","1","1","","","","","1","","","","7","","3","","","4050","4251","3826"
