 ,min,max,Cal_yrs_BP,Abies,Acer,Achillea-type,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ambrosia,Anogramma leptophylla,Anthoceros laevis,Anthoceros punctatus,Apiaceae undiff.,Apium,Arbutus,Arctium,Armeria-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asplenium-type,Aster-type,Avena-type,Betula,Boraginaceae,Botrychium,Botryococcus,Brassicaceae,Bryonia,Bupleurum,Buxus,Callitriche,Campanulaceae,Cannabis-type,Carduus,Carlina,Carpinus betulus,Carthamus,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Ceratonia siliqua,Cercophora-type,Chamaerops humilis,Cichorioideae,Cistus albidus-type,Cistus monspeliensis-type,Coniochaeta,Consolida-type,Convolvulus,Cornus sanguinea,Corrigiola litoralis,Corylus,Crocus,Cyperaceae,Daucus,Delitschia,Dinoflagellata,Echium,Elaeagnus,Ephedra,Erica arborea-type,Eryngium,Euphorbia,Euphrasia,Fabaceae undiff.,Fagopyrum,Fagus,Falcaria,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus,Galeopsis-type,Galium-type,Genista-type,Gentiana,Geranium,Geum-type,Gratiola officinalis,Hedera,Helianthemum,Hordeum-type,Hypericum perforatum-type,Illecebrum verticillatum,Isoetes,Juniperus-type,Lamiaceae undiff.,Lamium album-type,Lathyrus-type,Lavandula,Liliaceae undiff.,Linaria-type,Linum austriacum-type,Linum usitatissimum-type,Loranthus europaeus,Lotus-type,Ludwigia palustris,Lycopodium,Lycopodium spike,Lycopodium tablets,Lythrum salicaria-type,Mentha-type,Mercurialis,Minuartia,Morus,Myriophyllum,Myrtus communis,Nerium oleander,Neurospora,Nuphar,Oenanthe,Olea europaea,Onobrychis-type,Onosma,Ophioglossum,Orlaya,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Pediastrum,Phillyrea,Pimpinella major-type,Pinus,Pistacia,Pisum sativum,Plantago coronopus,Plantago lanceolata-type,Plantago maritima-type,Plantago media,Poaceae,Poaceae (Cerealia) undiff.,Podospora-type,Polygonum aviculare-type,Polypodium,Populus,Potamogeton-type,Primula,Prunella-type,Prunus-type,Pseudoschizaea,Pteridium aquilinum,Pteridophyta (monolete) undiff.,Pteridophyta (trilete) undiff.,Pteris cretica,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus aquatilis-type,Ranunculus arvensis,Ranunculus-type,Reseda-type,Rhamnus,Rhynchospora alba,Riccia,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Ruppia,Salix,Sambucus,Sample quantity,Sanguisorba minor-type,Saxifraga,Scabiosa,Scrophulariaceae,Secale cereale,Sedum-type,Selaginella denticulata,Silene dioica-type,Sordaria-type,Sparganium-type,Spergula-type,Sporormiella-type,Stachys-type,Styrax,Tamarix,Taxus baccata,Teucrium,Thalictrum,Theligonum cynocrambe,Thelypteris palustris,Thymelaea,Tilia,Trifolium,Triticum-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Utricularia,Valeriana,Valerianella,Verbascum,Veronica-type,Vitis
,,,620,,,1,,,4,,114,,,1,1,,,,1,,56,,2,,,4,,1,,,,11,,,,,3,,,,,,1,,,,,,10,1,,5,,,,2,,,,31,,,2,,,,38,,,,,,,,,2,,3,,2,,,1,,,,,2,2,,,5,17,1,,,,1,,,,,,,,100,41697,,,,,,,4,,,,,26,,,,,,,,,,,3,41,,2,2,1,,116,,,,2,4,,,,,,,1,,,17,10,1,,,,,,,,,,7,,6,,,,,1,,,,,,,2,,,2,,,1,,,,2,,,,,,,1,,1,,,,,,,1
,,,2491,,,3,,,17,,36,1,,2,1,,,,,,37,,2,,,9,,,,3,,13,,2,,,,,1,,,,4,,,,,,,,,13,,,,,,2,,18,,,6,,,1,69,1,,,,,,,,2,,5,,,,,,1,,,,,3,1,,18,20,,,,2,,,,,,15,,,268,41697,,,,,,,10,,,,,47,,,,,1,,,,2,,2,43,,,6,1,,74,,,,2,,4,,,,,,,,1,36,6,2,,,,2,,,,,,,,8,2,,1,,1,,,,,2,,,,,2,,3,,,,,4,2,,,,,,,,3,,,,,,,
,,,3039,,,2,7,,28,,24,,,4,,,,1,1,,7,,,,,4,,1,,,,10,,,,,,1,2,,,,1,1,2,,,2,1,12,1,13,,,,3,,3,,4,,,,,,,93,,,,,,1,,,11,,9,,10,,,,,,,,1,,2,,18,9,2,,2,5,,,,,,5,,,648,62545,2,1,,,,,,,,,,52,,,,,2,,,,7,,2,51,,,4,,,39,,,,,1,,,,,,1,,,,21,17,,,1,,,,,,,,1,,27,3,,,,1,,9,,,,1,,,1,5,,2,3,,3,,5,1,,,,,,3,,,,,1,,,,1
,,,3439,,,,,,83,3,37,,,2,2,1,4,,,,10,,,,,9,,,,1,,12,1,1,,,,,,,,,,,,,,,2,47,1,4,,,,,,1,,23,,,4,,,,105,1,,,,,2,,,,,,,1,,2,,,,,,,2,,,33,18,,,,,,,,,,10,,2,217,62545,,,,,,,5,,,,,33,,,,,4,,,,4,,2,21,,,3,,,44,,,,,1,,,,3,,3,,,,12,11,,,,,,,,,,,,,31,,,1,,1,,,,,1,,2,,,,,,2,,,,1,4,,,,,,,,,,,,,,1,1
,,,3812,,,3,,,61,,41,,,3,,,2,1,,,11,,1,1,,12,,,,,,6,,,,,,,4,,,,,,,,,,2,60,1,21,3,,,,,1,,11,,,20,,,,113,1,,,,,,,1,4,,2,,3,1,,,,,,,,,1,,33,6,1,,,3,,1,,,,9,,,602,62545,,,,,,,5,,,,,9,,,,,,,,,2,,4,15,,,2,,,43,2,,,,,,,,1,,4,3,,1,9,20,1,,,,,,,,,1,,,28,2,,1,,1,1,,,,2,1,2,,1,,,5,,,3,,2,,,,,,,1,,1,,,,,,,1
,,,4419,,,2,7,,70,,58,,,3,,,3,1,1,,18,1,,,,,,,,,,11,,,1,,,,,,,,,,1,,,,,6,,6,,,,,,4,,15,,,11,,,,138,,,,,,1,,,2,,8,,,,,,,,,1,,,,,21,5,,,,3,,,,,,4,,,263,62545,,,,,,,13,,,,,13,,,,,1,,,,4,,3,76,,,3,,,32,,,,,2,11,,,,,3,6,,1,11,10,3,,,,1,,,,,,,,8,,,1,,1,,,,,,,5,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,1
,,,5520,,,,,1,17,,48,,,4,,,,,1,1,19,,1,,,6,,1,,1,,4,,,,,,,,,,,,,,,,,3,26,,16,,,,4,,2,,8,,,113,,,,162,4,,,,,2,,,,,3,,8,,,,,,,,,1,,,37,12,,,,1,,,,,,5,,1,546,62545,,,,,,,1,,,8,,4,,,,,1,,,,2,,4,36,,,3,,,37,,,,,2,3,,,3,,2,7,,2,22,31,8,,,,1,,,,,1,,,8,,,2,,1,,1,,,,,1,,,,,1,,,,,1,,,,,1,,1,1,1,,,,,,,2
,,,6415,,,1,,2,1,,62,1,,1,1,,,,,,15,1,1,,,3,,,,2,,4,,,1,,,,,,,,,,,,,,,7,4,10,,,,,,3,,12,,,8,,,,137,,,,,,1,,,3,,6,,7,,,,,,,,1,,,,26,8,,,,,,,,,,8,,,345,62545,,,,,,,,,,1,,17,,,,,1,,,,,,4,88,,,2,1,,13,,,,1,1,,,,17,,1,,,,18,53,14,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,1,5,,,,3,,,,,,,,,1,,1,,,,,1
,,,7072,,,2,1,,,,89,2,1,15,2,,,1,2,,2,,1,,,9,,1,,1,,2,,,,,,,,,,,,,,,,,3,17,,16,,,,,3,6,,20,3,,19,,,1,151,,,,,,8,,,16,,1,,4,,,,,,,,,,,,40,7,,,3,,,,,,,1,,,411,41697,,,,,1,,,,,,,1,,,,,2,,,,1,,9,59,,,,,,68,,,,,,,,,,,,,,,8,13,1,,,,,,2,,,,,,1,1,,,,1,,,,2,2,,4,,,2,,,,,,,2,,,,,,,13,1,1,1,,,,,,1
,,,7175,,,1,,,2,,19,1,3,18,5,,3,,1,,,,3,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,33,,,,,1,2,,7,,,3,,,,374,,,,,,1,1,,,,,,1,,,1,1,,,,,,,,19,2,,,1,1,,,,,,1,,,281,41697,,,,,,,,,,,,,,,,,,,,,,,3,37,,,,,,20,,,,,,2,,,,,1,,,,1,5,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,14,1,,,,,,,,,,1,,1,,,,,,,,
