,Cal_yrs_BP,max,min,Adiantum,Alnus glutinosa-type,Alnus viridis,Amaranthaceae-type,Ambrosia,Ammi,Anagallis tenella-type,Angelica lignescens,Anthoceros laevis,Anthoceros punctatus,Aphanes,Apiaceae,Arnium,Artemisia,Asplenium-type,Assulina muscorum,Azorina vidalii,Bellis-type,Betula,Botrychium,Botryococcus,Brassicaceae,Calluna vulgaris,Cardamine-type,Carpinus betulus,Carya,Castanea sativa,Centaurium,Cerastium-type,Cercophora-type,Chaerophyllum azoricum,Charcoal,Cheilanthes-type,Chrysanthemum-type,Cichorioideae,Cladium mariscus,Convolvulus,Corylus,Crassulaceae,Cryptomeria japonica,Culcita macrocarpa,Cyperaceae,Daucus carota subsp. azoricus,Diphasiastrum madeirense,Diporotheca,Dryopteris filix-mas-type,Ephedra fragilis-type,Erica azorica,Eucalyptus,Euphorbia,Euphrasia,Fabaceae,Fagus,Frangula azorica,Gelasinospora,Glomus,Habrotrocha angusticollis,Hedera azorica,Humulus lupulus,Huperzia dentata,Huperzia selago-type,Huperzia suberecta,Hydrangea,Hymenophyllum,Hypericum foliosum-type,Ilex perado ssp. azorica,Illecebrum verticillatum,Isoëtes azorica,Juncaceae,Juniperus,Juniperus brevifolia,Liliaceae-type,Lotus,Lycopodiella inundata,Lycopodium clavatum-type,Lycopodium spike,Lycopodium tablets,Lycopodium tablets,Lysimachia azorica,Lythrum portula,Mentha-type,Morella faya,Myosotis arvensis-type,Myrsine africana,Myrtus-type,Neurospora,Olea,Ophioglossum azoricum,Ophioglossum lusitanicum,Ornithopus,Osmunda regalis,Ostrya-type,Pediastrum,Pediastrum angulosum,Persicaria maculosa-type,Picconia azorica,Picea,Pinus subg. Pinus,Pistacia,Plantago coronopus,Plantago lanceolata-type,Plantago uniflora,Poaceae,Poaceae (Cerealia),Podospora-type,Polypodiales (monolete),Polypodiales (monolete,Polypodium azoricum,Potamogeton-type,Potentilla-type,Pseudopediastrum boryanum var. boryanum sensu lato,Pseudopediastrum integrum,Pseudoschizaea,Pteridium aquilinum,Pteris incompleta,Quercus,Quercus ilex-type,Quercus suber-type,Ranunculus cortusifolius-type,Rhynchospora-type,Riccia,Rubiaceae,Rubus,Rumex acetosella,Rumex obtusifolius-type,Sagina,Salix,Sambucus nigra/S. racemosa,Sample quantity,Scabiosa,Schoenoplectus lacustris-type,Scrophularia-type,Secale,Selaginella kraussiana,Silene dioica-type,Silene vulgaris-type,Solanum nigrum-type,Spergula-type,Sphagnum,Spirogyra-type,Sporormiella,Tolpis-type,Trichomanes speciosum,Trifolium repens-type,Triticum,Umbilicus,Urtica-type,Ustulina deusta,Vaccinium cylindraceum,Veronica,Viburnum treleasei,Vicia dennesiana,Vicia hirsuta,Viola,Xanthium strumarium,Zea mays
1,-68,,,,,,,,,,,,,,,,,,3,,,,,1,,,1,,,,,,1,,0,,,1,,,,,,,111,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,262,18583,1,,,,10,,,,,,,,,,,,,,,,,,3,3,,24,,,,NISP,,,2,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,14,,1,,,,,,,,,,,,,,,
2,-42,,,,,,,,,,1,1,,,,,,,12,,,,,4,,,,,,,,,2,,1,,,8,,,,,8,3,80,,,,,,1,,1,,,,4,,,1,,,,,,2,,2,,,1,,,4,1,1,,,827,18583,1,,,,8,,33,,,,,,,,,,,3,1,,,,2,13,,171,,1,,,,,22,,,,3,5,,,,,3,,,,2,,,,,1,,,,,3,,,,,17,,,,,,,,,,,,,,,,,
3,-16,,,,,,,,,,1,1,1,1,,,,,2,,,,,,,,,,,,,1,1,,3,,,18,2,,,,8,1,270,,,,,,7,,,,,,2,,,3,1,,,,,2,,,,,2,,,,,2,,,1199,18583,1,1,,,12,,50,,,,,,,,,,,1,3,,,,8,8,,115,,1,1,3,,1,22,,,,1,3,,,,,2,,,,4,1,1,,,1,,,,,10,,,,2,28,,,,1,4,,,,,1,,,,,,,
4,11,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,,7,,,5,,,,,3,,75,,,,,,4,,1,,,,,,,1,,,,,,,,2,,,1,,,1,,9,,,884,18583,1,,,,11,,14,,,,,,,,,,,,1,,2,,5,5,,189,,,1,36,,,9,,,,6,2,,,,,2,,,1,2,,,1,,1,,,,,,,,,,25,,1,,,1,,,,,,,,,,,,
5,39,,,,,,1,,,,1,,,,,,,,,,2,,,,,1,,,,,,1,11,,1,,,16,,,,,5,4,119,,,,,,14,,1,,,,,,,,,,,,,3,,,,,4,,,4,,14,,,819,18583,1,,,,29,,24,,,,,,,,,,,1,,,,,11,29,,144,,5,1,42,,1,55,,,,1,5,,,,,34,,,,11,1,2,,,1,,,,,2,,,,2,273,,,,,4,,,,,1,,,,,,,
6,66,,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,8,,,,,4,2,155,,,,,,2,1,,,,,,,,,1,,,1,,4,,,,,10,,,,,53,,,899,18583,1,,,,40,,14,,,,,,,,,,,0.1,1,1,,,6,20,,296,0.1,1,2,14,,,104,,,,8,1,0.1,,,,10,,,,9,,,,,1,,,,,3,,,,5,973,,,,,,,,,,,,,,,,,
7,94,,,,1,,,,8,,50,0.1,2,0.1,,,0.1,,,,,,,0.1,,0.1,3,,,,0.1,1,1,1,3,,,8,,,,,,3,39,,,,,,5,,7,,,,,,,,0.1,,1,,2,,,3,2,,,,,17,,12,1,,122,18583,1,6,,2,7,,78,,,,,,,,,,,,3,,,,3,2,,848,,,4,50,9,,37,,,,3,10,1,,,4,3,,1,,9,,2,,,1,,,,,39,,,,35,150,,2,,14,,,,,,,,1,,,,,
8,107,,,,,,,,,0.1,13,0.1,3,0.1,,,,,,,,1,,1,,0.1,,,,,,,0.1,,2,,,2,,,,,,0.1,24,,0.1,,,,1,,2,,,,,,0.1,,0.1,,1,,,0.1,,0.1,,,,,,0.1,,6,,,157,18583,1,5,,,1,,15,0.1,,,,,,,,,,,,,,,1,,,491,,2,4,20,4,,11,,,,,1,,,,,,,,,6,,0.1,,,1,,,1,,4,,,,0.1,166,,1,5,1,1,,,,,,,2,,,,,
9,123,,,,2,,,0.1,8,0.1,17,1,1,,,,,,,,0.1,1,,5,,,2,,,,0.1,,2,,3,,,0.1,,,,,0.1,1,33,,,,,,2,,2,1,,,,,,,,,,,0.1,1,,1,2,,2,,,1,,2,1,,184,18583,1,,,,21,,75,,,1,,,,,,,,,1,,,,3,1,,720,,1,14,316,3,2,23,,,,2,3,1,,,2,1,0.1,,,16,,0.1,,3,1,1,1,,0.1,102,,,,88,611,,,21,1,0.1,,,,,,,,,,,,
10,140,,,,,,,1,4,,31,1,2,1,,,,0.1,,,1,,,5,,,4,,,,1,,2,,4,,,6,,,,,1,1,7,1,,1,,,2,,4,0.1,,,,,3,,,,0.1,,1,0.1,,7,1,0.1,,,,3,,5,1,,196,18583,1,1,,,0.1,,70,,,,,,0.1,,,,,,1,,,,4,0.1,1,297,,1,7,170,5,,20,,,,1,3,,0.1,,3,1,,,,4,,2,,,1,1,,,,17,,,,38,119,,2,9,3,,,,,,0.1,0.1,1,,,,,0.1
