,Acacia,Alnus,Amaranthaceae,Anacardium-type,Apiaceae,Artemisia,Asteraceae,Asteraceae lig,Betula,Brassicaceae,Cajanus,Campanula,Caryophillaceae,Cerealia,Cistaceae/Scrophulariaceae-type,Clavate small,Cucurbitaceae,Cupressus,Cyperaceae,Dicliptera,Echium,Entada-type,Ranunculus cf.,Euphorbia tuckeyana,Fab. Small open lens,Fabaceae,Ficus (cv-4),Grevillea,Indet,Ipomoea batatas,Juglans,Lamiaceae,Lavandula retic big,Lens-type,Lotus,Malvaceae,Morella-Corylus,Pinus,Plantago,Poaceae,Prosopis,Quercus,Ricinus-type,Unid. Round psilete,Rubiaceae,Solanaceae,Tamarix,Urtica,Verbenaceae,Zea mays,Cal_yrs_BP,min,max
0,,,1,4,,,45,,,9,223,,2,1,,,,1,1,,,20,,,5,3,,1,2,1,,,1,2,,,,,,27,3,,3,,,1,,2,,,-70,,
10,2,,,,,2,45,1,,7,74,,,,,3,,3,12,,,72,,,,,,3,2,,,,,,,2,,1,,33,2,,5,2,3,1,,10,,1,105,,
20,1,,1,,1,10,106,1,,8,18,,,,,,1,3,15,,1,4,,,,1,,1,16,,,1,14,,,3,,1,,70,1,,,1,,,,40,,1,297,,
30,2,,4,,1,1,66,3,,,10,,,,,,,2,55,,1,1,,,,,,2,5,,,,19,,,1,,3,,95,,,,1,,2,,10,7,13,494,,
40,,,4,,,12,69,2,,1,2,,,,,,,1,12,,2,,,,,,2,,12,,,,,,,8,,,,57,,,,2,1,,,54,,,684,,
50,,,1,,1,,23,,,2,,,,5,,,,,6,,,,,2,,,,,4,,,,3,,,,1,2,1,70,,,,,,,1,2,,2,872,,
60,,1,2,,,2,31,6,1,2,,,,2,,,,,,,,,,,,,,,17,,,,,,,,,3,,25,,,,,,,,8,,,1063,,
70,2,,,,,1,18,1,,1,,1,,,,1,,,5,1,,,,,,,,,11,,,2,3,,1,,1,1,,51,,,,,1,,,7,,,1253,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796,,
110,,,3,,,,26,3,,1,,,10,,1,,,,2,,,,,,,,,,10,,,,,,,,,1,3,41,,,,,,,,9,,,1973,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155,,
130,,,3,,,,34,1,,,,1,3,,,,,,1,,,,,,,,,,24,,,,,,,,,,2,20,,,,,,,,12,,,2343,,
140,,,1,,,,15,,,,,,1,,,,,,,,,,,,,,,,7,,,,,,,,,1,,26,,,,,,,,53,,,2669,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013,,
160,,,3,,,,16,,,,,,,,,,,,1,,,,,,,,,,17,,,,,,,,,,2,12,,,,,1,,,28,,,3339,,
170,,,1,,,,27,,,,,,,,,,,,4,,,,1,,,,,,14,,,,1,,,,,1,,42,,,,,,,,12,,,3575,,
180,,,2,,,,24,,,1,,,3,,,,,,1,,,,,,,,,,21,,1,,,,,,,4,1,10,,,,,,,,27,,,3728,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880,,
200,,,4,,,,45,,3,,,,5,,2,,,,1,,,,,,,,,,16,,,,,,,,5,2,,28,,,,,1,,,26,,,4039,,
