 ,Cal_yrs_BP,max,min,Olea capensis,Afrocarpus mannii,Celtis,Symphonia globulifera,Lannea,Prunus africana,Polyscias,Pseudospondias-type,Scytopetalum klaineanum,Hernandiaceae,Ilex,Bombacaceae-type,Staudtia-type,Trichilia,Capapa,Pycnanthus angolensis,Myrtaceae,Discoclaoxylon occidentale,Uapaca,Homalium henriquesii,Blighia,Sapindaceae,Sterculia,Funtumia,Hypericaceae,Trema orientalis,Pauridiantha floribunda,Psydrax subcordatum,Allophylus,Cola,Sapotaceae,Psychotria sp.,Craterispermum cerinanthum,Rauvolfia,Tabernaemontana,Nuxia-type,Oxyanthus speciosus,Pavetta monticola,Macaranga monandra,Campylospermum,Thecacoris,Gaertnera-type,Thymeliaceae,Rutaceae,Cestrum laevigatum,Primulaceae,Erythococca,Baphia nitida,Alchornea cordifolia,Psychotria cf. nubicola,Psychotria cf. peduncularis,Heteradelphia paulowilhelmia,Rubus,Malvaceae,Pentas-type,Ficus,Hymenodyction,Sabicea,Clematis,Clerodendrum,Cissus,Salacia,Schefflera,Vigna-type,Anthocleista,Convolvulus,Piperaceae,Asteraceae tub.,Melastomataceae,Lamiaceae,Amaranthaceae,Apiaceae,Impatiens,Begoniaceae,Brassicaceae,Caryophillaceae,Commelinaceae,Commelina-2,Lobelia,Orobanchaceae,Poaceae,Plantago-type,Crassulaceae,Utricularia,Cyperaceae,Persicaria,Elaeis guineensis,Zea mays,Apocynaceae,Euphorbiaceae,Rhamnaceae,Verbenaceae,Acanthaceae-2 cf. avicenia,Acanthaceae-3,Boraginaceae,Euphorbia,Phyllanthaceae,Solanum-type,Solanaceae-type,Solanaceae/Vitaceae,Rosaceae-type,Unid. Monocolp scabrate,Unid. Cf. Alismataceae,Unid. Tricolporate microechinate,Unid. inaperturate pilate,Monocolpate psilate,Martretia-type,Mallotus- ype,Fabaceae cf. Erythrophleum,Moraceae/Urticaceae,Unid. Tricolporate psilate,Unid. Reticulate,Indeterminable
,-22,,,1,,3,,3,2,1,,2,,,,,1,,,,,,2,,3,3,3,,,3,4,2,,2,6,5,,1,2,,,,2,1,3,,,1,1,,,,3,3,4,11,,2,,1,20,7,,,,5,,2,,1,12,1,6,2,,1,6,,,11,6,,,42,,,,1,,,,,1,,,,,,,5,,,,3,1,,,,,,,,45,7,21,20
,20,,,2,,2,,,,5,1,13,,,,,1,,,,3,5,13,1,,,,1,,5,6,,,5,25,2,1,3,8,,,,6,1,4,,1,4,,2,,3,10,2,,10,,1,2,4,60,7,1,3,,7,,,,2,41,1,4,1,1,1,1,1,,8,1,1,,27,,,,6,,1,,,6,1,,,,,,1,,,1,,,,,1,,,2,2,15,13,6,13
,72,,,4,,3,1,1,1,1,,10,,1,,,2,,,,1,6,7,,,,,,,2,11,,,2,26,4,,1,11,,,,5,,8,,4,1,,,2,,16,2,,2,,1,,2,47,16,1,4,,9,,,,,29,1,4,2,1,1,7,1,,4,2,,,38,,,,5,,1,1,,2,,,,,1,,3,,,,3,,,,1,,,1,3,7,13,7,8
,122,,,5,,,1,2,,4,2,7,,1,,,,,,,1,,15,1,2,5,,,2,9,8,1,,2,26,2,,5,8,,,,4,,3,,,,,,,,10,3,,3,,,,2,43,2,,3,,16,,1,,1,20,1,5,,,2,5,1,,3,,,,32,,1,,6,,1,,,3,,2,,,,1,5,,2,,1,,,,,,,,2,22,17,8,19
,173,,,1,,,,7,1,4,1,,,,,,2,,,,1,,,,,12,,,,1,9,1,,1,39,1,,,2,,,,2,1,3,,2,,,1,,,8,6,1,2,,,,2,54,7,,2,,11,,1,,,19,1,2,2,,,5,,1,3,,,,28,,,,1,,,,,3,,,,,,,1,,1,,1,,,,2,,,,2,13,3,18,19
,214,,,8,5,,1,1,,3,,1,,,1,,3,,,,,,4,,,2,,,1,,19,1,,,58,2,,,,2,,,4,,1,,,,,,,,11,1,,,,,,4,33,16,2,2,,5,,1,,3,29,2,8,,1,2,1,4,,1,,,,21,,,,11,4,,,,4,,,,1,,1,1,,,1,,1,,,,1,,,1,6,8,11,19
,257,,,7,,2,,5,8,7,2,1,,,,,7,,,,,,1,,1,3,,,,3,16,,,1,74,4,,,1,,,1,1,,,,,,1,,,,9,1,,1,,,,6,51,53,,5,,,,4,,2,22,,4,1,,3,,1,,1,,,,7,,,,5,,,,,4,,,,,,,3,,1,1,2,,,,,1,,,1,6,5,9,6
,359,,,6,1,,2,2,1,1,2,,,,,,1,,,,3,,1,,,2,,,1,1,18,,,,40,2,,,1,,1,,6,,1,,,,,,,,10,1,2,,,,,1,45,34,,3,,1,,1,,1,29,,7,,,7,1,5,,3,,,,7,,,,8,,,,,1,,,,,,,1,,,2,,,,,,,,,,2,14,15,15
,475,,,8,,1,1,1,3,6,1,3,,1,,1,3,,,,2,2,2,,,1,,,,,11,,,3,45,9,,,1,1,,1,5,,1,1,,,,,,,15,5,,,,,,6,39,45,,6,,1,,2,,,13,,3,,,4,,2,,1,,,,4,,,,4,1,,,,6,,,,,,,3,,,1,1,,,,,,,,4,1,13,7,13
,696,,,8,,1,7,3,8,6,,,,,4,1,4,,,,,5,1,,2,1,,,,2,6,1,,,42,4,,1,1,2,,1,5,1,,,,,,,,,4,4,,,,1,,33,16,49,1,12,,,,,,,23,1,3,1,,2,,2,,,,,,4,1,,,2,,,,,,,,,,,,2,,,7,,,,1,,,,,,3,11,7,7
,933,,,1,1,3,10,,1,1,,,,,,,,,1,,,2,,,,,1,,,,,,,,15,5,,,,,,,1,,,1,,,,,,1,2,,,,,,,,9,10,,,,,,,,1,21,,,,,,,,,1,,,,3,,,,3,,,,,,,,,1,,1,,,,,2,,,,,,,,,1,3,5,13
,1169,,,3,1,,2,5,2,9,1,1,,,1,,,,2,,3,2,3,,,4,,,,1,6,,,,38,3,,,,2,2,,4,,1,,,,,,,,9,3,,,,,,11,52,70,,4,,,,1,,,22,,4,,,3,1,,,2,,,,8,1,,1,8,,,,,1,,,,,,,,,,,,,,,,,,,,7,9,11,16
